compound_id	chemical_name	analysismode	mz	rt
C000001	121.008_0	RP_POS	121.0076	0
C000002	145.967_0	RP_POS	145.9667	0
C000003	152.987_0	RP_POS	152.9867	0
C000004	154.982_0	RP_POS	154.982	0
C000005	160.016_0	RP_POS	160.0157	0
C000006	180.948_0	RP_POS	180.9477	0
C000007	221.968_0	RP_POS	221.9676	0
C000008	98.984_0	RP_POS	98.9843	0
C000009	101.06_0.03	RP_POS	101.0598	0.03
C000010	107.951_0.03	RP_POS	107.9506	0.03
C000011	112.089_0.03	RP_POS	112.0889	0.03
C000012	126.032_0.03	RP_POS	126.0318	0.03
C000013	127.076_0.03	RP_POS	127.0755	0.03
C000014	128.046_0.03	RP_POS	128.0456	0.03
C000015	148.954_0.03	RP_POS	148.9539	0.03
C000016	159.977_0.03	RP_POS	159.9769	0.03
C000017	177.956_0.03	RP_POS	177.9562	0.03
C000018	230.926_0.03	RP_POS	230.926	0.03
C000019	81.07_0.03	RP_POS	81.07	0.03
C000020	83.049_0.03	RP_POS	83.0492	0.03
C000021	85.04_0.03	RP_POS	85.0397	0.03
C000022	85.053_0.03	RP_POS	85.0528	0.03
C000023	88.039_0.03	RP_POS	88.0394	0.03
C000024	98.024_0.03	RP_POS	98.0238	0.03
C000025	101.079_0.06	RP_POS	101.0792	0.06
C000026	101.084_0.06	RP_POS	101.0842	0.06
C000027	102.055_0.06	RP_POS	102.0546	0.06
C000028	103.027_0.06	RP_POS	103.027	0.06
C000029	103.039_0.06	RP_POS	103.0391	0.06
C000030	103.05_0.06	RP_POS	103.0503	0.06
C000031	111.044_0.06	RP_POS	111.0442	0.06
C000032	112.052_0.06	RP_POS	112.0525	0.06
C000033	113.071_0.06	RP_POS	113.0711	0.06
C000034	114.032_0.06	RP_POS	114.0318	0.06
C000035	114.055_0.06	RP_POS	114.0551	0.06
C000036	116.047_0.06	RP_POS	116.0475	0.06
C000037	119.022_0.06	RP_POS	119.0217	0.06
C000038	126.055_0.06	RP_POS	126.0551	0.06
C000039	136.076_0.06	RP_POS	136.0758	0.06
C000040	141.051_0.06	RP_POS	141.0509	0.06
C000041	141.055_0.06	RP_POS	141.0547	0.06
C000042	141.127_0.06	RP_POS	141.1275	0.06
C000043	142.027_0.06	RP_POS	142.0267	0.06
C000044	143.069_0.06	RP_POS	143.069	0.06
C000045	148.097_0.06	RP_POS	148.097	0.06
C000046	152.065_0.06	RP_POS	152.0646	0.06
C000047	155.143_0.06	RP_POS	155.1432	0.06
C000048	157.086_0.06	RP_POS	157.0859	0.06
C000049	157.123_0.06	RP_POS	157.1225	0.06
C000050	158.118_0.06	RP_POS	158.1177	0.06
C000051	171.063_0.06	RP_POS	171.0631	0.06
C000052	177.992_0.06	RP_POS	177.9916	0.06
C000053	179.992_0.06	RP_POS	179.992	0.06
C000054	244.942_0.06	RP_POS	244.9416	0.06
C000055	71.049_0.06	RP_POS	71.0493	0.06
C000056	72.993_0.06	RP_POS	72.993	0.06
C000057	75.055_0.06	RP_POS	75.0554	0.06
C000058	82.026_0.06	RP_POS	82.0264	0.06
C000059	84.044_0.06	RP_POS	84.0439	0.06
C000060	87.044_0.06	RP_POS	87.0441	0.06
C000061	89.071_0.06	RP_POS	89.071	0.06
