compound_id	chemical_name	analysismode	mz	rt
C000001	valine-d8	HILIC_POS	126.1365	7.32
C000002	phenylalanine-d8	HILIC_POS	174.1365	6.61
C000003	glycine	HILIC_POS	76.0393	7.82
C000004	alanine	HILIC_POS	90.055	7.7
C000005	serine	HILIC_POS	106.0498	7.58
C000006	threonine	HILIC_POS	120.0649	7.54
C000007	methionine	HILIC_POS	150.0583	6.93
C000008	aspartate	HILIC_POS	134.0448	8.06
C000009	glutamate	HILIC_POS	148.0604	7.51
C000010	asparagine	HILIC_POS	133.0608	7.85
C000011	glutamine	HILIC_POS	147.0764	7.94
C000012	histidine	HILIC_POS	156.0768	9.33
C000013	arginine	HILIC_POS	175.119	9.07
C000014	lysine	HILIC_POS	147.1128	9.31
C000015	valine	HILIC_POS	118.0857	7.25
C000016	leucine	HILIC_POS	132.1011	6.86
C000017	isoleucine	HILIC_POS	132.1011	6.98
C000018	phenylalanine	HILIC_POS	166.0863	6.6
C000019	tyrosine	HILIC_POS	182.0812	6.71
C000020	tryptophan	HILIC_POS	205.0972	6.39
C000021	proline	HILIC_POS	116.0706	7.99
C000022	hydroxyproline	HILIC_POS	132.0655	7.79
C000023	ornithine	HILIC_POS	133.0971	9.19
C000024	citrulline	HILIC_POS	176.1029	8.26
C000025	taurine	HILIC_POS	126.022	5.96
C000026	5-hydroxytryptophan	HILIC_POS	221.0921	6.6
C000027	5-HIAA	HILIC_POS	192.0655	1.87
C000028	serotonin	HILIC_POS	177.1023	6.13
C000029	GABA/alpha-aminoisobutyric acid	HILIC_POS	104.0706	7.43
C000030	dimethylglycine	HILIC_POS	104.0706	8.42
C000031	ADMA	HILIC_POS	203.1488	9.68
C000032	SDMA	HILIC_POS	203.1488	9.58
C000033	NMMA	HILIC_POS	189.1346	9.31
C000034	anthranilic acid	HILIC_POS	138.0549	1.76
C000035	kynurenic acid	HILIC_POS	190.0499	5.12
C000036	1-methylhistamine	HILIC_POS	126.1025	9.48
C000037	carnosine	HILIC_POS	227.1138	9.67
C000038	histamine	HILIC_POS	112.0869	9.09
C000039	3-hydroxyanthranilic acid	HILIC_POS	154.0499	1.83
C000040	N-carbamoyl-beta-alanine	HILIC_POS	133.0608	3.96
C000041	thiamine	HILIC_POS	265.1117	9.55
C000042	niacinamide	HILIC_POS	123.0553	3.53
C000043	betaine	HILIC_POS	118.0857	8.86
C000044	choline	HILIC_POS	104.1069	8.12
C000045	phosphocholine	HILIC_POS	184.0723	12.02
C000046	alpha-glycerophosphocholine	HILIC_POS	258.1101	10.39
C000047	acetylcholine	HILIC_POS	146.1174	7.62
C000048	spermidine	HILIC_POS	146.1651	10.53
C000049	creatine	HILIC_POS	132.0768	8.19
C000050	creatinine	HILIC_POS	114.0662	6.33
C000051	trimethylamine-N-oxide	HILIC_POS	76.0758	7.94
C000052	glycerol	HILIC_POS	93.0546	4.4
C000053	adenosine	HILIC_POS	268.104	4.86
C000054	cytosine	HILIC_POS	112.0505	5.85
C000055	thymidine	HILIC_POS	243.0975	2.77
C000056	xanthosine	HILIC_POS	285.0829	4.18
C000057	2-deoxyadenosine	HILIC_POS	252.1061	6.06
C000058	2-deoxycytidine	HILIC_POS	228.0978	5.85
C000059	cotinine	HILIC_POS	177.1024	4.89
C000060	mevalonic acid	HILIC_POS	149.0799	3.64
C000061	pipecolic acid	HILIC_POS	130.0863	7.86
C000062	5-aminolevulinic acid	HILIC_POS	132.0656	7.34
C000063	pyroglutamic acid	HILIC_POS	130.0491	7.95
C000064	1-methylnicotinamide	HILIC_POS	137.0709	8.08
C000065	methionine sulfoxide	HILIC_POS	166.0522	8.56
C000066	sarcosine	HILIC_POS	90.0549	8.01
C000067	beta-alanine	HILIC_POS	90.0549	7.88
C000068	anserine	HILIC_POS	241.1295	10.43
C000069	carnitine	HILIC_POS	162.1125	8.67
C000070	C2 carnitine	HILIC_POS	204.1232	8.51
C000071	C3 carnitine	HILIC_POS	218.1387	7.74
C000072	C3-DC-CH3 carnitine	HILIC_POS	262.1286	8.43
C000073	C4 carnitine	HILIC_POS	232.1544	7.85
C000074	C4-OH carnitine	HILIC_POS	248.1494	8.71
C000075	C5 carnitine	HILIC_POS	246.1701	7.64
C000076	C5:1 carnitine	HILIC_POS	244.1544	8.12
C000077	C5-DC carnitine	HILIC_POS	276.1442	7.91
C000078	C6 carnitine	HILIC_POS	260.1837	7.75
C000079	C9 carnitine	HILIC_POS	302.2326	7.05
C000080	C10:2 carnitine	HILIC_POS	312.2168	7.26
C000081	C14 carnitine	HILIC_POS	372.3109	6.64
C000082	C16 carnitine	HILIC_POS	400.3422	6.52
C000083	C18 carnitine	HILIC_POS	428.3735	6.42
C000084	C18:1 carnitine	HILIC_POS	426.3577	6.44
C000085	C18:1-OH carnitine	HILIC_POS	442.3496	6.91
C000086	C18:2 carnitine	HILIC_POS	424.342	6.49
C000087	C20 carnitine	HILIC_POS	456.4046	6.32
C000088	C20:4 carnitine	HILIC_POS	448.3421	6.06
C000089	C26 carnitine	HILIC_POS	540.495	6.12
C000090	3-methoxytyramine	HILIC_POS	168.102	6.23
C000091	atenolol	HILIC_POS	267.1703	6.77
C000092	DOPA	HILIC_POS	198.0761	6.98
C000093	homoserine	HILIC_POS	120.0655	7.53
C000094	metanephrine	HILIC_POS	198.1125	6.58
C000095	tyramine	HILIC_POS	138.0913	6.15
C000096	methylthioadenosine	HILIC_POS	298.0967	4.09
C000097	s-adenosylmethionine	HILIC_POS	399.1446	10.13
C000098	1-methyladenosine	HILIC_POS	282.1196	7.55
C000099	bilirubin	HILIC_POS	585.2708	1.58
C000100	C18:0 LPC	HILIC_POS	524.3712	7.52
C000101	C16:0 SM	HILIC_POS	703.5747	7.09
C000102	cortisone	HILIC_POS	361.201	1.74
C000103	ectoine	HILIC_POS	143.0815	8.82
C000104	hypoxanthine	HILIC_POS	137.0457	4.69
C000105	1-methylguanosine/2-O-methylguanosine	HILIC_POS	298.1147	4.93
C000106	1,2,4-trimethylbenzene	HILIC_POS	121.1011	1.88
C000107	2'-O-methyladenosine/3'-O-methyladenosine	HILIC_POS	282.1194	4.82
C000108	3-dehydroxycarnitine	HILIC_POS	146.1175	8.62
C000109	3-methylhistidine	HILIC_POS	170.0924	9.79
C000110	4-guanidinobutanoic acid	HILIC_POS	146.0924	7.11
C000111	5-methylcytidine	HILIC_POS	258.1084	5.71
C000112	5-methylcytosine	HILIC_POS	126.0662	6.15
C000113	6,8-dihydroxypurine	HILIC_POS	153.0407	4.17
C000114	DMGV	HILIC_POS	202.1197	7.84
C000115	N-a-acetyarginine	HILIC_POS	217.1295	8.04
C000116	N-acetylglutamine	HILIC_POS	189.087	6.89
C000117	N-acetylleucine	HILIC_POS	174.1125	2.63
C000118	N-acetylornithine	HILIC_POS	175.1077	8.35
C000119	N-acetylputrescine	HILIC_POS	131.1179	7.8
C000120	N-acetyltryptophan	HILIC_POS	247.1078	2.75
C000121	N-acetyphenylalanine	HILIC_POS	208.0969	3.07
C000122	N1-acetylspermidine	HILIC_POS	188.1758	9.71
C000123	N1-acetylspermine	HILIC_POS	245.2336	10.86
C000124	N6-acetyllysine	HILIC_POS	189.1233	8.25
C000125	acetaminophen	HILIC_POS	152.0706	1.89
C000126	adrenochrome	HILIC_POS	180.0655	4.38
C000127	alanyalanine	HILIC_POS	161.092	7.78
C000128	beta-guanidinopropionic acid	HILIC_POS	132.0767	7.34
C000129	cadaverine	HILIC_POS	103.1229	9.21
C000130	cellobiose	HILIC_POS	343.1237	6.03
C000131	cerulenin	HILIC_POS	224.1281	1.75
C000132	cortexolone/2,1-deoxycortisol	HILIC_POS	347.2217	1.71
C000133	cortisol	HILIC_POS	363.2166	1.7
C000134	cyclohexylamine	HILIC_POS	100.112	6.27
C000135	cytidine	HILIC_POS	244.0928	5.72
C000136	guanidoacetic acid	HILIC_POS	118.0611	7.74
C000137	guanine	HILIC_POS	152.0567	5.26
C000138	guanosine	HILIC_POS	284.0989	5.14
C000139	histidinol	HILIC_POS	142.0975	8.95
C000140	imidazoleacetic acid	HILIC_POS	127.0502	7.99
C000141	m-coumaric acid	HILIC_POS	165.0547	1.75
C000142	nicotinate	HILIC_POS	124.0393	3.55
C000143	nor-psi-tropine	HILIC_POS	128.107	7.63
C000144	phytosphingosine	HILIC_POS	318.3003	5.74
C000145	proline betaine	HILIC_POS	144.1018	9.1
C000146	pseudouridine	HILIC_POS	245.0769	4.04
C000147	pterin	HILIC_POS	164.0567	4.58
C000148	putrescine	HILIC_POS	89.1074	9.26
C000149	pyridoxamine	HILIC_POS	169.0971	8.98
C000150	quercetin	HILIC_POS	303.0499	1.73
C000151	sphinganine	HILIC_POS	302.3053	5.64
C000152	urocanic acid	HILIC_POS	139.0502	4.34
C000153	xanthine	HILIC_POS	153.0407	3.66
C000154	glycocholate-d4	HILIC_NEG	468.3269	3.9
C000155	thymine-d4	HILIC_NEG	129.0608	1.35
C000156	2-aminoadipate	HILIC_NEG	160.0615	5.25
C000157	2-furoylglycine	HILIC_NEG	168.0302	3.8
C000158	2-hydroxyglutarate	HILIC_NEG	147.0299	7
C000159	3-4-dihydroxybenzylamine	HILIC_NEG	138.0561	2.8
C000160	3-4-dihydroxyphenylglycol	HILIC_NEG	169.0506	2
C000161	3-hydroxykynurenate	HILIC_NEG	223.0724	3.9
C000162	3-methyladipate/pimelate	HILIC_NEG	159.0663	6.75
C000163	4-hydroxybenzaldehyde	HILIC_NEG	121.0295	2.45
C000164	4-hydroxybenzeneacetonitrile	HILIC_NEG	132.0455	1.2
C000165	4-pyridoxate	HILIC_NEG	182.0459	3.65
C000166	adenine	HILIC_NEG	134.0472	2.25
C000167	adipate	HILIC_NEG	145.0506	6.8
C000168	alanine	HILIC_NEG	88.04	3.1
C000169	alpha-glycerophosphate	HILIC_NEG	171.0064	7.25
C000170	alpha-hydroxybutyrate/beta-hydroxybutyrate	HILIC_NEG	103.0401	3.6
C000171	alpha-ketoglutarate	HILIC_NEG	145.0142	7.35
C000172	arginine	HILIC_NEG	173.104	3.8
C000173	ascorbate	HILIC_NEG	175.0248	8.5
C000174	aspartate	HILIC_NEG	132.0302	5.25
C000175	azelaic acid	HILIC_NEG	187.0976	6.95
C000176	benzoate	HILIC_NEG	121.0295	4
C000177	butyrate	HILIC_NEG	87.0452	3.65
C000178	caproate	HILIC_NEG	115.0765	3.5
C000179	caprylate	HILIC_NEG	143.1078	3.4
C000180	chenodeoxycholate/deoxycholate	HILIC_NEG	391.2854	4
C000181	citrate/isocitrate	HILIC_NEG	191.0197	9
C000182	citrulline	HILIC_NEG	174.0884	3.5
C000183	corticosterone	HILIC_NEG	345.2071	1.15
C000184	cytidine	HILIC_NEG	242.0782	2.2
C000185	dCMP	HILIC_NEG	306.0497	7.4
C000186	eicosapentaenoate	HILIC_NEG	301.2173	3.1
C000187	erythronate	HILIC_NEG	135.0299	4.4
