compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	1,11-Undecanedicarboxylic acid	10458	
CPD00002	1,2-dipalmitoylglycerol	99931	
CPD00003	1,2-propanediol		C00583
CPD00004	1,3,7-trimethylurate	79437	C16361
CPD00005	1,3-dihydroxyacetone	670	C00184
CPD00006	1,3-dipalmitoylglycerol	68149	
CPD00007	1,5-anhydroglucitol (1,5-AG)		C07326
CPD00008	1,7-dimethylurate	91611	C16356
CPD00009	1-arachidonoylglycerophosphocholine*		C05208
CPD00010	1-arachidonoylglycerophosphoethanolamine*		
CPD00011	1-arachidonoylglycerophosphoinositol*		
CPD00012	1-docosahexaenoylglycerophosphocholine*		
CPD00013	1-docosapentaenoylglycerophosphocholine*		
CPD00014	1-eicosadienoylglycerophosphocholine*		
CPD00015	1-eicosatrienoylglycerophosphocholine*		
CPD00016	1-heptadecanoylglycerophosphocholine		
CPD00017	1-linoleoylglycerophosphocholine	11988421	C04100
CPD00018	1-linoleoylglycerophosphoethanolamine*		
CPD00019	1-methylurate	69726	
CPD00020	1-methylxanthine	80220	C16358
CPD00021	1-myristoylglycerophosphocholine	460604	
CPD00022	1-oleoylglycerol (1-monoolein)	5283468	
CPD00023	1-oleoylglycerophosphocholine	16081932	
CPD00024	1-oleoylglycerophosphoethanolamine	9547071	
CPD00025	1-palmitoleoylglycerophosphocholine*		
CPD00026	1-palmitoylglycerol (1-monopalmitin)	14900	
CPD00027	1-palmitoylglycerophosphocholine	86554	
CPD00028	1-palmitoylglycerophosphoethanolamine	9547069	
CPD00029	1-palmitoylglycerophosphoinositol*		
CPD00030	1-pentadecanoylglycerophosphocholine*		
CPD00031	1-stearoylglycerophosphocholine	497299	
CPD00032	1-stearoylglycerophosphoethanolamine	9547068	
CPD00033	1-stearoylglycerophosphoinositol		
CPD00034	10-heptadecenoate (17:1n7)	5312435	
CPD00035	10-nonadecenoate (19:1n9)	5312513	
CPD00036	10-undecenoate (11:1n1)		
CPD00037	13-HODE + 9-HODE		
CPD00038	15-methylpalmitate (isobar with 2-methylpalmitate)		
CPD00039	17-methylstearate	3083779	
CPD00040	2-aminobutyrate	4396916971251	C02261
CPD00041	2-arachidonoylglycerophosphocholine*		
CPD00042	2-arachidonoylglycerophosphoethanolamine*		
CPD00043	2-docosahexaenoylglycerophosphoethanolamine*		
CPD00044	2-docosapentaenoylglycerophosphocholine*		
CPD00045	2-ethylhexanoate	8697	
CPD00046	2-hydroxy-3-methylvalerate	164623	
CPD00047	2-hydroxybutyrate (AHB)	440864	C05984
CPD00048	2-hydroxydecanoic acid	21488	
CPD00049	2-hydroxyglutarate	43	C02630
CPD00050	2-hydroxyhippurate (salicylurate)	10253	C07588
CPD00051	2-hydroxyisobutyrate	11671	
CPD00052	2-hydroxypalmitate	92836	
CPD00053	2-hydroxystearate	69417	C03045
CPD00054	2-linoleoylglycerophosphocholine*		
CPD00055	2-linoleoylglycerophosphoethanolamine*		
CPD00056	2-methylbutyrylcarnitine (C5)	6426901	
CPD00057	2-myristoylglycerophosphocholine*		
CPD00058	2-oleoylglycerophosphocholine*		
CPD00059	2-oleoylglycerophosphoethanolamine*		
CPD00060	2-palmitoleoylglycerophosphocholine*		
CPD00061	2-palmitoylglycerophosphocholine*		
CPD00062	2-palmitoylglycerophosphoethanolamine*		
CPD00063	2-stearoylglycerophosphocholine*	10208382	
CPD00064	21-hydroxypregnenolone disulfate	134595	C05485
CPD00065	3-(4-hydroxyphenyl)lactate	9378	C03672
CPD00066	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	123979	
CPD00067	3-dehydrocarnitine*	6991982	C02636
CPD00068	3-hydroxy-2-ethylpropionate	188979	
CPD00069	3-hydroxybutyrate (BHBA)	441	C01089
CPD00070	3-hydroxydecanoate	26612	
CPD00071	3-hydroxyhippurate	450268	
CPD00072	3-hydroxyisobutyrate	11966314	C06001
CPD00073	3-hydroxyoctanoate	26613	
CPD00074	3-hydroxypropanoate	5459847	C01013
CPD00075	3-indoxyl sulfate	10258	
CPD00076	3-methoxytyrosine	9307	
CPD00077	3-methyl catechol sulfate 1		
CPD00078	3-methyl-2-oxobutyrate	49	C00141
CPD00079	3-methyl-2-oxovalerate	47	C00671
CPD00080	3-methylglutarylcarnitine (C6)	128145	
CPD00081	3-methylhistidine	649696971061	C01152
CPD00082	3-methylxanthine	70639	C16357
CPD00083	3-phosphoglycerate		C00597
CPD00084	4-androsten-3beta,17beta-diol disulfate 1*		
CPD00085	4-androsten-3beta,17beta-diol disulfate 2*		
CPD00086	4-ethylphenylsulfate		C13637
CPD00087	4-hydroxyhippurate	151012	
CPD00088	4-hydroxyphenylacetate	4693933	C00642
CPD00089	4-hydroxyphenylpyruvate	979	C01179
CPD00090	4-methyl-2-oxopentanoate	70	C00233
CPD00091	4-methylcatechol sulfate		
CPD00092	4-vinylphenol sulfate	6426766	C05627
CPD00093	5,6-dihydrouracil	649	C00429
CPD00094	5-dodecenoate (12:1n7)	5312378	
CPD00095	5-methyluridine (ribothymidine)	445408	
CPD00096	5-oxoproline	7405	C01879
CPD00097	5alpha-androstan-3beta,17beta-diol disulfate		
CPD00098	5alpha-pregnan-3beta,20alpha-diol disulfate		
CPD00099	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	3081085	C17337
