compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00150	N-acetylneuraminate		C00270
CPD00151	N-acetylphenylalanine	74839	C03519
CPD00152	N-acetylputrescine	122356	C02714
CPD00153	N-acetylserine	65249	
CPD00154	N6-carbamoylthreonyladenosine		
CPD00155	nicotinamide	936	C00153
CPD00156	nicotinate ribonucleoside*	161233	C05841
CPD00157	O-acetylhomoserine	439389	C01077
CPD00158	ornithine	6262	C00077
CPD00159	orotate	967	C00295
CPD00160	p-cresol sulfate	4615422	C01468
CPD00161	palmitoyl sphingomyelin	9939941	
CPD00162	pantothenate	6613	C00864
CPD00163	paraxanthine	4687	C13747
CPD00164	pelargonate (9:0)	5461016	C01601
CPD00165	phenol sulfate	74426	C02180
CPD00166	phenylacetate		C07086
CPD00167	phenylalanine	69256656140	C00079
CPD00168	phenylalanylglycine	98207	
CPD00169	phenylalanylisoleucine		
CPD00170	phenylalanylleucine	4078229	
CPD00171	phenylalanylphenylalanine	69930906993089	
CPD00172	phenylalanyltyrosine		
CPD00173	phenyllactate (PLA)	3848	C05607
CPD00174	phosphate	1061	C00009
CPD00175	phosphoethanolamine	52323241015	C00346
CPD00176	picolinate	1018	C10164
CPD00177	pipecolate	849	C00408
CPD00178	proline	1457426971047	C00148
CPD00179	prolylglycine	74080766426709	
CPD00180	prolylproline	1190292811622590	
CPD00181	propionylcarnitine	107738	C03017
CPD00182	pseudouridine		C02067
CPD00183	putrescine		C00134
CPD00184	pyroglutamine*	134508	
CPD00185	pyrophosphate (PPi)	644102	C00013
CPD00186	pyruvate	107735	C00022
CPD00187	quinate		C00296
CPD00188	ribose	5311110	C00121
CPD00189	sarcosine (N-Methylglycine)	10887311726	C00213
CPD00190	scyllo-inositol		C06153
CPD00191	sebacate (decanedioate)	5192	C08277
CPD00192	serine	59516857581	C00065
CPD00193	serylleucine		
CPD00194	stachydrine	115244	C10172
CPD00195	succinate	1110	C00042
CPD00196	succinylcarnitine		
CPD00197	tartarate	875	C00898
CPD00198	taurine	11234068592	C00245
CPD00199	tetradecanedioate	13185	
CPD00200	theobromine	5429	C07480
CPD00201	threitol	169019	C16884
CPD00202	threonate	151152	C01620
CPD00203	threonine	69710196288	C00188
CPD00204	threonylphenylalanine	40997994099798	
CPD00205	threonylvaline	4167214278432	
CPD00206	thymine	1135	C00178
CPD00207	trans-4-hydroxyproline	58106971053	C01157
CPD00208	trans-urocanate	736715	C00785
CPD00209	tryptophan	69235166305	C00078
CPD00210	tryptophan betaine	442106	C09213
CPD00211	tyrosine	60576942100	C00082
CPD00212	tyrosylglutamine		
CPD00213	tyrosylglycine	259323	
CPD00214	tyrosylleucine	870717009561	
CPD00215	undecanedioate	15816	
CPD00216	uracil	1174	C00106
CPD00217	urate		C00366
CPD00218	urea	117616150869	C00086
CPD00219	uridine	6029	C00299
CPD00220	valerate	7991	C00803
CPD00221	valine	69710186287	C00183
CPD00222	valylalanine	334517	
CPD00223	valylisoleucine	52460125246013	
CPD00224	valylleucine	352039	
CPD00225	vanillate	8468	C06672
CPD00226	xanthine	1188	C00385
CPD00227	xylonate	6602431	C05411
CPD00228	xylose	95259	C00181
CPD00229	X - 03056		
CPD00230	X - 11315		
CPD00231	X - 11390		
CPD00232	X - 11423		
CPD00233	X - 11508		
CPD00234	X - 11607		
CPD00235	X - 11616		
CPD00236	X - 11618		
CPD00237	X - 11641		
CPD00238	X - 11684		
CPD00239	X - 12259		
CPD00240	X - 12748		
CPD00241	X - 12776		
CPD00242	X - 12805		
CPD00243	X - 12889		
CPD00244	X - 12944		
CPD00245	X - 13230		
CPD00246	X - 13452		
CPD00247	X - 13537		
CPD00248	X - 13579		
CPD00249	X - 13671		
CPD00250	X - 13673		
CPD00251	X - 13819		
CPD00252	X - 13874		
CPD00253	X - 13879		
CPD00254	X - 13891		
CPD00255	X - 14105		
CPD00256	X - 14257		
CPD00257	X - 14473		
CPD00258	X - 14904		
CPD00259	X - 15160		
CPD00260	X - 15415		
CPD00261	X - 15461		
CPD00262	X - 15489		
CPD00263	X - 15580		
CPD00264	X - 15581		
CPD00265	X - 15594		
CPD00266	X - 15605		
CPD00267	X - 15675		
CPD00268	X - 15689		
CPD00269	X - 15735		
CPD00270	X - 15808		
CPD00271	X - 16103		
CPD00272	X - 16271		
CPD00273	X - 16626		
CPD00274	X - 16674		
CPD00275	X - 17010		
CPD00276	X - 17502		
CPD00277	X - 18037		
CPD00278	X - 18059		
CPD00279	X - 18095		
CPD00280	X - 18111		
CPD00281	X - 18113		
CPD00282	X - 18140		
CPD00283	X - 18278		
CPD00284	X - 18309		
CPD00285	X - 18330		
CPD00286	X - 18672		
CPD00287	X - 19437		
CPD00288	X - 19489		
CPD00289	X - 19572		
