compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0117	4-hydroxyphenylacetatoylcarnitine	NA	NA
CPD0118	4-hydroxyphenylacetylglutamine	NA	NA
CPD0119	4-hydroxyphenylpyruvate	C01179	979
CPD0120	4-methyl-2-oxopentanoate	C00233	70
CPD0121	4-methylcatechol sulfate	NA	NA
CPD0122	4-vinylguaiacol sulfate	NA	NA
CPD0123	4-vinylphenol sulfate	C05627	6426766
CPD0124	5,6-dihydrothymine	C00906	93556
CPD0125	5,6-dihydrouracil	C00429	649
CPD0126	5-(galactosylhydroxy)-L-lysine	NA	NA
CPD0127	5-acetylamino-6-amino-3-methyluracil	C16366	88299
CPD0128	5-acetylamino-6-formylamino-3-methyluracil	C16365	108214
CPD0129	5-bromotryptophan	NA	96735
CPD0130	5-hydroxyhexanoate	NA	170748
CPD0131	5-hydroxyindole sulfate	NA	NA
CPD0132	5-hydroxyindoleacetate	C05635	1826
CPD0133	5-hydroxylysine	C16741	1029
CPD0134	5-methylthioadenosine (MTA)	C00170	439176
CPD0135	5-methyluridine (ribothymidine)	NA	445408
CPD0136	5-oxoproline	C01879	7405
CPD0137	5alpha-androstan-3alpha,17alpha-diol monosulfate	NA	NA
CPD0138	5alpha-androstan-3alpha,17beta-diol disulfate	NA	NA
CPD0139	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	NA	NA
CPD0140	5alpha-androstan-3beta,17alpha-diol disulfate	NA	NA
CPD0141	5alpha-androstan-3beta,17beta-diol disulfate	C12525	242332
CPD0142	5alpha-androstan-3beta,17beta-diol monosulfate (2)	NA	NA
CPD0143	5alpha-pregnan-3(alpha or beta),20beta-diol disulfate	NA	5127902
CPD0144	5alpha-pregnan-3beta,20alpha-diol disulfate	NA	NA
CPD0145	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	NA	NA
CPD0146	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	NA	NA
CPD0147	6-hydroxyindole sulfate	NA	NA
