compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	1,2-propanediol		C00583
CPD00002	1,3,7-trimethylurate	79437	C16361
CPD00003	1,3-dimethylurate	70346	
CPD00004	1,5-anhydroglucitol (1,5-AG)		C07326
CPD00005	1,6-anhydroglucose	11412545	
CPD00006	1,7-dimethylurate	91611	C16356
CPD00007	1-(3-aminopropyl)-2-pyrrolidone	82111	
CPD00008	1-kestose	440080	C03661
CPD00009	1-methylhistidine	921057020397	C01152
CPD00010	1-methylimidazoleacetate	75810	C05828
CPD00011	1-methylnicotinamide		C02918
CPD00012	1-methylurate	69726	
CPD00013	1-methylxanthine	80220	C16358
CPD00014	12-dehydrocholate	94235	
CPD00015	2,3-butanediol		C03044
CPD00016	2,3-dihydroxyisovalerate	677	C04039
CPD00017	2,4,6-trihydroxybenzoate	66520	
CPD00018	2-aminoadipate	469	C00956
CPD00019	2-aminobutyrate	4396916971251	C02261
CPD00020	2-hydroxybutyrate (AHB)	440864	C05984
CPD00021	2-hydroxyglutarate	43	C02630
CPD00022	2-hydroxyhippurate (salicylurate)	10253	C07588
CPD00023	2-hydroxyisobutyrate	11671	
CPD00024	2-hydroxyphenylacetate	11970	C05852
CPD00025	2-isopropylmalate	77	C02504
CPD00026	2-methylbutyrylcarnitine (C5)	6426901	
CPD00027	2-methylbutyrylglycine	193872	
CPD00028	2-methylcitrate	5460420	C02225
CPD00029	2-methylhippurate	91637	
CPD00030	2-octenedioate	5354607	
CPD00031	2-oxindole-3-acetate	3080590	
CPD00032	2-oxo-1-pyrrolidinepropionate	3146688	
CPD00033	2-pyrrolidinone	12025	
CPD00034	21-hydroxypregnenolone disulfate	134595	C05485
CPD00035	3,4-dihydroxyphenylacetate	547	C01161
CPD00036	3,5-dihydroxybenzoic acid	7424	
CPD00037	3-(4-hydroxyphenyl)lactate	9378	C03672
CPD00038	3-aminoisobutyrate	64956	C05145
CPD00039	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	123979	
CPD00040	3-dehydrocarnitine*	6991982	C02636
CPD00041	3-ethylphenylsulfate*		C14386
CPD00042	3-hydroxy-2-ethylpropionate	188979	
CPD00043	3-hydroxy-3-methylglutarate	5459993	C03761
CPD00044	3-hydroxyanthranilate	86	C00632
CPD00045	3-hydroxybutyrate (BHBA)	441	C01089
CPD00046	3-hydroxyglutarate	181976	
CPD00047	3-hydroxyhippurate	450268	
CPD00048	3-hydroxyisobutyrate	11966314	C06001
CPD00049	3-hydroxykynurenine	89	C02794
CPD00050	3-hydroxyphenylacetate	6950813	C05593
CPD00051	3-hydroxyproline	559314	C05147
CPD00052	3-hydroxypropanoate	5459847	C01013
CPD00053	3-hydroxypyridine	7971	
CPD00054	3-hydroxysebacate	3017884	
CPD00055	3-indoxyl sulfate	10258	
CPD00056	3-methoxytyrosine	9307	
CPD00057	3-methyl catechol sulfate 1		
CPD00058	3-methyl catechol sulfate 2		
CPD00059	3-methylcrotonylglycine	169485	
CPD00060	3-methylcytidine	10988995	
CPD00061	3-methylglutaconate	1551553	
CPD00062	3-methylglutarate	12284	
CPD00063	3-methylglutarylcarnitine (C6)	128145	
CPD00064	3-methylhistidine	649696971061	C01152
CPD00065	3-methylxanthine	70639	C16357
CPD00066	3-phosphoglycerate		C00597
CPD00067	3-sialyllactose	123914	
CPD00068	3-ureidopropionate	111	C02642
CPD00069	4-acetamidobutanoate	18189	C02946
CPD00070	4-acetaminophen sulfate	83939	C06804
CPD00071	4-acetylphenol sulfate	4684006	C00548
CPD00072	4-androsten-3beta,17beta-diol disulfate 1*		
CPD00073	4-androsten-3beta,17beta-diol disulfate 2*		
CPD00074	4-ethylphenylsulfate		C13637
CPD00075	4-guanidinobutanoate	500	C01035
CPD00076	4-hydroxybenzoate	1353702506	C00156
CPD00077	4-hydroxyhippurate	151012	
CPD00078	4-hydroxyisoleucine	2773624	
CPD00079	4-hydroxymandelate	328	C03198
CPD00080	4-hydroxyphenylacetate	4693933	C00642
CPD00081	4-hydroxyphenylpyruvate	979	C01179
CPD00082	4-imidazoleacetate	96215	C02835
CPD00083	4-methylcatechol sulfate		
CPD00084	4-ureidobutyrate	1571307	
CPD00085	4-vinylphenol sulfate	6426766	C05627
CPD00086	5,6-dihydrouracil	649	C00429
CPD00087	5-acetylamino-6-amino-3-methyluracil	88299	C16366
CPD00088	5-acetylamino-6-formylamino-3-methyluracil	108214	C16365
CPD00089	5-aminovalerate	6992101138	C00431
CPD00090	5-hydroxyhexanoate	170748	
CPD00091	5-hydroxyindoleacetate	1826	C05635
CPD00092	5-hydroxymethyl-2-furoic acid	80642	
CPD00093	5-methylcytidine	92918	
CPD00094	5-methylthioadenosine (MTA)	439176	C00170
CPD00095	5-oxoproline	7405	C01879
CPD00096	5alpha-androstan-3beta,17beta-diol disulfate		
CPD00097	6-sialyl-N-acetyllactosamine	16212424	
CPD00098	7,8-dihydroneopterin	65074	C04895
CPD00099	7-methylguanine	11361	C02242
CPD00100	7-methylxanthine	68374	C16353
CPD00101	acetoacetate	96	C00164
CPD00102	acetylcarnitine	7045767	C02571
CPD00103	adenine	190	C00147
CPD00104	adenosine	60961	C00212
CPD00105	adenosine 3',5'-cyclic monophosphate (cAMP)	274	C00575
CPD00106	adipate	196	C06104
CPD00107	alanine	59507311724	C00041
CPD00108	alanylalanine	54603626992112	C00993
CPD00109	allantoin	204	C02350
CPD00110	allo-threonine	992896995276	C05519
CPD00111	alpha-CEHC glucuronide*		
CPD00112	alpha-glutamylvaline	433630	
CPD00113	alpha-hydroxyisovalerate	99823	
CPD00114	alpha-ketoglutarate	51	C00026
CPD00115	andro steroid monosulfate 2*		C04555
CPD00116	androsterone sulfate		C00523
CPD00117	anserine	6992114112072	C01262
CPD00118	arabinose	66308	C00216
CPD00119	arabitol	94154	C00474
CPD00120	arabonate	122045	
CPD00121	ascorbate (Vitamin C)		C00072
CPD00122	asparagine	62676992089	C00152
CPD00123	aspartate	5960	C00049
CPD00124	azelate (nonanedioate)	2266	C08261
CPD00125	benzene-1,2,3-triol		
CPD00126	benzoate	243	C00180
CPD00127	beta-alanine	2394755801	C00099
CPD00128	beta-hydroxyisovalerate	69362	
CPD00129	beta-hydroxypyruvate	964	C00168
CPD00130	bisphenol A monosulfate		
CPD00131	butyrylcarnitine	213144	
CPD00132	C-glycosyltryptophan*		
CPD00133	cadaverine		C01672
CPD00134	caffeine	2519	C07481
CPD00135	carnitine	10917	C00318
CPD00136	carnosine	4392246992100	C00386
CPD00137	catechol sulfate	3083879	C00090
CPD00138	chiro-inositol		
CPD00139	ciliatine (2-aminoethylphosphonate)		C03557
CPD00140	cinnamoylglycine	709625	
CPD00141	cis-aconitate	643757	C00417
CPD00142	citramalate	1081	C00815
CPD00143	citrate	311	C00158
CPD00144	coproporphyrin III		C05770
CPD00145	cortisone	222786408722	C00762
CPD00146	creatine	586	C00300
CPD00147	creatinine	588	C00791
CPD00148	cystathionine	4083111834	C02291
CPD00149	cysteine	58626419722	C00097
CPD00150	cystine	595	C00491
CPD00151	cytidine	6175	C00475
CPD00152	decanoylcarnitine	10245190	
CPD00153	dehydroisoandrosterone sulfate (DHEA-S)	12594	C04555
CPD00154	diglycerol	42953	
CPD00155	dihydrobiopterin	1879	C00268
CPD00156	dimethylarginine (SDMA + ADMA)	123831	C03626
CPD00157	dimethylglycine	6971056673	C01026
CPD00158	erythritol		C00503
CPD00159	erythronate*	2781043	
CPD00160	ethanolamine		C00189
CPD00161	ethylmalonate	11756	
CPD00162	fructose	5984	C00095
CPD00163	fucitol	3429	
CPD00164	fucose	3034656	C02095
CPD00165	fumarate		C00122
CPD00166	galactitol (dulcitol)	11850	C01697
CPD00167	gamma-CEHC glucuronide*		
CPD00168	gamma-glutamylisoleucine*		
CPD00169	gamma-glutamylleucine	151023	
CPD00170	gamma-glutamylphenylalanine	111299	
CPD00171	gamma-glutamyltyrosine	94340	
CPD00172	gamma-glutamylvaline		
CPD00173	gentisate	3469	C00628
CPD00174	gluconate	10690	C00257
CPD00175	glucosamine	441477	C00329
CPD00176	glucuronate	65041	C00191
CPD00177	glutamate	611	C00025
CPD00178	glutamine	5961	C00064
CPD00179	glutarate (pentanedioate)	4418048	C00489
CPD00180	glutarylcarnitine (C5)		
CPD00181	glycerol 3-phosphate (G3P)	754	C00093
CPD00182	glycerophosphorylcholine (GPC)	657272	C00670
CPD00183	glycine	5257127750	C00037
CPD00184	glycocholate	10140	C01921
CPD00185	glycocholenate sulfate*		
CPD00186	glycolate (hydroxyacetate)	3698251757	C00160
CPD00187	glycolithocholate sulfate*	72222	C11301
CPD00188	glycylglycine	154889711163	C02037
CPD00189	glycylproline	30136256993386	
CPD00190	guanidine	3520	C17349
CPD00191	guanidinoacetate	7.6339468484546992E+16	C00581
CPD00192	guanine	764	C00242
CPD00193	gulono-1,4-lactone	608	C01040
CPD00194	hexanoylcarnitine	6426853	
CPD00195	hexanoylglycine	99463	
CPD00196	hippurate	464	C01586
CPD00197	histidine	7733651426	C00135
CPD00198	homocitrate	439459	C01251
CPD00199	homocitrulline	650726991977	C02427
CPD00200	homocysteine	778	C00155
CPD00201	homoserine	126476971022	C00263
CPD00202	homostachydrine*	441447	C08283
CPD00203	homovanillate (HVA)	6950168	C05582
CPD00204	hydantoin-5-propionic acid	782	C05565
CPD00205	hydroquinone sulfate	161220	C00530
CPD00206	hydroxyisovaleroyl carnitine		
CPD00207	hypoxanthine	790	C00262
CPD00208	imidazole lactate	440129	C05568
CPD00209	imidazole propionate	70630	
CPD00210	indoleacetate	802	C00954
CPD00211	indoleacetylglutamine		
CPD00212	indolelactate	92904	C02043
CPD00213	inosine		C00294
CPD00214	isobutyrylcarnitine		
CPD00215	isobutyrylglycine	10855600	
CPD00216	isocitrate	1198	C00311
CPD00217	isoleucine	791	C00407
CPD00218	isosorbide	12597	D00347
CPD00219	isovalerylcarnitine	6426851	
CPD00220	isovalerylglycine	546304	
CPD00221	itaconate (methylenesuccinate)	811	C00490
CPD00222	kynurenate	3845	C01717
CPD00223	kynurenine	1611666971029	C00328
CPD00224	L-urobilin	5280818	C05793
CPD00225	lactate	612	C00186
CPD00226	lactose	6134	C00243
CPD00227	leucine	70457986106	C00123
