compound_id	chemical_name	analysismode	mz	rt
C000001	921.0024_1.3550268	RP_POS	921.0024	1.36
C000002	129.0429_1.3699783	RP_POS	129.0429	1.37
C000003	214.0086_1.3896846	RP_POS	214.0086	1.39
C000004	165.078_1.8635145	RP_POS	165.078	1.86
C000005	341.1474_1.9214364	RP_POS	341.1474	1.92
C000006	1668.3951_10.133523	RP_POS	1668.3951	10.13
C000007	1000.836_10.150669	RP_POS	1000.836	10.15
C000008	1001.0359_10.148556	RP_POS	1001.0359	10.15
C000009	244.1786_10.252734	RP_POS	244.1786	10.25
C000010	1011.5036_11.337612	RP_POS	1011.5036	11.34
C000011	1354.1602_11.121464	RP_POS	1354.1602	11.12
C000012	618.3215_11.413886	RP_POS	618.3215	11.41
C000013	1179.0818_11.588641	RP_POS	1179.0818	11.59
C000014	1135.0651_11.601618	RP_POS	1135.0651	11.6
C000015	1000.5947_11.666111	RP_POS	1000.5947	11.67
C000016	1000.7951_11.672419	RP_POS	1000.7951	11.67
C000017	1000.3936_11.664498	RP_POS	1000.3936	11.66
C000018	1000.1937_11.660837	RP_POS	1000.1937	11.66
C000019	2500.979_11.659213	RP_POS	2500.979	11.66
C000020	2500.4807_11.66057	RP_POS	2500.4807	11.66
C000021	941.4624_11.793138	RP_POS	941.4624	11.79
C000022	923.4492_11.797355	RP_POS	923.4492	11.8
C000023	1350.6478_12.070454	RP_POS	1350.6478	12.07
C000024	1770.8438_12.183346	RP_POS	1770.8438	12.18
C000025	1394.684_12.334097	RP_POS	1394.684	12.33
C000026	898.535_12.578747	RP_POS	898.535	12.58
C000027	920.783_12.532398	RP_POS	920.783	12.53
C000028	995.1372_12.557626	RP_POS	995.1372	12.56
C000029	994.8014_12.545435	RP_POS	994.8014	12.55
C000030	2009.9633_12.632836	RP_POS	2009.9633	12.63
C000031	688.2946_12.624244	RP_POS	688.2946	12.62
C000032	1031.941_12.630228	RP_POS	1031.941	12.63
C000033	669.9894_12.643255	RP_POS	669.9894	12.64
C000034	687.9614_12.63855	RP_POS	687.9614	12.64
C000035	670.3233_12.636489	RP_POS	670.3233	12.64
C000036	1950.9606_13.871605	RP_POS	1950.9606	13.87
C000037	841.422_13.998767	RP_POS	841.422	14
C000038	2102.557_13.990262	RP_POS	2102.557	13.99
C000039	1384.3997_13.9949665	RP_POS	1384.3997	13.99
C000040	2076.093_14.002337	RP_POS	2076.093	14
C000041	1384.0634_13.998247	RP_POS	1384.0634	14
C000042	1383.7288_13.993292	RP_POS	1383.7288	13.99
C000043	2075.5923_14.014834	RP_POS	2075.5923	14.01
C000044	841.2211_13.998668	RP_POS	841.2211	14
C000045	830.4418_14.016919	RP_POS	830.4418	14.02
C000046	830.2339_14.01079	RP_POS	830.2339	14.01
C000047	841.0245_13.996906	RP_POS	841.0245	14
C000048	1790.971_14.489863	RP_POS	1790.971	14.49
C000049	1791.6418_14.495323	RP_POS	1791.6418	14.5
C000050	1791.3083_14.484935	RP_POS	1791.3083	14.48
C000051	180.0788_14.698042	RP_POS	180.0788	14.7
C000052	222.0895_14.69111	RP_POS	222.0895	14.69
C000053	465.3095_14.717313	RP_POS	465.3095	14.72
C000054	1591.368_14.834924	RP_POS	1591.368	14.83
C000055	1590.872_14.832062	RP_POS	1590.872	14.83
C000056	616.2528_15.125908	RP_POS	616.2528	15.13
C000057	598.2443_15.114142	RP_POS	598.2443	15.11
C000058	1055.2369_15.603265	RP_POS	1055.2369	15.6
C000059	1054.9023_15.598931	RP_POS	1054.9023	15.6
C000060	1055.5717_15.59874	RP_POS	1055.5717	15.6
