compound_id	chemical_name	analysismode	mz	rt
C000001	85.04_6.52	RP_POS	85.0402178	6.52
C000002	85.04_0.69	RP_POS	85.04027953	0.69
C000003	85.048_3.55	RP_POS	85.04830732	3.55
C000004	85.065_5.49	RP_POS	85.06548496	5.49
C000005	85.066_0.23	RP_POS	85.0658309	0.23
C000006	85.067_8.76	RP_POS	85.0666501	8.76
C000007	85.077_9.07	RP_POS	85.07660811	9.07
C000008	85.077_0.73	RP_POS	85.07680933	0.73
C000009	85.085_2.01	RP_POS	85.08461964	2.01
C000010	85.101_0.53	RP_POS	85.10083854	0.53
C000011	85.102_9.9	RP_POS	85.10150218	9.9
C000012	85.516_2.05	RP_POS	85.51561584	2.05
C000013	85.574_2.01	RP_POS	85.57421466	2.01
C000014	86.061_6.27	RP_POS	86.06066999	6.27
C000015	86.091_1.36	RP_POS	86.09122755	1.36
C000016	86.094_9.65	RP_POS	86.09411835	9.65
C000017	86.097_1.45	RP_POS	86.09702529	1.45
C000018	86.103_1.2	RP_POS	86.10337986	1.2
C000019	86.909_1.35	RP_POS	86.90919249	1.35
C000020	87.044_6.48	RP_POS	87.04447871	6.48
C000021	87.045_5.05	RP_POS	87.04461395	5.05
C000022	87.056_1.35	RP_POS	87.0557626	1.35
C000023	87.056_6.76	RP_POS	87.0560072	6.76
C000024	87.064_3.39	RP_POS	87.06394473	3.39
C000025	87.064_6.98	RP_POS	87.06399478	6.98
C000026	87.092_7.97	RP_POS	87.09223379	7.97
C000027	87.092_3.1	RP_POS	87.09224489	3.1
C000028	87.1_1.32	RP_POS	87.10036671	1.32
C000029	87.924_5.33	RP_POS	87.92445071	5.33
C000030	88.022_8.79	RP_POS	88.02211758	8.79
C000031	88.04_6.25	RP_POS	88.03990927	6.25
C000032	88.047_7.73	RP_POS	88.04682561	7.73
C000033	88.047_0.25	RP_POS	88.04737168	0.25
C000034	88.054_8.12	RP_POS	88.05449732	8.12
C000035	88.069_7.83	RP_POS	88.06896305	7.83
C000036	88.07_7.88	RP_POS	88.07041874	7.88
C000037	88.076_0.3	RP_POS	88.07623923	0.3
C000038	88.076_9.47	RP_POS	88.07625191	9.47
C000039	88.098_8.07	RP_POS	88.09849773	8.07
C000040	88.106_8.1	RP_POS	88.10603546	8.1
C000041	88.106_0.43	RP_POS	88.10637125	0.43
C000042	88.113_9.34	RP_POS	88.1125996	9.34
C000043	88.113_7.62	RP_POS	88.11260618	7.62
C000044	88.509_7.87	RP_POS	88.509253	7.87
C000045	88.969_5.23	RP_POS	88.96894956	5.23
C000046	89.008_0.32	RP_POS	89.0081911	0.32
C000047	89.009_7.42	RP_POS	89.008704	7.42
C000048	89.011_0.46	RP_POS	89.01114324	0.46
C000049	89.011_7.82	RP_POS	89.01117524	7.82
C000050	89.035_5.59	RP_POS	89.03501805	5.59
C000051	89.055_6.2	RP_POS	89.05539695	6.2
C000052	89.06_9.45	RP_POS	89.06023176	9.45
C000053	89.069_0.74	RP_POS	89.06909854	0.74
