compound_id	BIOCHEMICAL	INCHIKEY
CPD00866	bilirubin degradation product, C17H18N2O4 (3)**	
CPD00867	bilirubin degradation product, C17H20N2O5 (1)**	
CPD00868	bilirubin degradation product, C17H20N2O5 (2)**	
CPD00033	biliverdin	QBUVFDKTZJNUPP-BBROENKCBK
CPD00842	branched chain 14:0 dicarboxylic acid**	
CPD00848	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	
CPD00850	branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	
CPD00151	butyrate/isobutyrate (4:0)	FERIUCNNQQJTOY-UHFFFAOYAP
CPD00255	butyrylcarnitine (C4)	QWYFHHGCZUCMBN-SECBINFHBA
CPD00271	butyrylglycine	WPSSBBPLVMTKRN-UHFFFAOYAS
CPD00679	caffeic acid sulfate	SNVAIAITQIIEMQ-DUXPYHPUBQ
CPD00105	caffeine	RYYVLZVUVIJVGH-UHFFFAOYAW
CPD00295	campesterol	SGNBVLSWZMBQTH-PODYLUTMBW
CPD00108	caprate (10:0)	GHVNFZFCNZKVNT-UHFFFAOYAC
CPD00116	caproate (6:0)	FUZZWVXGSFPDMH-UHFFFAOYAY
CPD00117	caprylate (8:0)	WWZKQHOCKIZLMA-UHFFFAOYAH
CPD00493	carboxyethyl-GABA	SRGQUICKDUQCKO-UHFFFAOYAD
CPD00183	carnitine	PHIQHXFUZVPYII-ZCFIWIBFBS
CPD00734	carotene diol (1)	
CPD00735	carotene diol (2)	
CPD00736	carotene diol (3)	
CPD00672	catechol glucuronide	
CPD00376	catechol sulfate	MZPWKJZDOCIALD-UHFFFAOYAC
CPD00700	ceramide (d18:1/14:0, d16:1/16:0)*	
CPD00701	ceramide (d18:1/17:0, d17:1/18:0)*	
CPD00723	cerotoylcarnitine (C26)*	KOCKWDDTAHPJSX-UHFFFAOYAQ
CPD00598	C-glycosyltryptophan	CPXSBHKDEPPWIX-RAYCSJGIBM
CPD00409	chiro-inositol	CDAISMWEOUEBRE-LKPKBOIGBG
CPD00011	cholate	BHQCQFFYRZLCQQ-OELDTZBJBZ
CPD00036	cholesterol	HVYWMOMLDIMFJA-LBHVWCRMBB
CPD00805	cholic acid glucuronide	
CPD00162	choline	CRBHXDCYXIISFC-UHFFFAOYAW
CPD00037	choline phosphate	YHHSONZFOIEMCP-UHFFFAOYAD
CPD00457	cinnamoylglycine	YAADMLWHGMUGQL-VOTSOKGWBK
CPD00853	cis-3,4-methyleneheptanoate	
CPD00854	cis-3,4-methyleneheptanoylcarnitine	
CPD00861	cis-3,4-methyleneheptanoylglycine	
CPD00478	cis-4-decenoate (10:1n6)*	XKZKQTCECFWKBN-SREVYHEPBE
CPD00458	cis-4-decenoylcarnitine (C10:1)	
CPD00601	citraconate/glutaconate	
CPD00247	citramalate	XFTRTWQBIOMVPK-UHFFFAOYAT
CPD00144	citrate	KRKNYBCHXYNGOX-UHFFFAOYAM
CPD00060	citrulline	RHGKLRLOHDJJDR-UHFFFAOYAQ
CPD00054	cortisol	JYGXADMDTFJGBT-VWUMJDOOBO
CPD00038	cortisone	IWIJFUQFXLWZIA-UHFFFAOYAP
CPD00737	cortolone glucuronide (1)	
CPD00155	creatine	CVSVTCORWBXHQV-UHFFFAOYAV
CPD00039	creatinine	DDRJAANPRJIHGJ-UHFFFAOYAV
CPD00156	cys-gly, oxidized	KDJVKDYFFTWHBO-UHFFFAOYAK
CPD00044	cystathionine	ILRYLPWNYFXEMH-UHFFFAOYAH
CPD00096	cysteine	XUJNEKJLAYXESH-REOHCLBHBU
CPD00234	cysteine s-sulfate	NOKPBJYHPHHWAN-REOHCLBHBK
CPD00341	cysteine-glutathione disulfide	BNRXZEPOHPEEAS-UHFFFAOYAL
CPD00040	cysteinylglycine	ZUKPVRWZDMRIEO-UHFFFAOYAS
CPD00466	cysteinylglycine disulfide*	ZHRLECIZINSPKL-AKGZTFGVBW
CPD00041	cystine	LEVWYRKDKASIDU-UHFFFAOYAA
CPD00104	cytidine	UHDGCWIWMRVCDJ-XVFCMESIBD
CPD00107	cytosine	OPTASPLRGRRNAP-UHFFFAOYAY
CPD00851	decadienedioic acid (C10:2-DC)**	
CPD00288	decanoylcarnitine (C10)	LZOSYCMHQXPBFU-UHFFFAOYAC
CPD00232	dehydroepiandrosterone sulfate (DHEA-S)	CZWCKYRVOZZJNM-USOAJAOKBK
CPD00781	delta-CEHC	BNVXCCQXUZCRSR-UHFFFAOYAT
CPD00387	deoxycarnitine	JHPNVNIEXXLNTR-UHFFFAOYAL
CPD00043	deoxycholate	KXGVEGMKQFWNSR-LLQZFEROBK
CPD00852	deoxycholic acid 12-sulfate*	
CPD00806	deoxycholic acid glucuronide	
CPD00847	dibutyl sulfosuccinate	YPDHMBTYUUZFOA-UHFFFAOYAE
CPD00157	dihomo-linoleate (20:2n6)	XSXIVVZCUAHUJO-HZJYTTRNBM
CPD00394	dihomo-linolenate (20:3n3 or n6)	AHANXAKGNAKFSK-PDBXOOCHBM
CPD00728	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	
CPD00678	dihomo-linolenoyl-choline	
CPD00727	dihomo-linoleoylcarnitine (C20:2)*	
CPD00812	dihydrocaffeate sulfate (2)	
CPD00497	dihydroferulate	BOLQJTPHPSDZHR-UHFFFAOYAM
CPD00769	dihydroferulic acid sulfate	UMCDODPBPQMWQP-UHFFFAOYAJ
CPD00115	dihydroorotate	UFIVEPVSAGBUSI-UHFFFAOYAI
CPD00521	dimethyl sulfone	HHVIBTZHLRERCL-UHFFFAOYAG
CPD00405	dimethylarginine (SDMA + ADMA)	YDGMGEXADBMOMJ-LURJTMIEBT
CPD00098	dimethylglycine	FFDGPVCHZBVARC-UHFFFAOYAX
CPD00277	docosadienoate (22:2n6)	HVGRZDASOHMCSK-AVQMFFATBO
CPD00486	docosadioate (C22-DC)	4000
CPD00220	docosahexaenoate (DHA; 22:6n3)	MBMBGCFOFBJSGT-KUBAVDMBBZ
CPD00729	docosahexaenoylcarnitine (C22:6)*	
CPD00677	docosahexaenoylcholine	
CPD00276	docosapentaenoate (n3 DPA; 22:5n3)	YUFFSWGQGVEMMI-RCHUDCCIBW
CPD00369	docosapentaenoate (n6 DPA; 22:5n6)	AVKOENOBFIYBSA-WMPRHZDHBF
CPD00279	docosatrienoate (22:3n3)	WBBQTNCISCKUMU-IUQGRGSQBT
CPD00708	docosatrienoate (22:3n6)*	
CPD00788	dodecadienoate (12:2)*	
CPD00261	dodecanedioate (C12-DC)	TVIDDXQYHWJXFK-UHFFFAOYAC
CPD00747	dodecenedioate (C12:1-DC)*	
CPD00590	dopamine 3-O-sulfate	NZKRYJGNYPYXJZ-UHFFFAOYAU
CPD00589	dopamine 4-sulfate	DEKNNWJXAQTLFA-UHFFFAOYAD
CPD00248	EDTA	KCXVZYZYPLLWCC-UHFFFAOYAG
CPD00485	eicosanedioate (C20-DC)	JJOJFIHJIRWASH-UHFFFAOYAR
CPD00180	eicosapentaenoate (EPA; 20:5n3)	JAZBEHYOTPTENJ-JLNKQSITBZ
CPD00829	eicosenedioate (C20:1-DC)*	
CPD00316	eicosenoate (20:1)	BITHHVVYSMSWAG-KTKRTIGZBC
CPD00726	eicosenoylcarnitine (C20:1)*	
CPD00304	epiandrosterone sulfate	ZMITXKRGXGRMKS-KZBQTZLVBC
CPD00450	ergothioneine	SSISHJJTAXXQAX-UHFFFAOYAO
CPD00134	erucate (22:1n9)	DPUOLQHDNGRHBS-UHFFFAOYAW
CPD00237	erythritol	UNXHWFMMPAWVPI-UHFFFAOYAU
CPD00313	erythronate*	JPIJQSOTBSSVTP-PWNYCUMCBA
CPD00733	ethyl alpha-glucopyranoside	WYUFTYLVLQZQNH-UHFFFAOYAZ
CPD00777	ethyl beta-glucopyranoside	WYUFTYLVLQZQNH-JAJWTYFOBO
CPD00182	ethylmalonate	UKFXDFUAPNAMPJ-UHFFFAOYAZ
CPD00579	ethylparaben sulfate	
CPD00546	etiocholanolone glucuronide	
CPD00572	eugenol sulfate	XWAZTQUZONPJEW-UHFFFAOYAI
CPD00544	ferulic acid 4-sulfate	PZPATWACAAOHTJ-HWKANZROBD
CPD00046	flavin adenine dinucleotide (FAD)	VWWQXMAJTJZDQX-UYBVJOGSBL
CPD00468	formiminoglutamate	NRXIKWMTVXPVEF-BYPYZUCNBD
CPD00106	fructose	BJHIKXHVCXFQLS-UYFOZJQFBH
CPD00542	fructosyllysine	BFSYFTQDGRDJNV-QCNRFFRDBO
CPD00673	furaneol sulfate	
CPD00251	galactonate	RGHNJXZEOKUKBD-SQOUGZDYBY
CPD00442	gamma-CEHC	VMJQLPNCUPGMNQ-UHFFFAOYAS
CPD00520	gamma-CEHC glucuronide*	
CPD00352	gamma-glutamyl-2-aminobutyrate	FUZOZPRKGAXGOB-UHFFFAOYAE
CPD00406	gamma-glutamylalanine	WQXXXVRAFAKQJM-WHFBIAKZBJ
CPD00689	gamma-glutamyl-alpha-lysine	LNLLNTMHVMIMOG-YUMQZZPRBS
CPD00763	gamma-glutamylcitrulline*	
CPD00047	gamma-glutamylglutamate	OWQDWQKWSLFFFR-WDSKDSINBR
CPD00149	gamma-glutamylglutamine	JBFYFLXEJFQWMU-WDSKDSINBP
CPD00306	gamma-glutamylglycine	ACIJGUBIMXQCMF-BYPYZUCNBW
CPD00158	gamma-glutamylhistidine	PXVCMZCJAUJLJP-YUMQZZPRBD
CPD00350	gamma-glutamylisoleucine*	SNCKGJWJABDZHI-SIPWABPFBP
CPD00164	gamma-glutamylleucine	MYFMARDICOWMQP-YUMQZZPRBM
CPD00310	gamma-glutamylmethionine	RQNSKRXMANOPQY-BQBZGAKWBR
CPD00311	gamma-glutamylthreonine	GWNXFCYUJXASDX-JUZNGCLZBW
CPD00307	gamma-glutamyltryptophan	CATMPQFFVNKDEY-AAEUAGOBBU
CPD00137	gamma-glutamyltyrosine	VVLXCWVSSLFQDS-QWRGUYRKBA
CPD00267	gamma-glutamylvaline	SITLTJHOQZFJGG-UUEFVBAFBQ
CPD00636	gamma-tocopherol/beta-tocopherol	
CPD00209	gentisate	WXTMDXOMEHJXQO-UHFFFAOYAO
CPD00048	gluconate	RGHNJXZEOKUKBD-SQOUGZDYBY
CPD00093	glucose	WQZGKKKJIJFFOK-DVKNGEFBBQ
CPD00195	glucuronate	IAJILQKETJEXLJ-QTBDOELSBX
CPD00754	glucuronide of C10H18O2 (7)*	
CPD00752	glucuronide of C12H22O4 (1)*	
CPD00791	glucuronide of piperine metabolite C17H21NO3 (3)*	
CPD00792	glucuronide of piperine metabolite C17H21NO3 (4)*	
CPD00793	glucuronide of piperine metabolite C17H21NO3 (5)*	
CPD00088	glutamate	WHUUTDBJXJRKMK-UHFFFAOYAD
CPD00089	glutamine	ZDXPYRJPNDTMRX-VKHMYHEABV
CPD00767	glutamine conjugate of C6H10O2 (1)*	
CPD00768	glutamine conjugate of C6H10O2 (2)*	
CPD00766	glutamine conjugate of C7H12O2*	
CPD00357	glutamine_degradant*	NPWMTBZSRRLQNJ-UHFFFAOYAH
CPD00049	glutarate (C5-DC)	JFCQEDHGNNZCLN-NUQVWONBAE
CPD00372	glutarylcarnitine (C5-DC)	NXJAXUYOQLTISD-UHFFFAOYAA
CPD00129	glycerate	RBNPOMFGQQGHHO-UHFFFAOYAE
CPD00161	glycerol	PEDCQBHIVMGVHV-UHFFFAOYAF
CPD00196	glycerol 3-phosphate	AWUCVROLDVIAJX-UHFFFAOYAM
CPD00382	glycerophosphoethanolamine	JZNWSCPGTDBMEW-UHFFFAOYAI
CPD00199	glycerophosphorylcholine (GPC)	SUHOQUVVVLNYQR-MRVPVSSYBR
CPD00050	glycine	DHMQDGOQFOQNFH-UHFFFAOYAW
CPD00764	glycine conjugate of C10H12O2*	
CPD00765	glycine conjugate of C10H14O2 (1)*	
CPD00759	glyco-beta-muricholate**	
CPD00174	glycochenodeoxycholate	GHCZAUBVMUEKKP-UHFFFAOYAS
CPD00605	glycochenodeoxycholate 3-sulfate	
CPD00668	glycochenodeoxycholate glucuronide (1)	
CPD00051	glycocholate	RFDAIACWWDREDC-FRVQLJSFBG
CPD00667	glycocholate glucuronide (1)	
CPD00422	glycocholenate sulfate*	
CPD00205	glycodeoxycholate	WVULKSPCQVQLCU-ZGFCPQMKBG
CPD00606	glycodeoxycholate 3-sulfate	
CPD00512	glycohyocholate	
CPD00257	glycolithocholate	XBSQTYHEGZTYJE-OETIFKLTBJ
CPD00385	glycolithocholate sulfate*	FHXBAFXQVZOILS-OETIFKLTBP
CPD00731	glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	
CPD00704	glycosyl ceramide (d18:1/23:1, d17:1/24:1)*	
CPD00702	glycosyl ceramide (d18:2/24:1, d18:1/24:2)*	
CPD00705	glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*	
CPD00695	glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	
CPD00670	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	
CPD00414	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	
CPD00703	glycosyl-N-tricosanoyl-sphingadienine (d18:2/23:0)*	
CPD00483	glycoursodeoxycholate	4000
CPD00811	glycoursodeoxycholic acid sulfate (1)	
CPD00518	guaiacol sulfate	AQTYXAPIHMXAAV-UHFFFAOYAZ
CPD00052	guanidinoacetate	BPMFZUMJYQTVII-UHFFFAOYAQ
CPD00370	gulonate*	RGHNJXZEOKUKBD-NRXMZTRTBF
CPD00718	heneicosapentaenoate (21:5n3)	OQOCQFSPEWCSDO-JLNKQSITBZ
CPD00750	heptenedioate (C7:1-DC)*	
CPD00682	hexadecadienoate (16:2n6)	WPJGPAAPSBVXNU-HZJYTTRNBL
CPD00380	hexadecanedioate (C16-DC)	QQHJDPROMQRDLA-UHFFFAOYAF
CPD00748	hexadecenedioate (C16:1-DC)*	
CPD00230	hexanoylcarnitine (C6)	VVPRQWTYSNDTEA-UHFFFAOYAN
CPD00392	hexanoylglutamine	
CPD00356	hexanoylglycine	UPCKIPHSXMXJOX-UHFFFAOYAU
CPD00187	hippurate	QIAFMBKCNZACKA-UHFFFAOYAD
CPD00053	histidine	HNDVDQJCIGZPNO-UHFFFAOYAG
CPD00511	histidine betaine (hercynine)*	GPPYTCRVKHULJH-UHFFFAOYAG
CPD00243	homoarginine	QUOGESRFPZDMMT-YFKPBYRVBD
CPD00244	homocitrulline	XIGSAGMEBXLVJJ-YFKPBYRVBI
CPD00359	homostachydrine*	XULZWQRXYTVUTE-ZETCQYMHBF
CPD00009	homovanillate (HVA)	QRMZSPFSDQBLIX-REWHXWOFAT
CPD00469	hydantoin-5-propionate	VWFWNXQAMGDPGG-UHFFFAOYAX
CPD00375	hydroquinone sulfate	FPXPQMOQWJZYBL-UHFFFAOYAZ
CPD00756	hydroxyasparagine**	ZBYVTTSIVDYQSO-REOHCLBHBO
CPD00742	hydroxy-CMPF*	
CPD00830	hydroxy-N6,N6,N6-trimethyllysine*	
CPD00823	hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	
CPD00303	hyocholate	DKPMWHFRUGMUKF-OAEKOJLIBK
CPD00055	hypotaurine	VVIUBCNYACGLLV-UHFFFAOYAM
CPD00197	imidazole lactate	ACZFBYCNAVEFLC-YFKPBYRVBI
CPD00498	imidazole propionate	ZCKYOWGFRHAZIQ-UHFFFAOYAI
CPD00240	iminodiacetate (IDA)	NBZBKCUXIYYUSX-UHFFFAOYAF
CPD00452	indole-3-carboxylate	
CPD00252	indoleacetate	SEOVTRFCIGRIMH-UHFFFAOYAT
CPD00789	indoleacetoylcarnitine*	
CPD00391	indoleacetylglutamine	
CPD00329	indolebutyrate	JTEDVYBZBROSJT-UHFFFAOYAT
CPD00211	indolelactate	XGILAAMKEQUXLS-UHFFFAOYAH
CPD00259	indolepropionate	GOLXRNDWAUTYKT-UHFFFAOYAW
CPD00524	indolin-2-one	JYGFTBXVXVMTGB-UHFFFAOYAF
CPD00056	inosine	UGQMRVRMYYASKQ-DGPXGRDGBU
CPD00057	inosine 5'-monophosphate (IMP)	GRSZFWQUAKGDAV-RWLQFSFNBK
CPD00256	isobutyrylcarnitine (C4)	
CPD00371	isobutyrylglycine	DCICDMMXFIELDF-UHFFFAOYAA
CPD00059	isoleucine	AGPKZVBTJJNPAG-UHFFFAOYAW
CPD00467	isoursodeoxycholate	RUDATBOHQWOJDD-DNMBCGTGBA
CPD00224	isovalerate (i5:0)	GWYFCOCPABKNJV-UHFFFAOYAV
CPD00321	isovalerylcarnitine (C5)	IGQBPDJNUXPEMT-UHFFFAOYAB
CPD00343	isovalerylglycine	ZRQXMKMBBMNNQC-UHFFFAOYAA
CPD00006	kynurenate	HCZHHEIFKROPDY-UHFFFAOYAN
CPD00198	kynurenine	YGPSJZOEDVAXAB-QMMMGPOBBJ
CPD00076	lactate	JVTAAEKCZFNVCJ-UHFFFAOYAX
CPD00694	lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	MKOKWBRPIBQYJJ-VMHDMWLQBO
CPD00647	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	
CPD00505	lanthionine	DWPCPZJAHOETAG-IMJSIDKUBX
CPD00016	laurate (12:0)	POULHZVOKOAJMA-UHFFFAOYAP
CPD00320	laurylcarnitine (C12)	FUJLYHJROOYKRA-UHFFFAOYAK
CPD00061	leucine	
CPD00832	levulinoylcarnitine	
CPD00587	lignoceroyl sphingomyelin (d18:1/24:0)	QEDPUVGSSDPBMD-XTAIVQBEBF
CPD00722	lignoceroylcarnitine (C24)*	
CPD00015	linoleate (18:2n6)	OYHQOLUKZRVURQ-HZJYTTRNBX
CPD00317	linolenate [alpha or gamma; (18:3n3 or 6)]	DTOSIQBPPRVQHS-PDBXOOCHBH
CPD00719	linolenoylcarnitine (C18:3)*	
CPD00610	linoleoyl ethanolamide	KQXDGUVSAAQARU-HZJYTTRNBB
CPD00690	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*	
CPD00691	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*	
CPD00491	linoleoylcarnitine (C18:2)*	MJLXQSQYKZWZCB-DQFWFXSYBW
CPD00707	linoleoylcholine*	
CPD00813	lithocholate sulfate (1)	
CPD00062	lysine	KDXKERNSBIXSRK-YFKPBYRVBE
CPD00063	malate	BJEPYKJPYRNKOW-UHFFFAOYAM
CPD00223	maleate	VZCYOOQTPOCHFL-UPHRSURJBG
CPD00355	malonylcarnitine	ZGNBLKBZJBJFDG-UHFFFAOYAY
CPD00112	maltose	GUBGYTABKSRVRQ-ASMJPISFBF
CPD00200	maltotriose	FYGDTMLNYKFZSV-DZOUCCHMBX
CPD00395	mannitol/sorbitol	FBPFZTCFMRRESA-UHFFFAOYAI
CPD00503	mannonate*	RGHNJXZEOKUKBD-MBMOQRBOBN
CPD00097	mannose	GZCGUPFRVQAUEE-KVTDHHQDBB
CPD00109	margarate (17:0)	KEMQGTRYUADPNZ-UHFFFAOYAT
CPD00509	margaroylcarnitine (C17)*	
CPD00839	metabolonic lactone sulfate	
CPD00064	methionine	FFEARJCKVFRZRR-BYPYZUCNBW
CPD00538	methionine sulfone	UCUNFLYVYCGDHP-UHFFFAOYAG
CPD00191	methionine sulfoxide	QEFRNWWLZKMPFJ-YGVKFDHGBW
CPD00553	methyl glucopyranoside (alpha + beta)	
CPD00138	methyl indole-3-acetate	KTHADMDGDNYQRX-UHFFFAOYAX
CPD00809	methyl vanillate sulfate	
CPD00567	methyl-4-hydroxybenzoate sulfate	
CPD00181	methylsuccinate	WXUAQHNMJWJLTG-UHFFFAOYAC
CPD00671	methylsuccinoylcarnitine	
CPD00058	myo-inositol	CDAISMWEOUEBRE-GPIVLXJGBG
CPD00083	myristate (14:0)	TUNFSRHWOTWDNC-UHFFFAOYAZ
CPD00281	myristoleate (14:1n5)	YWWVWXASSLXJHU-WAYWQWQTBZ
CPD00559	myristoleoylcarnitine (C14:1)*	
CPD00648	myristoyl dihydrosphingomyelin (d18:0/14:0)*	
CPD00296	myristoylcarnitine (C14)	PSHXNVGSVNEJBD-UHFFFAOYAV
CPD00732	N,N,N-trimethyl-5-aminovalerate	CDLVFVFTRQPQFU-UHFFFAOYAF
CPD00761	N,N,N-trimethyl-alanylproline betaine (TMAP)	
CPD00774	N,N-dimethylalanine	QCYOIFVBYZNUNW-BYPYZUCNBG
CPD00349	N1-Methyl-2-pyridone-5-carboxamide	JLQSXXWTCJPCBC-UHFFFAOYAD
CPD00160	N1-methyladenosine	QQBGTSSELNKRID-IOSLPCCCBM
CPD00331	N1-methylinosine	WJNGQIYEQLPJMN-UHFFFAOYAL
CPD00332	N2,N2-dimethylguanosine	RSPURTUNRHNVGF-IOSLPCCCBE
CPD00535	N2,N5-diacetylornithine	XUYANFPPYJSBPU-UHFFFAOYAB
CPD00803	N2-acetyl,N6,N6-dimethyllysine	
CPD00804	N2-acetyl,N6-methyllysine	
CPD00333	N4-acetylcytidine	NIDVTARKFBZMOT-PEBGCTIMBU
CPD00018	N6,N6,N6-trimethyllysine	MXNRLFUSFKVQSK-UHFFFAOYAO
CPD00782	N6,N6-dimethyllysine	XXEWFEBMSGLYBY-ZETCQYMHBT
CPD00393	N6-acetyllysine	DTERQYGMUDWYAZ-ZETCQYMHBE
CPD00334	N6-carbamoylthreonyladenosine	GYCVHQYQICRFAX-GQFURFNTBM
CPD00496	N6-methyllysine	PQNASZJZHFPQLE-LURJTMIEBL
CPD00523	N-acetyl-1-methylhistidine*	
CPD00855	N-acetyl-2-aminoadipate	FTTGAAZKBNZDCZ-LURJTMIEBH
CPD00755	N-acetyl-2-aminooctanoate*	
CPD00455	N-acetyl-3-methylhistidine*	FKTXRTPBUWLETL-UHFFFAOYAZ
CPD00140	N-acetylalanine	KTHDTJVBEPMMGL-VKHMYHEABO
CPD00540	N-acetylalliin	
CPD00293	N-acetylarginine	SNEIUMQYRCDYCH-LURJTMIEBE
CPD00291	N-acetylasparagine	HXFOXFJUNFFYMO-BYPYZUCNBZ
CPD00231	N-acetylaspartate (NAA)	OTCCIMWXFLJLIA-BYPYZUCNBM
CPD00378	N-acetyl-aspartyl-glutamate (NAAG)	OPVPGKGADVGKTG-UHFFFAOYAF
CPD00443	N-acetyl-beta-alanine	LJLLAWRMBZNPMO-UHFFFAOYAA
CPD00508	N-acetylcarnosine	BKAYIFDRRZZKNF-VIFPVBQEBE
CPD00367	N-acetylcitrulline	WMQMIOYQXNRROC-LURJTMIEBM
CPD00600	N-acetylglucosamine/N-acetylgalactosamine	
CPD00153	N-acetylglucosaminylasparagine	YTTRPBWEMMPYSW-VFFCQLMOBE
CPD00201	N-acetylglutamate	RFMMMVDNIPUKGG-QUCRTXIXBK
CPD00289	N-acetylglutamine	KSMRODHGGIIXDV-YFKPBYRVBV
CPD00249	N-acetylglycine	OKJIRPAQVSHGFK-UHFFFAOYAB
CPD00305	N-acetylhistidine	KBOJOGQFRVVWBH-ZETCQYMHBN
CPD00300	N-acetylisoleucine	JDTWZSUNGHMMJM-MSZQBOFLBT
CPD00790	N-acetyl-isoputreanine	
CPD00597	N-acetylkynurenine (2)	
CPD00131	N-acetylleucine	WXNXCEHXYPACJF-ZETCQYMHBF
CPD00132	N-acetylmethionine	XUYPXLNMDZIRQH-LURJTMIEBN
CPD00152	N-acetylneuraminate	KBGAYAKRZNYFFG-BOHATCBPBL
CPD00290	N-acetylphenylalanine	CBQJSKKFNMDLON-JTQLQIEIBY
CPD00315	N-acetylproline	GNMSLDIYJOSUSW-UHFFFAOYAD
CPD00019	N-acetylputrescine	KLZGKIDSEJWEDW-UHFFFAOYAE
CPD00407	N-acetylserine	JJIHLJJYMXLCOY-BYPYZUCNBM
CPD00548	N-acetyltaurine	CXJAAWRLVGAKDV-UHFFFAOYAS
CPD00299	N-acetylthreonine	PEDXUVCGOLSNLQ-UHFFFAOYAC
CPD00262	N-acetyltyrosine	CAHKINHBCWCHCF-JTQLQIEIBT
CPD00133	N-acetylvaline	IHYJTAOFMMMOPX-LURJTMIEBI
CPD00202	N-alpha-acetylornithine	JRLGPAXAGHMNOL-LURJTMIEBY
CPD00592	N-carbamoylalanine	LUSWEUMSEVLFEQ-UHFFFAOYAR
CPD00531	N-delta-acetylornithine	SRXKAYJJGAAOBP-UHFFFAOYAF
CPD00730	nervonoylcarnitine (C24:1)*	
CPD00534	N-formylanthranilic acid	LLLPDUXGHXIXIW-UHFFFAOYAW
CPD00020	N-formylmethionine	PYUSHNKNPOHWEZ-YFKPBYRVBS
CPD00560	N-formylphenylalanine	NSTPXGARCQOSAU-VIFPVBQEBQ
CPD00066	nicotinamide	DFPAKSUCGFBDDF-UHFFFAOYAZ
CPD00709	nisinate (24:6n3)	YHGJECVSSKXFCJ-KUBAVDMBBQ
CPD00787	N-lactoyl isoleucine	
CPD00786	N-lactoyl leucine	
CPD00783	N-lactoyl phenylalanine	
CPD00784	N-lactoyl tyrosine	
CPD00785	N-lactoyl valine	
CPD00760	N-methylhydroxyproline**	
CPD00418	N-methylproline	CWLQUGTUXBXTLF-UHFFFAOYAJ
CPD00510	N-methyltaurine	SUZRRICLUFMAQD-UHFFFAOYAV
CPD00697	N-oleoylserine	MBDKGXAMSZIDKF-KTKRTIGZBQ
CPD00490	N-oleoyltaurine	KOGRJTUIKPMZEJ-KTKRTIGZBU
CPD00110	nonadecanoate (19:0)	ISYWECDDZWTKFF-UHFFFAOYAR
CPD00604	nonanoylcarnitine (C9)	MPSPNFAQQQMFLK-UHFFFAOYAZ
CPD00502	N-palmitoylglycine	KVTFEOAKFFQCCX-UHFFFAOYAT
CPD00699	N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	
CPD00693	N-palmitoyl-sphingadienine (d18:2/16:0)*	
CPD00646	N-palmitoyl-sphinganine (d18:0/16:0)	GCGTXOVNNFGTPQ-JHOUSYSJBP
CPD00167	N-palmitoyl-sphingosine (d18:1/16:0)	YDNKGFDKKRUKPY-TURZORIXBD
CPD00696	N-stearoyl-sphingadienine (d18:2/18:0)*	
CPD00114	N-stearoyl-sphinganine (d18:0/18:0)*	KZTJQXAANJHSCE-OIDHKYIRBS
CPD00173	N-stearoyl-sphingosine (d18:1/18:0)*	VODZWWMEJITOND-NXCSZAMKBA
CPD00844	N-succinyl-phenylalanine	CWAGPBPLOYGROC-UHFFFAOYAI
CPD00404	o-cresol sulfate	CYGSXDXRHXMAOV-UHFFFAOYAI
CPD00751	octadecadienedioate (C18:2-DC)*	
CPD00381	octadecanedioate (C18-DC)	BNJOQKFENDDGSC-UHFFFAOYAE
CPD00557	octadecanedioylcarnitine (C18-DC)*	ULCCGBCYWCYNIC-UHFFFAOYAW
CPD00749	octadecenedioate (C18:1-DC)	
CPD00556	octadecenedioylcarnitine (C18:1-DC)*	CYPBWZKNUDFJJE-PLNGDYQABU
CPD00286	octanoylcarnitine (C8)	CXTATJFJDMJMIY-UHFFFAOYAP
CPD00620	oleate/vaccenate (18:1)	
CPD00148	oleoyl ethanolamide	BOWVQLFMWHZBEF-KTKRTIGZBW
CPD00351	oleoylcarnitine (C18:1)	IPOLTUVFXFHAHI-WHIOSMTNBE
CPD00675	oleoylcholine	
CPD00487	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	
CPD00068	ornithine	AHLPHDHHMVZTML-BYPYZUCNBZ
CPD00069	orotate	PXQPEWDEAKTCGB-UHFFFAOYAD
CPD00335	orotidine	FKCRAVPPBFWEJD-XVFCMESIBQ
CPD00543	O-sulfo-L-tyrosine	CIQHWLTYGMYQQR-QMMMGPOBBK
CPD00236	oxalate (ethanedioate)	MUBZPKHOEPUJKR-UHFFFAOYAQ
CPD00065	palmitate (16:0)	IPCSVZSSVZVIGE-UHFFFAOYAJ
