compound_id	BIOCHEMICAL	INCHIKEY
CPD00613	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	IIZPXYDJLKNOIY-JXPKJXOSBS
CPD00631	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	DRIVXEVMDWCWLI-CAQMIEAIBF
CPD00634	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	KIQYUSYSJTUGFZ-GWAZTMTOBN
CPD00630	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	
CPD00614	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	IESVDEZGAHUQJU-ZLBXKVHBBA
CPD00632	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	MPWUZHVZZKSTPV-MADBQMNMBW
CPD00170	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	JLPULHDHAOZNQI-ZTIMHPMXBU
CPD00412	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	HBZNVZIRJWODIB-NHCUFCNUBC
CPD00169	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	BSNJSZUDOMPYIR-DMDPBSJXBZ
CPD00172	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	WTJKGGKOPKCXLL-MRCUWXFGBH
CPD00168	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	FHQVHHIBKUMWTI-OTMQOFQLBI
CPD00651	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	
CPD00629	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	
CPD00618	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	PZNPLUBHRSSFHT-RRHRGVEJBV
CPD00292	1-palmitoyl-GPC (16:0)	ASWBNKHCZGQVJV-UHFFFAOYAM
CPD00363	1-palmitoyl-GPE (16:0)	YVYMBNSKXOXSKW-HXUWFJFHBX
CPD00550	1-palmitoyl-GPG (16:0)*	BVJSKAUUFXBDOB-UHFFFAOYAJ
CPD00384	1-palmitoyl-GPI (16:0)	
CPD00388	1-ribosyl-imidazoleacetate*	AHPWEWASPTZMEK-UHFFFAOYAY
CPD00411	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	PSVRFUPOQYJOOZ-QNPWAGBNBV
CPD00627	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	ANRKEHNWXKCXDB-BHFWLYLHBY
CPD00215	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	KRTOMQDUKGRFDJ-OALUUITLBO
CPD00615	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	
CPD00633	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	XYYHNDVKALDFHQ-OXHZBIAZBI
CPD00628	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	
CPD00626	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	YDTWOEYVDRKKCR-KNERPIHHBL
CPD00635	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	KZVRAFHIKMDULK-PDPKURFXBD
CPD00612	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	ATHVAWFAEPLPPQ-VRDBWYNSBX
CPD00408	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	
CPD00659	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	
CPD00217	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	AJFWREUFUPEYII-PAHWMLEVBX
CPD00297	1-stearoyl-GPC (18:0)	IHNKQIMGVNPMTC-RUZDIDTEBJ
CPD00346	1-stearoyl-GPE (18:0)	BBYWOYAFBUOUFP-JOCHJYFZBR
CPD00347	1-stearoyl-GPG (18:0)	HFJVKBVEKQHVTO-OZAIVSQSBD
CPD00218	1-stearoyl-GPI (18:0)	LXUGKKVCSTYZFK-DYLKWFMLBW
CPD00776	2,2'-Methylenebis(6-tert-butyl-p-cresol)	KGRVJHAUYBGFFP-UHFFFAOYAD
CPD00686	2,3-dihydroxy-2-methylbutyrate	AOWPAWLEXIYETE-UHFFFAOYAH
CPD00820	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	
CPD00463	2,3-dihydroxyisovalerate	JTEYKUFKXGDTEU-UHFFFAOYAT
CPD00238	2,3-dihydroxypyridine	GGOZGYRTNQBSSA-UHFFFAOYAS
CPD00858	2,4-di-tert-butylphenol	
CPD00816	2,6-dihydroxybenzoic acid	AKEUNCKRJATALU-UHFFFAOYAG
CPD00427	21-hydroxypregnenolone disulfate	CBOVWLYQUCVTFA-WPWXJNKXBZ
CPD00574	2-acetamidophenol sulfate	JCVGTUVGDOWZJE-UHFFFAOYAS
CPD00145	2-aminobutyrate	QWCKQJZIFLGMSD-GSVOUGTGBL
CPD00533	2-aminoheptanoate	RDFMDVXONNIGBC-UHFFFAOYAG
CPD00519	2-aminooctanoate	AKVBCGQVQXPRLD-UHFFFAOYAX
CPD00525	2-aminophenol sulfate	VSTZVCJQGSLNLL-UHFFFAOYAM
CPD00741	2-butenoylglycine	WWJXRJJBIVSSNF-NSCUHMNNBT
CPD00086	2'-deoxyuridine	MXHRCPNRJAMMIM-SHYZEUOFBK
CPD00740	2-furoylcarnitine	
CPD00358	2-hydroxy-3-methylvalerate	RILPIWOPNGRASR-UHFFFAOYAI
CPD00841	2-hydroxy-4-(methylthio)butanoic acid	
CPD00746	2-hydroxyarachidate*	CPLYLXYEVLGWFJ-UHFFFAOYAX
CPD00619	2-hydroxybutyrate/2-hydroxyisobutyrate	
CPD00513	2-hydroxydecanoate	GHPVDCPCKSNJDR-UHFFFAOYAC
CPD00441	2-hydroxyglutarate	HWXBTNAVRSUOJR-UHFFFAOYAI
CPD00178	2-hydroxyhippurate (salicylurate)	ONJSZLXSECQROL-UHFFFAOYAK
CPD00226	2-hydroxyoctanoate	JKRDADVRIYVCCY-UHFFFAOYAG
CPD00368	2-hydroxypalmitate	JGHSBPIZNUXPLA-UHFFFAOYAI
CPD00029	2-hydroxyphenylacetate	CCVYRRGZDBSHFU-UHFFFAOYAL
CPD00778	2-hydroxysebacate	LPIOYESQKJFWPQ-UHFFFAOYAM
CPD00159	2-hydroxystearate	KIHBGTRZFAVZRV-UHFFFAOYAD
CPD00815	2-ketocaprylate	GPPUPQFYDYLTIY-UHFFFAOYAA
CPD00245	2-linoleoylglycerol (18:2)	IEPGNWMPIFDNSD-HZJYTTRNBY
CPD00856	2-methoxyhydroquinone sulfate (1)	
CPD00857	2-methoxyhydroquinone sulfate (2)	
CPD00573	2-methoxyresorcinol sulfate	
CPD00666	2-methylserine	CDUUKBXTEOFITR-UHFFFAOYAW
CPD00798	2-naphthol sulfate	HXEZIDSFDHEIIQ-UHFFFAOYAY
CPD00492	2-O-methylascorbic acid	RMHBODZVODTFAH-UHFFFAOYAP
CPD00687	2'-O-methylcytidine	RFCQJGFZUQFYRF-ZOQUXTDFBZ
CPD00688	2'-O-methyluridine	SXUXMRMBWZCMEN-ZOQUXTDFBL
CPD00477	2-oxoarginine*	ARBHXJXXVVHMET-UHFFFAOYAC
CPD00361	2-palmitoleoyl-GPC (16:1)*	GKXPPJQBVCKAGD-DJYGDJEFBY
CPD00362	2-palmitoyl-GPC (16:0)*	NEGQHKSYEYVFTD-HSZRJFAPBY
CPD00522	2-piperidinone	XUWHAWMETYGRKB-UHFFFAOYAE
CPD00461	2R,3R-dihydroxybutyrate	LOUGYXZSURQALL-PWNYCUMCBK
CPD00459	2S,3R-dihydroxybutyrate	LOUGYXZSURQALL-GBXIJSLDBN
CPD00506	2-stearoyl-GPE (18:0)*	KIHAGWUUUHJRMS-JOCHJYFZBB
CPD00339	3-(3-amino-3-carboxypropyl)uridine*	YXNIEZJFCGTDKV-JANFQQFMBG
CPD00383	3-(3-hydroxyphenyl)propionate	QVWAEZJXDYOKEH-UHFFFAOYAP
CPD00545	3-(3-hydroxyphenyl)propionate sulfate	IQWLPDPKVFZEOK-UHFFFAOYAQ
CPD00030	3-(4-hydroxyphenyl)lactate	JVGVDSSUAVXRDY-UHFFFAOYAV
CPD00390	3,4-dihydroxybutyrate	
CPD00837	3,5-dichloro-2,6-dihydroxybenzoic acid	
CPD00325	3,7-dimethylurate	HMLZLHKHNBLLJD-UHFFFAOYAN
CPD00526	3-acetylphenol sulfate	CGFRVKXGZRODPA-UHFFFAOYAL
CPD00773	3-amino-2-piperidone	YCCMTCQQDULIFE-UHFFFAOYAX
CPD00143	3-aminoisobutyrate	QCHPKSFMDHPSNR-UHFFFAOYAN
CPD00593	3beta-hydroxy-5-cholestenoate	
CPD00517	3b-hydroxy-5-cholenoic acid	HIAJCGFYHIANNA-QIZZZRFXBQ
CPD00849	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*	
CPD00753	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	
CPD00275	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	WMCQWXZMVIETAO-UHFFFAOYAJ
CPD00817	3-ethylcatechol sulfate (1)	
CPD00818	3-ethylcatechol sulfate (2)	
