compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	1,2,3-benzenetriol sulfate 		
CPD00002	1,2,3-benzenetriol sulfate 	79437	C16361
CPD00003	1,3,7-trimethylurate	70346	
CPD00004	1,3-dimethylurate	64960	C07326
CPD00005	1,5-anhydroglucitol (1,5-AG)	2724705	
CPD00006	1,6-anhydroglucose	91611	C16356
CPD00007	1,7-dimethylurate		
CPD00008	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)	535	C01234
CPD00009	1-aminocyclopropanecarboxylic acid	5406157	
CPD00010	1-methyl-beta-carboline-3-carboxylic acid	78821	C02216
CPD00011	1-methyladenine	10111	C02294
CPD00012	1-methylguanidine	70315	
CPD00013	1-methylguanine	3614	C05127
CPD00014	1-methylhistamine	92105	C01152
CPD00015	1-methylhistidine	75810	C05828
CPD00016	1-methylimidazoleacetate	10129985	C02918
CPD00017	1-methylnicotinamide	69726	C16359
CPD00018	1-methylurate	80220	C16358
CPD00019	1-methylxanthine	10747814	
CPD00020	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	5287971	
CPD00021	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	6436017	
CPD00022	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	16219824	
CPD00023	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)		
CPD00024	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)		
CPD00025	11-ketoetiocholanolone glucuronide		
CPD00026	11-ketoetiocholanolone sulfate	94235	
CPD00027	12-dehydrocholate		
CPD00028	16a-hydroxy DHEA 3-sulfate		
CPD00029	17alpha-hydroxypregnanolone glucuronide	13730	C00559
CPD00030	2'-deoxyadenosine	187790	C00330
CPD00031	2'-deoxyguanosine	150971	
CPD00032	2'-O-methylcytidine	102212	
CPD00033	2'-O-methyluridine	301941	
CPD00034	2,3-dihydroxy-2-methylbutyrate	677	C04039
CPD00035	2,3-dihydroxyisovalerate	28115	
CPD00036	2,3-dihydroxypyridine	11848	
CPD00037	2,3-dimethylsuccinate	66520	
CPD00038	2,4,6-trihydroxybenzoate	96384	
CPD00039	2,4-dihydroxyhydrocinnamate	97250	C06342
CPD00040	2,8-quinolinediol		
CPD00041	2,8-quinolinediol sulfate	181671	
CPD00042	2-acetamidophenol sulfate	469	C00956
CPD00043	2-aminoadipate	439691	C02261
CPD00044	2-aminobutyrate	69522	
CPD00045	2-aminooctanoate	181670	
CPD00046	2-aminophenol sulfate		D07777
CPD00047	2-dimethylaminoethanol		
CPD00048	2-ethylphenylsulfate	170484	
CPD00049	2-fucosyllactose	164623	
CPD00050	2-hydroxy-3-methylvalerate	86290013	
CPD00051	2-hydroxyacetaminophen sulfate	193530	C02360
CPD00052	2-hydroxyadipate		
CPD00053	2-hydroxybutyrate/2-hydroxyisobutyrate	43	C02630
CPD00054	2-hydroxyglutarate	10253	C07588
