compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00055	2-hydroxyhippurate (salicylurate)	10443535	
CPD00056	2-hydroxyibuprofen	94180	
CPD00057	2-hydroxyoctanoate	11970	C05852
CPD00058	2-hydroxyphenylacetate	77	C02504
CPD00059	2-isopropylmalate	14367271	
CPD00060	2-methoxyacetaminophen glucuronide	86290014	
CPD00061	2-methoxyacetaminophen sulfate		
CPD00062	2-methoxyresorcinol sulfate	6426901	
CPD00063	2-methylbutyrylcarnitine (C5)	193872	
CPD00064	2-methylbutyrylglycine	439681	C02225
CPD00065	2-methylcitrate	53481628	
CPD00066	2-methylmalonylcarnitine (C4-DC)	94309	C02115
CPD00067	2-methylserine	3080590	
CPD00068	2-oxindole-3-acetate	3146688	
CPD00069	2-oxo-1-pyrrolidinepropionate	71	C00322
CPD00070	2-oxoadipate	558	C03771
CPD00071	2-oxoarginine	12665	
CPD00072	2-piperidinone	134595	
CPD00073	21-hydroxypregnenolone disulfate		
CPD00074	3'-a-sialyl-N-acetyllactosamine	547	C01161
CPD00075	3,4-dihydroxyphenylacetate	193283	
CPD00076	3,4-dihydroxyphenylacetate sulfate		
CPD00077	3,4-methylene heptanoylglycine		
CPD00078	3,4-methyleneheptanoylcarnitine	7424	
CPD00079	3,5-dihydroxybenzoic acid	83126	C16360
CPD00080	3,7-dimethylurate	91	C11457
CPD00081	3-(3-hydroxyphenyl)propionate	187488	
CPD00082	3-(3-hydroxyphenyl)propionate sulfate	9378	C03672
CPD00083	3-(4-hydroxyphenyl)lactate	5233914	
CPD00084	3-(cystein-S-yl)acetaminophen	83967	
CPD00085	3-(N-acetyl-L-cystein-S-yl) acetaminophen	8487	
CPD00086	3-acetylphenol		
CPD00087	3-acetylphenol sulfate	64956	C05145
CPD00088	3-aminoisobutyrate	123979	
CPD00089	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)		C14386
CPD00090	3-ethylphenylsulfate	188979	
CPD00091	3-hydroxy-2-ethylpropionate	1662	C03761
CPD00092	3-hydroxy-3-methylglutarate	86	C00632
CPD00093	3-hydroxyanthranilate	441	C01089
CPD00094	3-hydroxybutyrate (BHBA)	53481617	
CPD00095	3-hydroxybutyrylcarnitine 		
CPD00096	3-hydroxybutyrylcarnitine 	637541	C12621
CPD00097	3-hydroxycinnamate	6443141	
CPD00098	3-hydroxycinnamate sulfate	183115	
CPD00099	3-hydroxycotinine glucuronide	151492	
CPD00100	3-hydroxyhexanoate	450268	
CPD00101	3-hydroxyhippurate	6097	C11130
CPD00102	3-hydroxyindolin-2-one		
CPD00103	3-hydroxyindolin-2-one sulfate	87	C06001
CPD00104	3-hydroxyisobutyrate	89	C02794
CPD00105	3-hydroxykynurenine	12122	C05593
CPD00106	3-hydroxyphenylacetate		
CPD00107	3-hydroxyphenylacetate sulfate		
CPD00108	3-hydroxyphenylacetatoylcarnitine	68152	C01013
CPD00109	3-hydroxypropanoate		
CPD00110	3-hydroxypyridine sulfate	441264	C07344
CPD00111	3-hydroxyquinine	3017884	
CPD00112	3-hydroxysebacate	10258	
CPD00113	3-indoxyl sulfate		
CPD00114	3-methoxycatechol sulfate 		
CPD00115	3-methoxycatechol sulfate 	1669	C05587
CPD00116	3-methoxytyramine		
CPD00117	3-methoxytyramine sulfate	1670	
CPD00118	3-methoxytyrosine		
CPD00119	3-methyl catechol sulfate 		
CPD00120	3-methyl catechol sulfate 	49	C00141
CPD00121	3-methyl-2-oxobutyrate	47	C00671
CPD00122	3-methyl-2-oxovalerate	12292	
CPD00123	3-methyladipate	169485	
CPD00124	3-methylcrotonylglycine	159649	
CPD00125	3-methylcytidine	1551553	
CPD00126	3-methylglutaconate		
CPD00127	3-methylglutarate/2-methylglutarate	128145	
CPD00128	3-methylglutarylcarnitine 	128145	
CPD00129	3-methylglutarylcarnitine 	64969	C01152
CPD00130	3-methylhistidine	11804	
CPD00131	3-methylurate	70639	C16357
CPD00132	3-methylxanthine	724	C00597
CPD00133	3-phosphoglycerate	123914	
CPD00134	3-sialyllactose	111	C02642
CPD00135	3-ureidopropionate		
CPD00136	3alpha,21-dihydroxy-5beta-pregnane-11,20-dione 21-glucuronide	19266	D03836
CPD00137	4-acetamidobenzoate	18189	C02946
CPD00138	4-acetamidobutanoate	1983	C06804
CPD00139	4-acetamidophenol	83944	
CPD00140	4-acetamidophenylglucuronide	83939	C06804
CPD00141	4-acetaminophen sulfate	4684006	
CPD00142	4-acetylphenol sulfate		
CPD00143	4-allylphenol sulfate		
CPD00144	4-aminophenol sulfate 		
CPD00145	4-ethylphenol glucuronide		C13637
CPD00146	4-ethylphenylsulfate	500	C01035
CPD00147	4-guanidinobutanoate	135	C00156
CPD00148	4-hydroxybenzoate	637542	C00811
CPD00149	4-hydroxycinnamate	6070438	
CPD00150	4-hydroxycinnamate sulfate	439902	C03079
CPD00151	4-hydroxyglutamate	151012	
CPD00152	4-hydroxyhippurate	328	C03198
CPD00153	4-hydroxymandelate	127	C00642
CPD00154	4-hydroxyphenylacetate		
CPD00155	4-hydroxyphenylacetatoylcarnitine	440732	C05596
CPD00156	4-hydroxyphenylacetyl glycine		
CPD00157	4-hydroxyphenylacetylglutamine	979	C01179
CPD00158	4-hydroxyphenylpyruvate	96215	C02835
CPD00159	4-imidazoleacetate	70	C00233
CPD00160	4-methyl-2-oxopentanoate		
CPD00161	4-methylcatechol sulfate	11805205	
CPD00162	4-octenedioate	1571307	
CPD00163	4-ureidobutyrate		
CPD00164	4-vinylguaiacol sulfate	6426766	C05627
CPD00165	4-vinylphenol sulfate	93556	C00906
CPD00166	5,6-dihydrothymine	649	C00429
CPD00167	5,6-dihydrouracil		
CPD00168	5-(galactosylhydroxy)-L-lysine	88299	C16366
CPD00169	5-acetylamino-6-amino-3-methyluracil	108214	C16365
CPD00170	5-acetylamino-6-formylamino-3-methyluracil	138	C00431
CPD00171	5-aminovalerate	96735	
CPD00172	5-bromotryptophan	170748	
CPD00173	5-hydroxyhexanoate		
CPD00174	5-hydroxyindole sulfate	1826	C05635
CPD00175	5-hydroxyindoleacetate	1029	C16741
CPD00176	5-hydroxylysine	80642	C20448
CPD00177	5-hydroxymethyl-2-furoic acid	439176	C00170
CPD00178	5-methylthioadenosine (MTA)	445408	
CPD00179	5-methyluridine (ribothymidine)	7405	C01879
CPD00180	5-oxoproline		
CPD00181	5alpha-androstan-3alpha,17beta-diol disulfate		
CPD00182	5alpha-androstan-3beta,17alpha-diol disulfate	242332	C12525
CPD00183	5alpha-androstan-3beta,17beta-diol disulfate		
CPD00184	5alpha-androstan-3beta,17beta-diol monosulfate 	5127902	
CPD00185	5alpha-pregnan-3(alpha or beta),20beta-diol disulfate		
CPD00186	5alpha-pregnan-3beta,20alpha-diol disulfate	643987	G00265
CPD00187	6'-sialyllactose		
CPD00188	6-hydroxyindole sulfate	3014237	
CPD00189	6-oxopiperidine-2-carboxylate	16212424	
CPD00190	6-sialyl-N-acetyllactosamine		
CPD00191	6-Naloxol-3--D-glucuronide	65074	C04874
CPD00192	7,8-dihydroneopterin		
CPD00193	7-hydroxyindole sulfate	188292	
CPD00194	7-ketodeoxycholate	11361	C02242
CPD00195	7-methylguanine	69160	C16355
CPD00196	7-methylurate	68374	C16353
CPD00197	7-methylxanthine	5280896	C06082
CPD00198	abscisate	36573	
CPD00199	acesulfame	22	C00900
CPD00200	acetolactate	1	C02571
CPD00201	acetylcarnitine (C2)	2244	D00109,C01405
CPD00202	acetylsalicylate	129397	
CPD00203	acisoga	190	C00147
CPD00204	adenine	60961	C00212
CPD00205	adenosine	6076	C00575
CPD00206	adenosine 3',5'-cyclic monophosphate (cAMP)	6083	C00020
CPD00207	adenosine 5'-monophosphate (AMP)	196	C06104
CPD00208	adipate	71296139	
CPD00209	adipoylcarnitine (C6-DC)	5950	C00041
CPD00210	alanine	203	C00499
CPD00211	allantoic acid	204	C02350
CPD00212	allantoin	87310	C08265
CPD00213	alliin	6950182;99288	
CPD00214	allo-isoleucine	99289	C05519
CPD00215	allo-threonine	2094	
CPD00216	allopurinol		
CPD00217	allopurinol riboside	9943542	
CPD00218	alpha-CEHC		
CPD00219	alpha-CEHC glucuronide		
CPD00220	alpha-CEHC sulfate	83697	C03264
CPD00221	alpha-hydroxyisocaproate	99823	
CPD00222	alpha-hydroxyisovalerate	114962	
CPD00223	alpha-hydroxymetoprolol	51	C00026
CPD00224	alpha-ketoglutarate	864	C00725
CPD00225	alpha-lipoate	2162	C06825,D00615,D02914,D07450
CPD00226	amlodipine	2171	C06827
CPD00227	amoxicillin		C04555
CPD00228	andro steroid monosulfate C19H28O6S 		
CPD00229	androstenediol (3alpha, 17alpha) monosulfate 		
CPD00230	androstenediol (3alpha, 17alpha) monosulfate 	87120982	C04295
CPD00231	androstenediol (3beta,17beta) disulfate 	87120982	C04295
CPD00232	androstenediol (3beta,17beta) disulfate 	13847309	
CPD00233	androstenediol (3beta,17beta) monosulfate 		
CPD00234	androstenediol (3beta,17beta) monosulfate 	112072	C01262
CPD00235	anserine	227	C00108
CPD00236	anthranilate	66308	C00216
CPD00237	arabinose	6912	C01904
CPD00238	arabitol/xylitol		
CPD00239	arabonate/xylonate	160437	
CPD00240	argininate	232	C00062
CPD00241	arginine	828	C03406
CPD00242	argininosuccinate		C00072
CPD00243	ascorbate (Vitamin C)	2083	D02147
CPD00244	asmol	6267	C00152
CPD00245	asparagine	5960	C00049
CPD00246	aspartate	123831	C03626
CPD00247	assymetric dimethylarginine (ADMA)	2249	D00235
CPD00248	atenolol	2266	C08261
CPD00249	azelate (nonanedioate)		
CPD00250	azeloylcarnitine (C9-DC)	2269	C06838
CPD00251	azithromycin	2284	D00241
CPD00252	baclofen	243	C00180
CPD00253	benzoate		
CPD00254	benzoylcarnitine	72715786	C20775
CPD00255	beta-citrylglutamate	67701	C03065
CPD00256	beta-guanidinopropanoate	69362	
CPD00257	beta-hydroxyisovalerate		
CPD00258	beta-hydroxyisovaleroylcarnitine	247	C00719
CPD00259	betaine	445040	C06313
CPD00260	biopterin	10981970	
CPD00261	C-glycosyltryptophan		
CPD00262	caffeic acid sulfate	2519	C07481
CPD00263	caffeine	2541	D00522,C07468
CPD00264	candesartan	2554	D00252
CPD00265	carbamazepine	2555	C07496
CPD00266	carbamazepine 10,11-epoxide		
CPD00267	carbamazepine glucuronide	2572	
CPD00268	carboxyethyl-GABA	10444113	
CPD00269	carboxyibuprofen	10917	C00318
CPD00270	carnitine	439224	C00386
CPD00271	carnosine	75124209	
CPD00272	catechol glucuronide	3083879	
CPD00273	catechol sulfate	2678	C07778
CPD00274	cetirizine		C19891
CPD00275	chiro-inositol	5315832	
CPD00276	chlorogenate	2732	D00272
CPD00277	chlorthalidone	221493	C00695
CPD00278	cholate	305	C00114
CPD00279	choline	1014	C00588
CPD00280	choline phosphate	339	C03557
CPD00281	ciliatine (2-aminoethylphosphonate)	709625	
CPD00282	cinnamoylglycine	4011971;2764	C05349
CPD00283	ciprofloxacin	1549103	
CPD00284	cis-urocanate		
CPD00285	citraconate/glutaconate	1081	C00815
CPD00286	citramalate	311	C00158
CPD00287	citrate	9750	C00327
CPD00288	citrulline	2812	D00282
CPD00289	clotrimazole	5754	C00735
CPD00290	cortisol		
CPD00291	cortisol 21-glucuronide	222786	C00762
CPD00292	cortisone	854019	
CPD00293	cotinine	9815514	
CPD00294	cotinine N-oxide		
CPD00295	coumaroylquinate 		
CPD00296	coumaroylquinate 		
CPD00297	coumaroylquinate 		
CPD00298	coumaroylquinate 		
CPD00299	coumaroylquinate 	586	C00300
CPD00300	creatine	588	C00791
CPD00301	creatinine	5315599	
CPD00302	cryptochlorogenic acid	439258	C02291
CPD00303	cystathionine	5862	C00097
CPD00304	cysteine	115015	C05824
CPD00305	cysteine s-sulfate	439498	C01419
CPD00306	cysteinylglycine	67678	C00491
CPD00307	cystine	6175	C00475
CPD00308	cytidine	597	C00380
CPD00309	cytosine	5281708	C10208
CPD00310	daidzein		
CPD00311	daidzein sulfate 		
CPD00312	daidzein sulfate 	10245190	
CPD00313	decanoylcarnitine (C10)	835	C05422
CPD00314	dehydroascorbate		
CPD00315	dehydroepiandrosterone glucuronide	12594	C04555
CPD00316	dehydroisoandrosterone sulfate (DHEA-S)	134	C01181
CPD00317	deoxycarnitine	222528	C04483
CPD00318	deoxycholate		
CPD00319	deoxycholic acid sulfate	13393711	
CPD00320	desmethylnaproxen	184679	
CPD00321	desmethylnaproxen sulfate		C01690
CPD00322	diclofenac	8113	C06772
CPD00323	diethanolamine		
CPD00324	digalactosylglycerol	42953	
CPD00325	diglycerol	1879	C00268
CPD00326	dihydrobiopterin	14340	
CPD00327	dihydroferulic acid	648	C00337
CPD00328	dihydroorotate	39186	C06958
CPD00329	diltiazem	6213	C11142
CPD00330	dimethyl sulfone	673	C01026
CPD00331	dimethylglycine	11686	
CPD00332	dimethylmalonic acid	3100	C06960
CPD00333	diphenhydramine	681	C03758
CPD00334	dopamine	122136	C13690
CPD00335	dopamine 3-O-sulfate	123932	C13691
CPD00336	dopamine 4-sulfate		
CPD00337	doxycycline	126041	C06231
CPD00338	ectoine	3222	
CPD00339	enalapril	10685477	
CPD00340	enterolactone	10298641	
CPD00341	epiandrosterone glucuronide	9929317	
CPD00342	epiandrosterone sulfate		
CPD00343	equol glucuronide		
CPD00344	equol sulfate	3032311	C05570
CPD00345	ergothioneine	222285	C00503
CPD00346	erythritol	2781043	
CPD00347	erythronate	146570	D07913
CPD00348	escitalopram	5735	D01372
CPD00349	eszopiclone	152226	
CPD00350	ethyl glucuronide	11756	
CPD00351	ethylmalonate	270605	
CPD00352	etiocholanolone glucuronide	180632	
CPD00353	eugenol sulfate	5702160	D00318
CPD00354	famotidine	3345	D00320
CPD00355	fentanyl	445858	C01494
CPD00356	ferulate	6305574	
CPD00357	ferulic acid 4-sulfate		
CPD00358	ferulylglycine 		
CPD00359	ferulylglycine 	3348	C06999
CPD00360	fexofenadine	3365	D00322
CPD00361	fluconazole	3386	D00326
CPD00362	fluoxetine	5324346	C07571
CPD00363	fluvoxamine	439233	C00439
CPD00364	formiminoglutamate	5984	C00095
CPD00365	fructose		C00354
CPD00366	fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates	3429	
CPD00367	fucitol	444972	C00122
CPD00368	fumarate		
CPD00369	furaneol sulfate	3440	D00331
CPD00370	furosemide	3446	D00332
CPD00371	gabapentin	128869	C00880
CPD00372	galactonate	16048618	C05401
CPD00373	galactosylglycerol	40772	
CPD00374	gamma-carboxyglutamate	133098	
CPD00375	gamma-CEHC		
CPD00376	gamma-CEHC glucuronide	65254	
CPD00377	gamma-glutamyl-alpha-lysine	7015685	
CPD00378	gamma-glutamyl-epsilon-lysine	150914	C05283
CPD00379	gamma-glutamylglutamine	165527	
CPD00380	gamma-glutamylglycine	7017195	
CPD00381	gamma-glutamylhistidine	14253342	
CPD00382	gamma-glutamylisoleucine	151023	
CPD00383	gamma-glutamylleucine	111299	
CPD00384	gamma-glutamylphenylalanine	76078708	
CPD00385	gamma-glutamylthreonine	94340	
CPD00386	gamma-glutamyltyrosine	7015683	
CPD00387	gamma-glutamylvaline	5280961	C06563
CPD00388	genistein	3469	C00628
CPD00389	gentisate	10914066	
CPD00390	gentisic acid-5-glucoside	33037	C00818
CPD00391	glucarate (saccharate)	10690	C00257
CPD00392	gluconate	73563	C03752
CPD00393	glucosaminate	79025	C00031
CPD00394	glucose	444791	C00191
CPD00395	glucuronate	611	C00025
CPD00396	glutamate	5961	C00064
CPD00397	glutamine	743	C00489
CPD00398	glutarate (pentanedioate)	71464488	
CPD00399	glutarylcarnitine (C5-DC)	752	C00258
CPD00400	glycerate	753	C00116
CPD00401	glycerol	754	C00093
CPD00402	glycerol 3-phosphate	123874	C01233
CPD00403	glycerophosphoethanolamine	439964	C03274
CPD00404	glycerophosphoglycerol	167572	
CPD00405	glycerophosphoinositol	71920	C00670
CPD00406	glycerophosphorylcholine (GPC)	3081457	
CPD00407	glycerophosphoserine	750	C00037
CPD00408	glycine	12544	C05466
CPD00409	glycochenodeoxycholate		
CPD00410	glycochenodeoxycholate glucuronide 		
CPD00411	glycochenodeoxycholate sulfate	10140	C01921
CPD00412	glycocholate		
CPD00413	glycocholate glucuronide 		
CPD00414	glycocholenate sulfate	3035026	C05464
CPD00415	glycodeoxycholate		
CPD00416	glycodeoxycholate sulfate	757	C00160
CPD00417	glycolate (hydroxyacetate)	72222	C11301
CPD00418	glycolithocholate sulfate	12310288	
CPD00419	glycoursodeoxycholate	763	C00581
CPD00420	guanidinoacetate	97856	C03139
CPD00421	guanidinosuccinate	764	C00242
CPD00422	guanine	6802	C00387
CPD00423	guanosine	24316	C00942
CPD00424	guanosine-3',5'-cyclic monophosphate (cGMP)	9794176	C00257
CPD00425	gulonate		
CPD00426	heptanoylglutamine	6426853	
CPD00427	hexanoylcarnitine (C6)		
CPD00428	hexanoylglutamine	99463	
CPD00429	hexanoylglycine	464	C01586
CPD00430	hippurate	774	C00388
CPD00431	histamine	6274	C00135
CPD00432	histidine	9085	C01924
CPD00433	homoarginine	10243361	C00884
CPD00434	homocarnosine	439459	C01251
CPD00435	homocitrate	65072	C02427
CPD00436	homocitrulline	441447	C08283
CPD00437	homostachydrine	1738	C05582
CPD00438	homovanillate (HVA)	29981063	
CPD00439	homovanillate sulfate	7139	
CPD00440	homoveratric acid	782	C05565
CPD00441	hydantoin-5-propionic acid	3639	C07041
CPD00442	hydrochlorothiazide	161220	C00530
CPD00443	hydroquinone sulfate	446	
CPD00444	hydroxybupropion	10219774	
CPD00445	hydroxycotinine	107812	C00519
CPD00446	hypotaurine	790	C00262
CPD00447	hypoxanthine	3672	D00126
CPD00448	ibuprofen	163959	
CPD00449	ibuprofen acyl glucuronide	440129	C05568
CPD00450	imidazole lactate	70630	
CPD00451	imidazole propionate	69867	C19837
CPD00452	indole-3-carboxylic acid	802	C00954
CPD00453	indoleacetate	25200879	
CPD00454	indoleacetylglutamine	446640	
CPD00455	indoleacetylglycine	92904	C02043
CPD00456	indolelactate	7677842	
CPD00457	indolepropionylglycine	321710	C12312
CPD00458	indolin-2-one	6021	C00294
CPD00459	inosine	168379	
CPD00460	isobutyrylcarnitine (C4)	10855600	
CPD00461	isobutyrylglycine	1198	C00311
CPD00462	isocitrate	98259	
CPD00463	isocitric lactone		
CPD00464	isoeugenol sulfate	6306	C00407
CPD00465	isoleucine	12597	D00347
CPD00466	isosorbide	6426851	
CPD00467	isovalerylcarnitine (C5)		
CPD00468	isovalerylglutamine	546304	
CPD00469	isovalerylglycine	10729	C03975
CPD00470	isoxanthopterin	3845	C01717
CPD00471	kynurenate	161166	C00328
CPD00472	kynurenine	5280818	C05793
CPD00473	L-urobilin	612	C00186
CPD00474	lactate	84571	C00243
CPD00475	lactose	3878	D00354
CPD00476	lamotrigine	98504	
CPD00477	lanthionine	10427569	
CPD00478	laurylcarnitine (C12)	6106	C00123
CPD00479	leucine	5284583	D00709,C07841
CPD00480	levetiracetam	11579	
CPD00481	levulinate (4-oxovalerate)	3676	D00358
CPD00482	lidocaine	11128	C01594
CPD00483	linamarin	1889	C09762
CPD00484	liquiritigenin	3937	
CPD00485	lisinopril	3955	C07080
CPD00486	loperamide	5962	C00047
CPD00487	lysine	11492	
CPD00488	m-tyramine	525	C00149
CPD00489	malate	444266	C01384
CPD00490	maleate	867	C00383
CPD00491	malonate	22833583	
CPD00492	malonylcarnitine		
CPD00493	maltitol/lactitol/cellobiotol/palatinol	5780	C00794
CPD00494	mannitol/sorbitol	18950	C00159
CPD00495	mannose	4054	C13736,D08174
CPD00496	memantine	638129	C01732
CPD00497	mesaconate (methylfumarate)	4091	C07151
CPD00498	metformin	6137	C00073
CPD00499	methionine	69961	
CPD00500	methionine sulfone	158980	C02989
CPD00501	methionine sulfoxide		
CPD00502	methyl glucopyranoside (alpha + beta)	74706	
CPD00503	methyl indole-3-acetate		
CPD00504	methyl-4-hydroxybenzoate sulfate	487	C02170
CPD00505	methylmalonate (MMA)	10349	
CPD00506	methylsuccinate		
CPD00507	methylsuccinoylcarnitine 	11719	C16363
CPD00508	methylurea	4168	C07868,D00726
CPD00509	metoclopramide	4171	D02358
CPD00510	metoprolol	62936	
CPD00511	metoprolol acid metabolite	4173	D00409
CPD00512	metronidazole	439230	C02104
CPD00513	mevalonate	10428	
CPD00514	mevalonolactone	70807;2723950	
CPD00515	MOPS	152946	D08237
CPD00516	moxifloxacin	446541	C20380,D05096
CPD00517	mycophenolic acid	6442661	
CPD00518	mycophenolic acid glucuronide	892	C00137
CPD00519	myo-inositol	90659872	
CPD00520	myristoleoylcarnitine (C14:1)		
CPD00521	N,O-didesmethylvenlafaxine glucuronide	21863	
CPD00522	N-(2-furoyl)glycine	193270	
CPD00523	N-acetyl-1-methylhistidine	193270	
CPD00524	N-acetyl-3-methylhistidine	5255	C12270
CPD00525	N-acetyl-aspartyl-glutamate (NAAG)	76406	C01073
CPD00526	N-acetyl-beta-alanine	189087	
CPD00527	N-acetyl-cadaverine	152467	
CPD00528	N-acetyl-S-allyl-L-cysteine	88064	C02847
CPD00529	N-acetylalanine		
CPD00530	N-acetylalliin	67427	C02562
CPD00531	N-acetylarginine	99715	
CPD00532	N-acetylasparagine	65065	C01042
CPD00533	N-acetylaspartate (NAA)	9903482	
CPD00534	N-acetylcarnosine	656979	C15532
CPD00535	N-acetylcitrulline	12035	C06809
CPD00536	N-acetylcysteine	24139	
CPD00537	N-acetylglucosamine/N-acetylgalactosamine	123826	C04540
CPD00538	N-acetylglucosaminylasparagine	70914	C00624
CPD00539	N-acetylglutamate	182230	C02716
CPD00540	N-acetylglutamine	10972	
CPD00541	N-acetylglycine	69602	C05135
CPD00542	N-acetylhistamine	75619	C02997
CPD00543	N-acetylhistidine	2802421	
CPD00544	N-acetylisoleucine		
CPD00545	N-acetylkynurenine 	70912	C02710
CPD00546	N-acetylleucine	448580	C02712
CPD00547	N-acetylmethionine	193368	
CPD00548	N-acetylmethionine sulfoxide	439197	C00270
CPD00549	N-acetylneuraminate	74839	C03519
CPD00550	N-acetylphenylalanine	322640	
CPD00551	N-acetylproline	122356	C02714
CPD00552	N-acetylputrescine		
CPD00553	N-acetylpyrraline	65249	
CPD00554	N-acetylserine	159864	
CPD00555	N-acetyltaurine	152204	
CPD00556	N-acetylthreonine	700653	C03137
CPD00557	N-acetyltryptophan	68310	
CPD00558	N-acetyltyrosine	66789	
CPD00559	N-acetylvaline	439232	C00437
CPD00560	N-alpha-acetylornithine	426409	
CPD00561	N-carbamoylalanine	93072	C00438
CPD00562	N-carbamoylaspartate	439375	C01043
CPD00563	N-carbamoylsarcosine	9920500	
CPD00564	N-delta-acetylornithine	10354700	
CPD00565	N-desmethyl tramadol	24415	C16561
CPD00566	N-ethylglycinexylidide	101399	C05653
CPD00567	N-formylanthranilic acid	439750	C03145
CPD00568	N-formylmethionine	70703	C15987
CPD00569	N-methyl-GABA	5288725	C02721
CPD00570	N-methylalanine	439377	C01046
CPD00571	N-methylglutamate	69217	C02565
CPD00572	N-methylhydantoin	2777993	
CPD00573	N-methylleucine	11286529	
CPD00574	N-methylpipecolate	557	
CPD00575	N-methylproline	7882	
CPD00576	N-methyltaurine		
CPD00577	N-octanoylglutamine	84290	
CPD00578	N-octanoylglycine		
CPD00579	N-trimethyl 5-aminovalerate	132680	C03413
CPD00580	N1,N12-diacetylspermine	69698	C05842
CPD00581	N1-Methyl-2-pyridone-5-carboxamide	27476	C02494
CPD00582	N1-methyladenosine	96373	
CPD00583	N1-methylguanosine	65095	
CPD00584	N1-methylinosine	74047	
CPD00585	N2,N2-dimethylguanine	92919	
CPD00586	N2,N2-dimethylguanosine	10398396	
CPD00587	N2,N5-diacetylornithine	91827	
CPD00588	N2,N6-diacetyllysine	92907	C12989
CPD00589	N2-acetyllysine	3035422	
CPD00590	N2-methylguanosine	99592	
CPD00591	N3-methyluridine	107461	
CPD00592	N4-acetylcytidine	440120	C03793
CPD00593	N6,N6,N6-trimethyllysine	92832	C02727
CPD00594	N6-acetyllysine	161466	
CPD00595	N6-carbamoylthreonyladenosine		
CPD00596	N6-carboxyethyllysine	123800	
CPD00597	N6-carboxymethyllysine	1869	
CPD00598	N6-methyladenosine	165243	
CPD00599	N6-succinyladenosine		
CPD00600	naloxone-3-beta-D-glucuronide	156391	C01517
CPD00601	naproxen	932	C00509
CPD00602	naringenin		
CPD00603	naringenin 7-glucuronide	4455	C05926
CPD00604	neopterin	936	C00153
CPD00605	nicotinamide	72661	
CPD00606	nicotinamide N-oxide	14180	C00455
CPD00607	nicotinamide ribonucleotide (NMN)	439924	C03150
CPD00608	nicotinamide riboside	161234	C05841
CPD00609	nicotinate ribonucleoside	89594	C00745
CPD00610	nicotine	68499	C05380
CPD00611	nicotinurate	4541	
CPD00612	norfluoxetine		
CPD00613	nornicotine	5489120	
