compound_id	chemical_name	analysismode	mz	rt
C000001	609.28_0.9	HILIC_POS	609.28	0.9
C000002	100.0757_1	HILIC_POS	100.0757	1
C000003	164.0705_1	HILIC_POS	164.0705	1
C000004	128.1069_1	HILIC_POS	128.1069	1
C000005	216.1593_1	HILIC_POS	216.1593	1
C000006	199.1439_1.1	HILIC_POS	199.1439	1.1
C000007	148.0392_1.1	HILIC_POS	148.0392	1.1
C000008	184.0605_1.1	HILIC_POS	184.0605	1.1
C000009	185.0638_1.1	HILIC_POS	185.0638	1.1
C000010	146.06_1.1	HILIC_POS	146.06	1.1
C000011	96.0444_1.1	HILIC_POS	96.0444	1.1
C000012	194.1034_1.1	HILIC_POS	194.1034	1.1
C000013	193.0971_1.1	HILIC_POS	193.0971	1.1
C000014	114.0914_1.1	HILIC_POS	114.0914	1.1
C000015	126.0913_1.1	HILIC_POS	126.0913	1.1
C000016	186.1316_1.1	HILIC_POS	186.1316	1.1
C000017	184.0968_1.1	HILIC_POS	184.0968	1.1
C000018	235.1076_1.1	HILIC_POS	235.1076	1.1
C000019	136.0756_1.2	HILIC_POS	136.0756	1.2
C000020	205.0971_1.2	HILIC_POS	205.0971	1.2
C000021	211.1076_1.2	HILIC_POS	211.1076	1.2
C000022	213.0981_1.1	HILIC_POS	213.0981	1.1
C000023	165.0658_1.2	HILIC_POS	165.0658	1.2
C000024	198.1123_1.2	HILIC_POS	198.1123	1.2
C000025	260.0586_1.2	HILIC_POS	260.0586	1.2
C000026	154.0498_1.2	HILIC_POS	154.0498	1.2
C000027	164.0738_1.2	HILIC_POS	164.0738	1.2
C000028	153.0658_1.2	HILIC_POS	153.0658	1.2
C000029	137.0426_1.2	HILIC_POS	137.0426	1.2
C000030	112.0506_1.2	HILIC_POS	112.0506	1.2
C000031	177.0658_1.2	HILIC_POS	177.0658	1.2
C000032	196.0967_1.2	HILIC_POS	196.0967	1.2
C000033	282.1194_1.2	HILIC_POS	282.1194	1.2
C000034	298.0966_1.2	HILIC_POS	298.0966	1.2
C000035	124.0757_1.2	HILIC_POS	124.0757	1.2
C000036	162.0549_1.2	HILIC_POS	162.0549	1.2
C000037	183.1128_1.2	HILIC_POS	183.1128	1.2
C000038	184.116_1.2	HILIC_POS	184.116	1.2
C000039	219.1127_1.2	HILIC_POS	219.1127	1.2
C000040	213.1232_1.2	HILIC_POS	213.1232	1.2
C000041	231.0796_1.2	HILIC_POS	231.0796	1.2
C000042	209.092_1.3	HILIC_POS	209.092	1.3
C000043	168.0655_1.3	HILIC_POS	168.0655	1.3
C000044	105.0369_1.3	HILIC_POS	105.0369	1.3
C000045	136.0617_1.3	HILIC_POS	136.0617	1.3
C000046	250.0933_1.3	HILIC_POS	250.0933	1.3
C000047	98.0601_1.3	HILIC_POS	98.0601	1.3
C000048	116.0706_1.3	HILIC_POS	116.0706	1.3
C000049	140.0818_1.3	HILIC_POS	140.0818	1.3
C000050	267.0772_1.3	HILIC_POS	267.0772	1.3
C000051	290.153_1.3	HILIC_POS	290.153	1.3
C000052	160.0967_1.3	HILIC_POS	160.0967	1.3
C000053	181.0719_1.4	HILIC_POS	181.0719	1.4
C000054	155.0814_1.4	HILIC_POS	155.0814	1.4
C000055	181.0971_1.4	HILIC_POS	181.0971	1.4
C000056	145.0971_1.4	HILIC_POS	145.0971	1.4
C000057	282.1195_1.4	HILIC_POS	282.1195	1.4
C000058	156.1018_1.4	HILIC_POS	156.1018	1.4
C000059	178.0691_1.5	HILIC_POS	178.0691	1.5
C000060	209.1284_1.5	HILIC_POS	209.1284	1.5
C000061	245.0953_1.5	HILIC_POS	245.0953	1.5
C000062	122.0964_1.5	HILIC_POS	122.0964	1.5
C000063	150.0583_1.5	HILIC_POS	150.0583	1.5
C000064	83.0604_1.5	HILIC_POS	83.0604	1.5
C000065	246.1335_1.5	HILIC_POS	246.1335	1.5
C000066	201.1232_1.5	HILIC_POS	201.1232	1.5
C000067	111.0553_1.6	HILIC_POS	111.0553	1.6
C000068	232.1179_1.5	HILIC_POS	232.1179	1.5
C000069	299.16_1.5	HILIC_POS	299.16	1.5
C000070	167.0564_1.6	HILIC_POS	167.0564	1.6
C000071	86.0601_1.6	HILIC_POS	86.0601	1.6
