compound_id	chemical_name	analysismode	mz	rt
C000001	Ethyl sulfate	RP_NEG	124.99238	0.42
C000002	Oxoadipate	RP_NEG	205.0347	0.43
C000003	Ethyl glucuronide	RP_NEG	221.06728	0.43
C000004	Maleate	RP_NEG	142.9985	0.43
C000005	Oxoglutarate	RP_NEG	191.0198	0.46
C000006	2-Methylmaleate / Itaconate	RP_NEG	129.01868	0.64
C000007	3-Methoxy-4-Hydroxymandelate	RP_NEG	197.04678	0.65
C000008	4-Quinolinecarboxylate	RP_NEG	218.0478	0.65
C000009	Homogentisate	RP_NEG	167.03478	0.65
C000010	2-Hydroxybutyrate	RP_NEG	103.03948	0.65
C000011	4-methylcatechol	RP_NEG	151.0393	0.65
C000012	trans,trans -Muconic acid	RP_NEG	141.01868	0.65
C000013	3,4-Dihydrox benzoic acid	RP_NEG	153.01888	0.76
C000014	Ethylmalonate	RP_NEG	131.03418	0.81
C000015	Adipate / 3-Methylglutarate	RP_NEG	145.05008	0.82
C000016	Phenylglyoxylic acid / 2-Hydroxy-4-(Methylthio)Butanoate	RP_NEG	149.02518	0.82
C000017	3-hydroxyanthranilic acid	RP_NEG	152.03578	0.84
C000018	2-Methylglutarate	RP_NEG	145.05018	0.89
C000019	Hydroxyphenyllactate/ Phenylacetate	RP_NEG	181.0501	0.92
C000020	Indoxyl Sulfate	RP_NEG	212.00208	0.92
C000021	3-Methyl-2-Oxindole	RP_NEG	146.06028	0.98
C000022	5-Hydroxyindoleacetate	RP_NEG	190.05048	0.98
C000023	Xanthurenate	RP_NEG	204.02968	0.98
C000024	Kynurenate	RP_NEG	188.03488	1.07
C000025	Hippurate	RP_NEG	178.05068	1.25
C000026	Sorbate	RP_NEG	93.0338	1.26
C000027	2-Hydroxyphenylacetate / P-Hydroxyphenylacetate	RP_NEG	151.03948	1.27
C000028	Guaiacol	RP_NEG	151.0395	1.27
C000029	Mandelate	RP_NEG	151.03948	1.27
C000030	Phenylacetylglutamine	RP_NEG	263.10348	1.27
C000031	4-Hydroxybenzoate	RP_NEG	137.02358	1.3
C000032	3-Methyl-2-Oxovalerate	RP_NEG	175.0606	1.3
C000033	Phthalic acid	RP_NEG	165.01828	1.41
C000034	Homovanillate	RP_NEG	181.04998	1.52
C000035	6-Carboxyhexanoate	RP_NEG	159.06578	1.56
C000036	3-Hydroxyphenylacetate	RP_NEG	151.03928	1.57
C000037	2,3-Dihydroxybenzoate	RP_NEG	153.01858	1.68
C000038	Riboflavin	RP_NEG	375.12968	1.84
C000039	3-Hydroxybenzoate	RP_NEG	137.02358	1.85
C000040	N-Acety-L-Leucine	RP_NEG	172.09728	2.79
C000041	N-Acetylphenylalanine / Indole-3-Ethanol	RP_NEG	206.0817	3.03
C000042	Anthranilate / 4-Aminobenzoate	RP_NEG	164.0347	3.13
C000043	Ferulate	RP_NEG	193.04988	3.21
C000044	Suberate	RP_NEG	173.08128	3.34
C000045	3-(2-Hydroxyphenyl)Propanoate	RP_NEG	211.0606	3.49
C000046	m-Coumaric acid	RP_NEG	163.03918	3.54
C000047	Indole-3-Carboxylic acid	RP_NEG	160.03978	3.62
C000048	Indole-3-Acetate	RP_NEG	174.05578	3.65
C000049	2OH-MBP (Mono(2-hydroxy-isobutyl)phthalate) / 3OH-MBP (Mono-(3-hydroxy-n-butyl) phthalate)	RP_NEG	219.0654	3.69
C000050	Methyl Paraben	RP_NEG	151.03928	3.78
C000051	Bisphenol S	RP_NEG	249.02208	3.78
C000052	Rosmarinate	RP_NEG	387.0716	3.89
C000053	Salicylate	RP_NEG	137.02368	3.94
C000054	MEP (Mono-ethyl phthalate)	RP_NEG	193.04988	4.03
C000055	Trans-Resveratrol	RP_NEG	227.07158	4.07
C000056	Azelate	RP_NEG	187.09718	4.17
C000057	Caprylate	RP_NEG	125.0961	4.17
C000058	Estriol	RP_NEG	269.1499	4.21
C000059	Cortisone	RP_NEG	387.1733	4.39
C000060	Cortisol	RP_NEG	407.2003	4.51
C000061	Sebacic acid	RP_NEG	201.11268	4.73
C000062	10-Hydroxydecanoate	RP_NEG	169.1222	4.84
C000063	Dehydroepiandrosterone Sulfate	RP_NEG	367.15938	4.88
C000064	MECPP (Mono-(2-ethyl-5-carboxypentyl) phthalate)	RP_NEG	353.1247	5.08
C000065	cx-MiNP (MCOP) (Mono(2,6-dimethyl-6-carboxyhexyl) phthalate)	RP_NEG	367.1391	5.29
C000066	MBP (Mono-n-butyl phthalate) / MiBP (Mono-isobutyl phthalate)	RP_NEG	221.08088	5.3
C000067	Pregnenolone Sulfate	RP_NEG	377.1831	5.46
C000068	Glycocholate	RP_NEG	464.29968	5.54
C000069	Dodecanedioic acid	RP_NEG	229.14398	5.59
C000070	Omega-Hydroxydodecanoate	RP_NEG	197.154	5.7
C000071	2-Undecanone	RP_NEG	215.1646	5.7
C000072	cx-MiDP (MCNP) (Mono(2,7-dimethyl-7-carboxyheptyl) phthalate)	RP_NEG	381.1546	5.7
C000073	Butyl Paraben	RP_NEG	193.08628	5.75
C000074	Taurodeoxycholic acid	RP_NEG	498.28728	5.81
C000075	Perfluorooctanoic acid	RP_NEG	412.97018	6.13
C000076	Cholate	RP_NEG	407.27898	6.14
C000077	Ursodeoxycholic acid	RP_NEG	391.28368	6.14
C000078	Salsolinol	RP_NEG	224.0923	6.4
C000079	3-Methoxytyramine	RP_NEG	194.0817	6.57
C000080	Glycolithocholic acid	RP_NEG	432.31058	6.96
C000081	MEHP (Mono-2-ethylhexyl phthalate)	RP_NEG	277.15378	7.16
C000082	LysoPC(16:0)	RP_NEG	540.3281	8
C000083	Laurate	RP_NEG	199.16978	8.21
C000084	LysoPC(18:0)	RP_NEG	568.3596	8.72
C000085	Myristate	RP_NEG	227.20098	9.05
C000086	Oleamide	RP_NEG	308.2558	9.15
C000087	Eicosapentaenoate	RP_NEG	301.21618	9.22
C000088	Palmitoleic acid	RP_NEG	253.21658	9.36
C000089	Linoleate	RP_NEG	279.23208	9.56
C000090	Arachidonic Acid	RP_NEG	303.23148	9.66
C000091	Palmitate	RP_NEG	255.23238	9.82
C000092	Cholesterol Sulfate	RP_NEG	465.30298	9.85
C000093	Oleate / Elaidate / Petroselinate	RP_NEG	281.24778	10.01
C000094	Heptadecanoate / Hexadecanol	RP_NEG	269.2478	10.18
C000095	Stearic acid	RP_NEG	283.26358	10.51
C000096	Arachidate	RP_NEG	311.29458	11.13
C000097	mono (5-carboxy-2-ethylpentyl) phthalate (DEHP)	HILIC_POS	391.2843	0.78
C000098	3-(2-Hydroxyphenyl)Propanoate	HILIC_POS	149.0599	0.79
C000099	mono-n-butylphthalate (BzBP, DnBP)	HILIC_POS	223.0966	0.79
C000100	Ferulate	HILIC_POS	177.0545	0.8
C000101	3-(4-Hydroxyphenyl)Pyruvate/ Caffeate	HILIC_POS	163.0388	0.81
C000102	3-hydroxyfluorene	HILIC_POS	183.0781	0.89
C000103	Cortisone	HILIC_POS	343.1884	0.93
C000104	Methylpicolinate	HILIC_POS	138.0548	0.99
C000105	Mevalolactone	HILIC_POS	113.0598	1.01
C000106	N-Acetylphenylalanine	HILIC_POS	208.1	1.05
C000107	Caffeine	HILIC_POS	195.0874	1.08
C000108	Melatonin	HILIC_POS	233.121	1.09
C000109	Indole-3-Acetate	HILIC_POS	176.0713	1.14
C000110	N-Acetylmethionine	HILIC_POS	192.069	1.15
C000111	Protocatechuic acid ethyl ester	HILIC_POS	183.0664	1.15
C000112	Cortisol	HILIC_POS	363.2189	1.22
C000113	4-Hydroxybenzoate	HILIC_POS	121.0284	1.23
C000114	Mandelic acid	HILIC_POS	135.0441	1.23
C000115	4-Hydroxybenzaldehyde	HILIC_POS	105.0366	1.25
C000116	Glycochenodeoxycholate	HILIC_POS	432.3106	1.25
C000117	Hippurate	HILIC_POS	180.0658	1.25
C000118	Phenol	HILIC_POS	77.0388	1.25
C000119	Lumichrome	HILIC_POS	243.0869	1.26
C000120	N-Acetyl-S-(2-cyanoethyl)-L-cysteine	HILIC_POS	217.0648	1.28
C000121	Indole-3-Acetamide	HILIC_POS	175.0873	1.37
C000122	N-Formyl-L-Methionine	HILIC_POS	178.0535	1.37
C000123	Perfluoro-n-pentanoic acid	HILIC_POS	264.9916	1.38
C000124	Paraxanthine/ Theobromine /Theophylline	HILIC_POS	181.0721	1.4
C000125	N-Acetylproline	HILIC_POS	180.0656	1.42
C000126	trans, trans -Muconic acid	HILIC_POS	125.0231	1.42
C000127	Acetaminophen	HILIC_POS	152.0706	1.43
C000128	N-Acetylcysteine	HILIC_POS	164.0378	1.48
C000129	N-Acetyltryptophan	HILIC_POS	247.1075	1.49
C000130	phthalic acid	HILIC_POS	149.0256	1.51
C000131	Anthranilate / 4-Aminobenzoate	HILIC_POS	NA	1.54
C000132	N-Acetyl-S-(4-hydroxy-2-buten-1-yl)-L-cysteine	HILIC_POS	234.0805	1.54
C000133	3-Hydroxyanthranilic acid	HILIC_POS	154.0496	1.57
C000134	N-Acetylalanine	HILIC_POS	154.0497	1.57
C000135	4-Acetamidobutanoate	HILIC_POS	146.0811	1.63
C000136	Dihydrouracil	HILIC_POS	115.0503	1.69
C000137	N-Acetyl-S-(N-methylcarbamoyl)-L-cysteine	HILIC_POS	221.0606	1.77
C000138	Lauroylcarnitine	HILIC_POS	366.2628	1.95
C000139	N-Acetyl-S- (3-hydroxypropyl)-L-cysteine	HILIC_POS	222.0803	1.95
C000140	Pantothenate	HILIC_POS	220.1181	1.98
