compound_id	chemical_name	analysismode	mz	rt
C000001	1-methylguanine	HILIC_POS	166.0718	5.2
C000002	1-methylnicotinamide	HILIC_POS	137.0706	8.14
C000003	2-deoxyadenosine	HILIC_POS	252.108	5.14
C000004	2-hydroxyphenethylamine	HILIC_POS	138.0909	6.22
C000005	3-methylhistidine	HILIC_POS	170.0918	9.83
C000006	3-methylxanthine	HILIC_POS	167.0558	3.28
C000007	4-guanidinobutanoic acid	HILIC_POS	146.092	7.21
C000008	4-hydroxy-3-methylacetophenone	HILIC_POS	151.0749	1.7
C000009	5-acetylamino-6-amino-3-methyluracil	HILIC_POS	199.082	5.22
C000010	5alpha-Cholestanol	HILIC_POS	371.3658	1.7
C000011	7-methylguanine	HILIC_POS	166.0718	5.69
C000012	8-hydroxy-deoxyguanosine	HILIC_POS	284.098	5.25
C000013	acetylcholine	HILIC_POS	146.117	7.67
C000014	ADMA	HILIC_POS	203.1497	9.69
C000015	ADMA/SDMA	HILIC_POS	203.1495	9.58
C000016	alanine	HILIC_POS	90.0553	7.8
C000017	anserine	HILIC_POS	241.1285	10.47
C000018	arginine	HILIC_POS	175.1185	9.14
C000019	asparagine	HILIC_POS	133.0604	7.93
C000020	atenolol	HILIC_POS	267.1691	6.74
C000021	beta-alanine	HILIC_POS	90.0552	7.96
C000022	betaine	HILIC_POS	118.086	8.95
C000023	bilirubin	HILIC_POS	585.2676	1.64
C000024	butyrobetaine	HILIC_POS	146.117	8.68
C000025	C14 carnitine	HILIC_POS	372.309	6.68
C000026	C16 carnitine	HILIC_POS	400.3403	6.56
C000027	C16:0 LPE	HILIC_POS	454.291	6.26
C000028	C16:0 SM	HILIC_POS	703.5715	7.13
C000029	C16:1 LPC plasmalogen	HILIC_POS	480.3428	7.53
C000030	C18 carnitine	HILIC_POS	428.3717	6.46
C000031	C18:0 LPC	HILIC_POS	524.369	7.57
C000032	C18:1 carnitine	HILIC_POS	426.3559	6.48
C000033	C18:1 LPC	HILIC_POS	522.3534	7.62
C000034	C18:1 LPC plasmalogen	HILIC_POS	508.374	7.74
C000035	C18:2 carnitine	HILIC_POS	424.3404	6.52
C000036	C2 carnitine	HILIC_POS	204.1223	8.59
C000037	C20 carnitine	HILIC_POS	456.4028	6.36
C000038	C20:4 carnitine	HILIC_POS	448.3402	6.22
C000039	C36:2 PC	HILIC_POS	786.5963	6.49
C000040	C3-DC-CH3 carnitine	HILIC_POS	262.1275	8.5
C000041	C4 carnitine	HILIC_POS	232.1534	7.89
C000042	caffeine	HILIC_POS	195.0872	2.82
