compound_id	chemical_name	analysismode	mz	rt
C000001	(-)-Columbianetin	RP_POS	247.0941	9.43
C000002	(-)-Glyceollin I	RP_POS	170.0651	8.84
C000003	(-)-Jasmonic acid	RP_POS	211.133	12.75
C000004	(-)-Limonene_1	RP_POS	137.1326	8.46
C000005	(-)-Limonene_2	RP_POS	137.1326	11.74
C000006	(-)-Limonene_3	RP_POS	137.1326	12.61
C000007	(-)-Menthyl acetate_1	RP_POS	199.1695	12.7
C000008	(-)-Menthyl acetate_2	RP_POS	199.1695	15.16
C000009	(-)-Menthyl acetate_3	RP_POS	199.1694	13.73
C000010	(-)-Sympatol_1	RP_POS	168.102	8.85
C000011	(-)-Sympatol_2	RP_POS	168.102	7.29
C000012	(+)-Camphor_1	RP_POS	153.1275	7.52
C000013	(+)-Camphor_2	RP_POS	153.1275	8.41
C000014	(+)-Camphor_3	RP_POS	153.1275	12.04
C000015	(+)-Norephedrine	RP_POS	152.1071	10.12
C000016	(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol	RP_POS	294.2065	14.32
C000017	(10S)-Juvenile hormone III acid diol	RP_POS	271.1905	11.22
C000018	(10S)-Juvenile hormone III diol	RP_POS	285.206	12.01
C000019	(3-Arylcarbonyl)-alanine	RP_POS	194.0814	8.78
C000020	(3S,5S)-Carbapenam-3-carboxylic acid	RP_POS	156.0656	3.4
C000021	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid	RP_POS	329.2475	15.87
C000022	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester_1	RP_POS	357.2788	12.48
C000023	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester_2	RP_POS	357.2789	12.02
C000024	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester_3	RP_POS	357.2789	11.58
C000025	(6S,9R)-Vomifoliol	RP_POS	225.1486	13.61
C000026	(6Z,9Z,12Z)-Octadecatrienoic acid_1	RP_POS	279.2319	15.59
C000027	(6Z,9Z,12Z)-Octadecatrienoic acid_2	RP_POS	279.232	14.71
C000028	(8Z,11Z,14Z)-Icosatrienoic acid	RP_POS	307.2632	16.71
C000029	(9Z)-Hexadecenoic acid_1	RP_POS	255.2319	14.3
C000030	(9Z)-Hexadecenoic acid_2	RP_POS	255.2319	16.16
C000031	(9Z)-Hexadecenoic acid_3	RP_POS	255.2319	13.32
C000032	(9Z)-Octadecenoic acid	RP_POS	283.2632	14.52
C000033	(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid_1	RP_POS	297.2425	14.71
C000034	(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid_2	RP_POS	297.2425	15.41
C000035	(E)-4-(Trimethylammonio)but-2-enoate_1	RP_POS	144.102	1.12
C000036	(E)-4-(Trimethylammonio)but-2-enoate_2	RP_POS	144.102	6.8
C000037	(E)-4-(Trimethylammonio)but-2-enoate_3	RP_POS	144.102	6.39
C000038	(E)-4-(Trimethylammonio)but-2-enoate_4	RP_POS	144.102	7.12
C000039	(E)-4-(Trimethylammonio)but-2-enoate_5	RP_POS	144.102	3.94
C000040	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate	RP_POS	191.0895	7.75
C000041	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_1	RP_POS	128.0709	2.12
C000042	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_2	RP_POS	128.0709	1.14
