compound_id	chemical_name	analysismode	mz	rt
C000001	1-methylguanine	HILIC_POS	166.0728	5.18
C000002	1-methylguanosine	HILIC_POS	298.1144	5
C000003	1-methylhistamine	HILIC_POS	126.1031	9.66
C000004	1-methylnicotinamide	HILIC_POS	137.0713	8.2
C000005	21-deoxycortisol	HILIC_POS	347.2221	1.84
C000006	2-aminoheptanoic acid	HILIC_POS	146.1178	6.39
C000007	2-deoxyadenosine	HILIC_POS	252.1096	5.09
C000008	2-deoxycytidine	HILIC_POS	228.0983	5.89
C000009	2^-O-methyladenosine	HILIC_POS	282.1202	4.54
C000010	3-methylhistidine	HILIC_POS	170.0928	9.87
C000011	3-methylxanthine	HILIC_POS	167.0567	3.21
C000012	3^-O-methyladenosine	HILIC_POS	282.1202	4.76
C000013	4-aminophenol	HILIC_POS	110.0606	1.87
C000014	4-guanidinobutanoic acid	HILIC_POS	146.0928	7.23
C000015	4-hydroxy-3-methylacetophenone	HILIC_POS	151.0757	1.5
C000016	5-acetylamino-6-amino-3-methyluracil	HILIC_POS	199.083	5.17
C000017	5-aminolevulinic acid	HILIC_POS	132.0659	7.82
C000018	5-hydroxytryptophan	HILIC_POS	221.0925	6.53
C000019	7-methylguanine	HILIC_POS	166.0727	5.65
C000020	7-methylxanthine	HILIC_POS	167.0567	3.17
C000021	8-hydroxy-deoxyguanosine	HILIC_POS	284.0996	5.15
C000022	acetaminophen	HILIC_POS	152.0709	1.89
C000023	acetylcholine	HILIC_POS	146.1178	7.76
C000024	acetyl-galactosamine	HILIC_POS	222.0976	5.47
C000025	adenosine	HILIC_POS	268.1047	4.9
C000026	ADMA/SDMA	HILIC_POS	203.1507	9.7
C000027	agmatine	HILIC_POS	131.1296	9.19
C000028	alanine	HILIC_POS	90.0557	7.72
C000029	alanylalanine	HILIC_POS	161.0924	7.85
C000030	alloisoleucine	HILIC_POS	132.1024	8.16
C000031	alpha-glycerophosphocholine	HILIC_POS	258.1106	10.5
