chemical_name	analysismode	mz	rt	compound_id
668.3964_7.77	RP_POS	668.3964	7.77	C000114
854.5072_7.33	RP_POS	854.5072	7.33	C000115
523.3639_10.46	RP_POS	523.3639	10.46	C000116
702.2873_10.65	RP_POS	702.2873	10.65	C000117
374.1467_10.66	RP_POS	374.1467	10.66	C000118
448.1866_10.65	RP_POS	448.1866	10.65	C000119
342.2552_10.88	RP_POS	342.2552	10.88	C000120
650.2934_10.64	RP_POS	650.2934	10.64	C000121
499.2967_10.93	RP_POS	499.2967	10.93	C000122
688.2716_10.65	RP_POS	688.2716	10.65	C000123
538.4233_11.10	RP_POS	538.4233	11.1	C000124
362.1473_10.65	RP_POS	362.1473	10.65	C000125
346.1524_10.65	RP_POS	346.1524	10.65	C000126
274.2140_11.30	RP_POS	274.214	11.3	C000127
156.1513_0.51	RP_POS	156.1513	0.51	C000128
129.0427_0.53	RP_POS	129.0427	0.53	C000129
110.1095_0.51	RP_POS	110.1095	0.51	C000130
168.0281_0.53	RP_POS	168.0281	0.53	C000131
199.0845_0.54	RP_POS	199.0845	0.54	C000132
322.9730_0.54	RP_POS	322.973	0.54	C000133
234.0827_0.54	RP_POS	234.0827	0.54	C000134
615.1098_0.54	RP_POS	615.1098	0.54	C000135
148.0524_0.54	RP_POS	148.0524	0.54	C000136
673.7767_1.53	RP_POS	673.7767	1.53	C000137
589.7695_0.66	RP_POS	589.7695	0.66	C000138
293.0788_2.01	RP_POS	293.0788	2.01	C000139
265.0839_2.06	RP_POS	265.0839	2.06	C000140
220.0846_0.74	RP_POS	220.0846	0.74	C000141
549.0882_0.74	RP_POS	549.0882	0.74	C000142
157.1102_2.56	RP_POS	157.1102	2.56	C000143
246.0986_0.72	RP_POS	246.0986	0.72	C000144
320.0687_2.70	RP_POS	320.0687	2.7	C000145
147.0318_2.78	RP_POS	147.0318	2.78	C000146
136.0132_2.82	RP_POS	136.0132	2.82	C000147
238.1413_2.87	RP_POS	238.1413	2.87	C000148
772.3861_2.66	RP_POS	772.3861	2.66	C000149
296.0431_2.97	RP_POS	296.0431	2.97	C000150
300.0359_2.97	RP_POS	300.0359	2.97	C000151
353.0180_2.98	RP_POS	353.018	2.98	C000152
156.0422_2.77	RP_POS	156.0422	2.77	C000153
239.1784_3.21	RP_POS	239.1784	3.21	C000154
252.1209_2.69	RP_POS	252.1209	2.69	C000155
163.0634_3.40	RP_POS	163.0634	3.4	C000156
282.1675_3.63	RP_POS	282.1675	3.63	C000157
155.0584_0.54	RP_POS	155.0584	0.54	C000158
194.0903_0.55	RP_POS	194.0903	0.55	C000159
117.0426_0.58	RP_POS	117.0426	0.58	C000160
1097.5614_4.10	RP_POS	1097.5614	4.1	C000161
326.1938_4.18	RP_POS	326.1938	4.18	C000162
1359.7260_4.18	RP_POS	1359.726	4.18	C000163
195.0917_4.57	RP_POS	195.0917	4.57	C000164
370.2198_4.65	RP_POS	370.2198	4.65	C000165
426.1421_4.58	RP_POS	426.1421	4.58	C000166
219.0530_4.57	RP_POS	219.053	4.57	C000167
355.0480_4.90	RP_POS	355.048	4.9	C000168
270.0777_5.42	RP_POS	270.0777	5.42	C000169
1088.6189_7.37	RP_POS	1088.6189	7.37	C000170
588.3680_7.47	RP_POS	588.368	7.47	C000171
220.1695_7.53	RP_POS	220.1695	7.53	C000172
462.2602_7.58	RP_POS	462.2602	7.58	C000173
310.2141_7.84	RP_POS	310.2141	7.84	C000174
402.1197_8.10	RP_POS	402.1197	8.1	C000175
286.0744_8.34	RP_POS	286.0744	8.34	C000176
894.5391_8.39	RP_POS	894.5391	8.39	C000177
699.3817_8.45	RP_POS	699.3817	8.45	C000178
234.1983_8.51	RP_POS	234.1983	8.51	C000179
334.1689_8.60	RP_POS	334.1689	8.6	C000180
668.2158_8.64	RP_POS	668.2158	8.64	C000181
540.2567_8.74	RP_POS	540.2567	8.74	C000182
452.2521_8.82	RP_POS	452.2521	8.82	C000183
450.3335_8.92	RP_POS	450.3335	8.92	C000184
568.2391_9.06	RP_POS	568.2391	9.06	C000185
404.2174_9.06	RP_POS	404.2174	9.06	C000186
228.1877_9.05	RP_POS	228.1877	9.05	C000187
274.2141_9.02	RP_POS	274.2141	9.02	C000188
334.2225_9.02	RP_POS	334.2225	9.02	C000189
269.2354_8.91	RP_POS	269.2354	8.91	C000190
286.1482_8.90	RP_POS	286.1482	8.9	C000191
312.2295_8.91	RP_POS	312.2295	8.91	C000192
302.1853_8.94	RP_POS	302.1853	8.94	C000193
276.2297_8.86	RP_POS	276.2297	8.86	C000194
312.1870_8.86	RP_POS	312.187	8.86	C000195
490.2768_8.81	RP_POS	490.2768	8.81	C000196
369.1784_8.70	RP_POS	369.1784	8.7	C000197
406.1738_8.71	RP_POS	406.1738	8.71	C000198
375.2868_8.68	RP_POS	375.2868	8.68	C000199
628.2525_8.64	RP_POS	628.2525	8.64	C000200
614.2373_8.64	RP_POS	614.2373	8.64	C000201
300.1107_8.64	RP_POS	300.1107	8.64	C000202
1749.0116_8.60	RP_POS	1749.0116	8.6	C000203
316.2608_10.10	RP_POS	316.2608	10.1	C000204
366.2763_10.11	RP_POS	366.2763	10.11	C000205
728.4936_10.12	RP_POS	728.4936	10.12	C000206
568.4184_10.13	RP_POS	568.4184	10.13	C000207
278.2244_10.14	RP_POS	278.2244	10.14	C000208
136.0386_10.22	RP_POS	136.0386	10.22	C000209
585.3393_10.16	RP_POS	585.3393	10.16	C000210
352.1926_10.19	RP_POS	352.1926	10.19	C000211
404.3133_10.26	RP_POS	404.3133	10.26	C000212
255.2560_10.29	RP_POS	255.256	10.29	C000213
238.2293_10.35	RP_POS	238.2293	10.35	C000214
264.2451_10.41	RP_POS	264.2451	10.41	C000215
577.3669_10.46	RP_POS	577.3669	10.46	C000216
213.1035_10.41	RP_POS	213.1035	10.41	C000217
978.6723_10.44	RP_POS	978.6723	10.44	C000218
764.3237_10.65	RP_POS	764.3237	10.65	C000219
525.2109_10.66	RP_POS	525.2109	10.66	C000220
398.3177_10.73	RP_POS	398.3177	10.73	C000221
494.3040_10.83	RP_POS	494.304	10.83	C000222
266.2605_10.83	RP_POS	266.2605	10.83	C000223
360.3145_10.83	RP_POS	360.3145	10.83	C000224
318.2553_10.88	RP_POS	318.2553	10.88	C000225
210.1619_11.06	RP_POS	210.1619	11.06	C000226
682.4358_11.11	RP_POS	682.4358	11.11	C000227
442.4017_11.12	RP_POS	442.4017	11.12	C000228
298.2504_11.19	RP_POS	298.2504	11.19	C000229
832.6402_12.15	RP_POS	832.6402	12.15	C000230
406.3447_11.26	RP_POS	406.3447	11.26	C000231
264.2449_11.30	RP_POS	264.2449	11.3	C000232
1400.9784_11.55	RP_POS	1400.9784	11.55	C000233
592.4701_11.72	RP_POS	592.4701	11.72	C000234
270.2189_11.72	RP_POS	270.2189	11.72	C000235
672.5073_11.72	RP_POS	672.5073	11.72	C000236
332.2823_12.25	RP_POS	332.2823	12.25	C000237
477.2856_12.32	RP_POS	477.2856	12.32	C000238
390.2762_14.93	RP_POS	390.2762	14.93	C000239
620.2956_11.95	RP_POS	620.2956	11.95	C000240
242.1879_11.30	RP_POS	242.1879	11.3	C000241
1210.8374_11.24	RP_POS	1210.8374	11.24	C000242
468.3805_11.14	RP_POS	468.3805	11.14	C000243
440.3119_11.21	RP_POS	440.3119	11.21	C000244
1240.8485_11.04	RP_POS	1240.8485	11.04	C000245
1284.8740_11.06	RP_POS	1284.874	11.06	C000246
309.2366_10.97	RP_POS	309.2366	10.97	C000247
262.2293_10.93	RP_POS	262.2293	10.93	C000248
508.3763_10.79	RP_POS	508.3763	10.79	C000249
404.1578_10.66	RP_POS	404.1578	10.66	C000250
523.2316_10.66	RP_POS	523.2316	10.66	C000251
537.2104_10.66	RP_POS	537.2104	10.66	C000252
418.1735_10.66	RP_POS	418.1735	10.66	C000253
495.2003_10.66	RP_POS	495.2003	10.66	C000254
274.1547_10.65	RP_POS	274.1547	10.65	C000255
388.1628_10.66	RP_POS	388.1628	10.66	C000256
223.0842_10.65	RP_POS	223.0842	10.65	C000257
376.1631_10.65	RP_POS	376.1631	10.65	C000258
674.2928_10.65	RP_POS	674.2928	10.65	C000259
328.2400_10.40	RP_POS	328.24	10.4	C000260
509.2159_10.65	RP_POS	509.2159	10.65	C000261
566.2160_10.65	RP_POS	566.216	10.65	C000262
631.4365_10.39	RP_POS	631.4365	10.39	C000263
316.2399_10.64	RP_POS	316.2399	10.64	C000264
602.2138_10.65	RP_POS	602.2138	10.65	C000265
284.1158_10.65	RP_POS	284.1158	10.65	C000266
300.1107_10.65	RP_POS	300.1107	10.65	C000267
298.1314_10.65	RP_POS	298.1314	10.65	C000268
878.3616_10.64	RP_POS	878.3616	10.64	C000269
1368.8060_10.63	RP_POS	1368.806	10.63	C000270
404.3042_10.59	RP_POS	404.3042	10.59	C000271
1154.7818_10.53	RP_POS	1154.7818	10.53	C000272
223.1285_10.58	RP_POS	223.1285	10.58	C000273
304.2400_10.37	RP_POS	304.24	10.37	C000274
1121.7757_10.35	RP_POS	1121.7757	10.35	C000275
332.2828_10.35	RP_POS	332.2828	10.35	C000276
390.2887_10.35	RP_POS	390.2887	10.35	C000277
1052.7076_10.30	RP_POS	1052.7076	10.3	C000278
494.3817_10.28	RP_POS	494.3817	10.28	C000279
326.2243_10.13	RP_POS	326.2243	10.13	C000280
292.1798_10.13	RP_POS	292.1798	10.13	C000281
550.3468_10.12	RP_POS	550.3468	10.12	C000282
271.2147_8.56	RP_POS	271.2147	8.56	C000283
240.1722_8.56	RP_POS	240.1722	8.56	C000284
508.2725_8.51	RP_POS	508.2725	8.51	C000285
364.2630_8.47	RP_POS	364.263	8.47	C000286
221.0899_8.45	RP_POS	221.0899	8.45	C000287
330.2403_8.39	RP_POS	330.2403	8.39	C000288
342.1426_8.39	RP_POS	342.1426	8.39	C000289
490.2720_8.39	RP_POS	490.272	8.39	C000290
850.5127_8.29	RP_POS	850.5127	8.29	C000291
184.1460_8.28	RP_POS	184.146	8.28	C000292
356.1832_8.21	RP_POS	356.1832	8.21	C000293
569.3015_8.22	RP_POS	569.3015	8.22	C000294
316.1648_8.19	RP_POS	316.1648	8.19	C000295
282.1805_8.21	RP_POS	282.1805	8.21	C000296
432.1770_8.18	RP_POS	432.177	8.18	C000297
744.4732_8.17	RP_POS	744.4732	8.17	C000298
806.4866_8.17	RP_POS	806.4866	8.17	C000299
345.1437_8.16	RP_POS	345.1437	8.16	C000300
350.1212_8.10	RP_POS	350.1212	8.1	C000301
257.1990_8.08	RP_POS	257.199	8.08	C000302
432.2356_8.08	RP_POS	432.2356	8.08	C000303
465.3085_8.06	RP_POS	465.3085	8.06	C000304
762.4602_8.06	RP_POS	762.4602	8.06	C000305
330.2410_8.03	RP_POS	330.241	8.03	C000306
386.1979_8.03	RP_POS	386.1979	8.03	C000307
664.2374_7.96	RP_POS	664.2374	7.96	C000308
304.0984_7.94	RP_POS	304.0984	7.94	C000309
1074.6395_7.93	RP_POS	1074.6395	7.93	C000310
480.1925_7.93	RP_POS	480.1925	7.93	C000311
461.2745_7.93	RP_POS	461.2745	7.93	C000312
656.4211_7.92	RP_POS	656.4211	7.92	C000313
718.4342_7.92	RP_POS	718.4342	7.92	C000314
230.1516_7.91	RP_POS	230.1516	7.91	C000315
314.2474_7.91	RP_POS	314.2474	7.91	C000316
163.0846_7.91	RP_POS	163.0846	7.91	C000317
298.2293_7.86	RP_POS	298.2293	7.86	C000318
237.1764_7.85	RP_POS	237.1764	7.85	C000319
346.2351_7.85	RP_POS	346.2351	7.85	C000320
632.3956_7.64	RP_POS	632.3956	7.64	C000321
299.2822_7.83	RP_POS	299.2822	7.83	C000322
1264.7216_7.80	RP_POS	1264.7216	7.8	C000323
677.4269_7.79	RP_POS	677.4269	7.79	C000324
612.3951_7.78	RP_POS	612.3951	7.78	C000325
674.4079_7.78	RP_POS	674.4079	7.78	C000326
332.2348_7.74	RP_POS	332.2348	7.74	C000327
986.5863_7.72	RP_POS	986.5863	7.72	C000328
288.1337_7.70	RP_POS	288.1337	7.7	C000329
210.1618_7.72	RP_POS	210.1618	7.72	C000330
534.2323_7.70	RP_POS	534.2323	7.7	C000331
241.2042_7.70	RP_POS	241.2042	7.7	C000332
942.5604_7.60	RP_POS	942.5604	7.6	C000333
301.1526_7.58	RP_POS	301.1526	7.58	C000334
465.3088_7.50	RP_POS	465.3088	7.5	C000335
1132.6405_7.48	RP_POS	1132.6405	7.48	C000336
876.5519_7.47	RP_POS	876.5519	7.47	C000337
292.0988_7.45	RP_POS	292.0988	7.45	C000338
216.1172_7.43	RP_POS	216.1172	7.43	C000339
796.4482_7.30	RP_POS	796.4482	7.3	C000340
1074.5403_7.31	RP_POS	1074.5403	7.31	C000341
1080.5554_7.31	RP_POS	1080.5554	7.31	C000342
210.1829_7.30	RP_POS	210.1829	7.3	C000343
364.2246_7.05	RP_POS	364.2246	7.05	C000344
386.1723_7.16	RP_POS	386.1723	7.16	C000345
298.1411_7.14	RP_POS	298.1411	7.14	C000346
332.1831_7.13	RP_POS	332.1831	7.13	C000347
164.1201_7.10	RP_POS	164.1201	7.1	C000348
264.1104_7.09	RP_POS	264.1104	7.09	C000349
500.3196_7.08	RP_POS	500.3196	7.08	C000350
343.0192_7.02	RP_POS	343.0192	7.02	C000351
268.1186_6.01	RP_POS	268.1186	6.01	C000352
260.1525_6.03	RP_POS	260.1525	6.03	C000353
250.1201_6.98	RP_POS	250.1201	6.98	C000354
378.0818_6.97	RP_POS	378.0818	6.97	C000355
344.0782_6.97	RP_POS	344.0782	6.97	C000356
510.2100_6.97	RP_POS	510.21	6.97	C000357
254.0660_6.97	RP_POS	254.066	6.97	C000358
234.1385_6.97	RP_POS	234.1385	6.97	C000359
518.1463_6.97	RP_POS	518.1463	6.97	C000360
276.1705_6.66	RP_POS	276.1705	6.66	C000361
229.1675_6.89	RP_POS	229.1675	6.89	C000362
736.4100_6.91	RP_POS	736.41	6.91	C000363
246.1124_6.82	RP_POS	246.1124	6.82	C000364
248.1024_6.77	RP_POS	248.1024	6.77	C000365
186.1256_6.75	RP_POS	186.1256	6.75	C000366
273.1131_6.78	RP_POS	273.1131	6.78	C000367
264.1354_6.59	RP_POS	264.1354	6.59	C000368
300.0886_6.51	RP_POS	300.0886	6.51	C000369
272.0936_6.51	RP_POS	272.0936	6.51	C000370
2166.0607_6.40	RP_POS	2166.0607	6.4	C000371
204.1384_6.29	RP_POS	204.1384	6.29	C000372
532.2916_6.15	RP_POS	532.2916	6.15	C000373
172.0886_5.96	RP_POS	172.0886	5.96	C000374
292.0943_5.98	RP_POS	292.0943	5.98	C000375
488.2656_5.87	RP_POS	488.2656	5.87	C000376
210.1155_5.68	RP_POS	210.1155	5.68	C000377
344.0781_5.66	RP_POS	344.0781	5.66	C000378
356.0680_5.65	RP_POS	356.068	5.65	C000379
199.0996_5.62	RP_POS	199.0996	5.62	C000380
444.2391_5.57	RP_POS	444.2391	5.57	C000381
458.2724_5.40	RP_POS	458.2724	5.4	C000382
1054.5446_5.30	RP_POS	1054.5446	5.3	C000383
244.0622_5.17	RP_POS	244.0622	5.17	C000384
258.0787_5.17	RP_POS	258.0787	5.17	C000385
919.4782_4.77	RP_POS	919.4782	4.77	C000386
308.0569_4.90	RP_POS	308.0569	4.9	C000387
354.0250_4.90	RP_POS	354.025	4.9	C000388
366.0080_4.89	RP_POS	366.008	4.89	C000389
188.0707_4.57	RP_POS	188.0707	4.57	C000390
392.1367_4.58	RP_POS	392.1367	4.58	C000391
271.0692_4.57	RP_POS	271.0692	4.57	C000392
219.0894_4.57	RP_POS	219.0894	4.57	C000393
176.1047_4.59	RP_POS	176.1047	4.59	C000394
323.0679_4.57	RP_POS	323.0679	4.57	C000395
147.0685_4.57	RP_POS	147.0685	4.57	C000396
1204.6288_4.57	RP_POS	1204.6288	4.57	C000397
919.4246_4.50	RP_POS	919.4246	4.5	C000398
310.0586_4.36	RP_POS	310.0586	4.36	C000399
919.4543_4.17	RP_POS	919.4543	4.17	C000400
708.8624_0.88	RP_POS	708.8624	0.88	C000401
186.1005_0.57	RP_POS	186.1005	0.57	C000402
131.0404_0.60	RP_POS	131.0404	0.6	C000403
144.1151_0.59	RP_POS	144.1151	0.59	C000404
905.8587_0.61	RP_POS	905.8587	0.61	C000405
530.2127_9.07	RP_POS	530.2127	9.07	C000406
322.2143_9.06	RP_POS	322.2143	9.06	C000407
344.2557_9.14	RP_POS	344.2557	9.14	C000408
664.2378_9.12	RP_POS	664.2378	9.12	C000409
352.2012_9.12	RP_POS	352.2012	9.12	C000410
420.2119_9.11	RP_POS	420.2119	9.11	C000411
388.2633_9.18	RP_POS	388.2633	9.18	C000412
479.2944_9.18	RP_POS	479.2944	9.18	C000413
294.2180_9.18	RP_POS	294.218	9.18	C000414
594.2711_9.19	RP_POS	594.2711	9.19	C000415
158.0215_9.20	RP_POS	158.0215	9.2	C000416
296.1279_9.26	RP_POS	296.1279	9.26	C000417
499.2696_9.25	RP_POS	499.2696	9.25	C000418
262.2294_9.27	RP_POS	262.2294	9.27	C000419
392.2922_9.27	RP_POS	392.2922	9.27	C000420
278.1150_9.31	RP_POS	278.115	9.31	C000421
270.2194_9.36	RP_POS	270.2194	9.36	C000422
262.2295_9.39	RP_POS	262.2295	9.39	C000423
541.3167_9.35	RP_POS	541.3167	9.35	C000424
390.2762_9.40	RP_POS	390.2762	9.4	C000425
318.2191_9.42	RP_POS	318.2191	9.42	C000426
392.1564_9.43	RP_POS	392.1564	9.43	C000427
295.2511_9.45	RP_POS	295.2511	9.45	C000428
922.6066_9.48	RP_POS	922.6066	9.48	C000429
426.2979_9.49	RP_POS	426.2979	9.49	C000430
438.3000_9.50	RP_POS	438.3	9.5	C000431
346.1527_9.52	RP_POS	346.1527	9.52	C000432
608.2719_9.54	RP_POS	608.2719	9.54	C000433
523.2673_9.56	RP_POS	523.2673	9.56	C000434
490.2607_9.59	RP_POS	490.2607	9.59	C000435
340.1993_9.60	RP_POS	340.1993	9.6	C000436
1010.6608_9.61	RP_POS	1010.6608	9.61	C000437
312.2298_9.61	RP_POS	312.2298	9.61	C000438
396.1899_9.56	RP_POS	396.1899	9.56	C000439
525.2857_9.59	RP_POS	525.2857	9.59	C000440
566.2169_9.51	RP_POS	566.2169	9.51	C000441
519.3193_9.66	RP_POS	519.3193	9.66	C000442
448.2098_9.67	RP_POS	448.2098	9.67	C000443
664.2372_9.43	RP_POS	664.2372	9.43	C000444
416.3285_9.71	RP_POS	416.3285	9.71	C000445
547.3119_9.41	RP_POS	547.3119	9.41	C000446
440.3192_9.76	RP_POS	440.3192	9.76	C000447
288.2085_9.77	RP_POS	288.2085	9.77	C000448
255.2584_9.80	RP_POS	255.2584	9.8	C000449
386.2445_9.78	RP_POS	386.2445	9.78	C000450
1024.6748_9.82	RP_POS	1024.6748	9.82	C000451
310.2507_9.79	RP_POS	310.2507	9.79	C000452
664.4990_9.77	RP_POS	664.499	9.77	C000453
362.2546_9.78	RP_POS	362.2546	9.78	C000454
1046.5937_9.86	RP_POS	1046.5937	9.86	C000455
524.3915_9.86	RP_POS	524.3915	9.86	C000456
495.3323_9.88	RP_POS	495.3323	9.88	C000457
348.2875_9.78	RP_POS	348.2875	9.78	C000458
298.1314_9.30	RP_POS	298.1314	9.3	C000459
612.4450_9.95	RP_POS	612.445	9.95	C000460
591.3199_9.96	RP_POS	591.3199	9.96	C000461
300.2089_9.21	RP_POS	300.2089	9.21	C000462
350.2431_10.01	RP_POS	350.2431	10.01	C000463
619.3154_10.03	RP_POS	619.3154	10.03	C000464
314.2452_9.21	RP_POS	314.2452	9.21	C000465
346.2714_9.19	RP_POS	346.2714	9.19	C000466
196.1825_0.51	RP_POS	196.1825	0.51	C000467
527.2406_0.53	RP_POS	527.2406	0.53	C000468
