compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD000457	4-imidazoleacetate	C02835	96215
CPD001564	4-methoxyphenol sulfate	NA	.
CPD000488	4-methyl-2-oxopentanoate	C00233	70
CPD000102	4-methylbenzenesulfonate	C06677	6101
CPD000045	4-methylcatechol sulfate	NA	.
CPD000046	4-methylguaiacol sulfate	NA	.
CPD000338	4-vinylguaiacol sulfate	NA	.
CPD000047	4-vinylphenol sulfate	C05627	6426766
CPD000945	5,6-dihydrothymine	C00906	93556
CPD000949	5,6-dihydrouracil	C00429	649
CPD000950	5,6-dihydrouridine	NA	94312
CPD000542	5-(galactosylhydroxy)-L-lysine	NA	.
CPD001605	5-acetylamino-6-amino-3-methyluracil	C16366	88299
CPD001544	5-bromotryptophan	NA	96735
CPD000324	5-hydroxyhexanoate	NA	170748
CPD001545	5-hydroxyindole sulfate	NA	.
CPD000543	5-hydroxylysine	C16741	1029
CPD000325	5-hydroxyvalproate	C16650	135244
CPD000890	5-methylthioadenosine (MTA)	C00170	439176
CPD000558	5-methylthioribose**	NA	494
CPD000951	5-methyluridine (ribothymidine)	NA	445408
CPD000408	5-oxoproline	C01879	7405
CPD000015	5alpha-androstan-3beta,17beta-diol disulfate	C12525	242332
CPD000919	5alpha-pregnan-3beta,20alpha-diol disulfate	NA	.
CPD000920	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	NA	.
CPD000921	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	NA	.
CPD000103	6-hydroxyindole sulfate	NA	.
CPD000544	6-oxopiperidine-2-carboxylate	NA	3014237
CPD001002	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	C17337	3081085
CPD001546	7-hydroxyindole sulfate	NA	.
CPD000934	7-methylguanine	C02242	11361
CPD001606	7-methylxanthine	C16353	68374
CPD000306	9,10-DiHOME	C14828	9966640
CPD000326	9-hydroxystearate	NA	9570127
CPD001547	C-glycosyltryptophan	NA	10981970
CPD000058	CE(12:0)	NA	.
CPD000059	CE(14:0)	NA	.
CPD000060	CE(14:1)	NA	.
CPD000061	CE(15:0)	NA	.
CPD000062	CE(16:0)	NA	.
CPD000063	CE(16:1)	NA	.
CPD000064	CE(17:0)	NA	.
CPD000065	CE(18:0)	NA	.
CPD000066	CE(18:1)	NA	.
CPD000067	CE(18:2)	NA	.
CPD000068	CE(18:3)	NA	.
CPD000069	CE(18:4)	NA	.
CPD000070	CE(20:0)	NA	.
CPD000071	CE(20:1)	NA	.
CPD000072	CE(20:2)	NA	.
CPD000073	CE(20:3)	NA	.
CPD000074	CE(20:4)	NA	.
CPD000075	CE(20:5)	NA	.
CPD000076	CE(22:0)	NA	.
CPD000077	CE(22:1)	NA	.
CPD000078	CE(22:2)	NA	.
CPD000079	CE(22:4)	NA	.
CPD000080	CE(22:5)	NA	.
CPD000081	CE(22:6)	NA	.
CPD000082	CE(24:0)	NA	.
CPD000083	CE(24:1)	NA	.
CPD000084	CER(14:0)	NA	.
CPD000085	CER(16:0)	NA	.
CPD000086	CER(18:0)	NA	.
CPD000087	CER(18:1)	NA	.
CPD000088	CER(20:0)	NA	.
CPD000089	CER(20:1)	NA	.
CPD000090	CER(22:0)	NA	.
CPD000091	CER(22:1)	NA	.
CPD000092	CER(24:0)	NA	.
CPD000093	CER(24:1)	NA	.
CPD000094	CER(26:0)	NA	.
CPD000095	CER(26:1)	NA	.
CPD000120	DAG(12:0/16:0)	NA	.
CPD000121	DAG(12:0/18:0)	NA	.
CPD000122	DAG(12:0/18:1)	NA	.
CPD000123	DAG(12:0/18:2)	NA	.
CPD000124	DAG(14:0/14:0)	NA	.
CPD000125	DAG(14:0/16:0)	NA	.
CPD000126	DAG(14:0/16:1)	NA	.
CPD000127	DAG(14:0/18:1)	NA	.
CPD000128	DAG(14:0/18:2)	NA	.
CPD000129	DAG(14:0/18:3)	NA	.
CPD000130	DAG(14:0/20:0)	NA	.
CPD000131	DAG(14:0/20:4)	NA	.
CPD000132	DAG(14:0/22:6)	NA	.
CPD000133	DAG(14:1/16:0)	NA	.
CPD000134	DAG(14:1/18:1)	NA	.
CPD000135	DAG(15:0/18:1)	NA	.
CPD000136	DAG(15:0/18:2)	NA	.
CPD000137	DAG(16:0/16:0)	NA	.
CPD000138	DAG(16:0/16:1)	NA	.
CPD000139	DAG(16:0/18:0)	NA	.
CPD000140	DAG(16:0/18:1)	NA	.
CPD000141	DAG(16:0/18:2)	NA	.
CPD000142	DAG(16:0/18:3)	NA	.
CPD000143	DAG(16:0/20:3)	NA	.
CPD000144	DAG(16:0/20:4)	NA	.
CPD000145	DAG(16:0/20:5)	NA	.
CPD000146	DAG(16:0/22:5)	NA	.
CPD000147	DAG(16:0/22:6)	NA	.
CPD000148	DAG(16:1/16:1)	NA	.
CPD000149	DAG(16:1/18:0)	NA	.
CPD000150	DAG(16:1/18:1)	NA	.
CPD000151	DAG(16:1/18:2)	NA	.
CPD000152	DAG(16:1/18:3)	NA	.
CPD000153	DAG(16:1/20:0)	NA	.
CPD000154	DAG(16:1/20:2)	NA	.
CPD000155	DAG(16:1/20:4)	NA	.
CPD000156	DAG(16:1/22:6)	NA	.
CPD000157	DAG(18:0/18:1)	NA	.
CPD000158	DAG(18:0/18:2)	NA	.
CPD000159	DAG(18:0/18:3)	NA	.
CPD000160	DAG(18:0/22:6)	NA	.
CPD000161	DAG(18:1/18:1)	NA	.
CPD000162	DAG(18:1/18:2)	NA	.
CPD000163	DAG(18:1/20:1)	NA	.
CPD000164	DAG(18:1/20:2)	NA	.
CPD000165	DAG(18:1/20:3)	NA	.
CPD000166	DAG(18:1/20:4)	NA	.
CPD000167	DAG(18:1/20:5)	NA	.
CPD000168	DAG(18:1/22:4)	NA	.
CPD000169	DAG(18:1/22:5)	NA	.
CPD000170	DAG(18:1/22:6)	NA	.
CPD000171	DAG(18:2/18:3)	NA	.
CPD000172	DAG(18:2/20:3)	NA	.
CPD000173	DAG(18:2/20:4)	NA	.
CPD000174	DAG(18:2/20:5)	NA	.
