compound_id	chemical_name	analysismode	rt	mz
C000115	12.31_342.1731	RP_POS	12.31	342.1731
C000116	11.03_167.0855	RP_POS	11.03	167.0855
C000117	11.77_533.2721	RP_POS	11.77	533.2721
C000118	4.46_357.0814	RP_POS	4.46	357.0814
C000119	8.32_271.0597	RP_POS	8.32	271.0597
C000120	6.94_173.0961	RP_POS	6.94	173.0961
C000121	10.66_391.1274	RP_POS	10.66	391.1274
C000122	2.95_278.0137	RP_POS	2.95	278.0137
C000123	6.51_237.1233	RP_POS	6.51	237.1233
C000124	3.26_255.0975	RP_POS	3.26	255.0975
C000125	9.53_295.1877	RP_POS	9.53	295.1877
C000126	13.24_333.1087	RP_POS	13.24	333.1087
C000127	9.55_422.1842	RP_POS	9.55	422.1842
C000128	5.00_145.0648	RP_POS	5	145.0648
C000129	7.55_315.1913	RP_POS	7.55	315.1913
C000130	12.70_333.6614	RP_POS	12.7	333.6614
C000131	6.15_240.5535	RP_POS	6.15	240.5535
C000132	10.61_409.2695	RP_POS	10.61	409.2695
C000133	8.39_289.0115	RP_POS	8.39	289.0115
C000134	1.43_251.0696	RP_POS	1.43	251.0696
C000135	10.47_259.1906	RP_POS	10.47	259.1906
C000136	10.66_447.0953	RP_POS	10.66	447.0953
C000137	3.20_229.9932	RP_POS	3.2	229.9932
C000138	3.01_334.1606	RP_POS	3.01	334.1606
C000139	4.08_432.1653	RP_POS	4.08	432.1653
C000140	1.85_167.5227	RP_POS	1.85	167.5227
C000141	5.11_273.0902	RP_POS	5.11	273.0902
C000142	3.08_492.1864	RP_POS	3.08	492.1864
C000143	3.77_331.1979	RP_POS	3.77	331.1979
C000144	8.64_401.1802	RP_POS	8.64	401.1802
C000145	1.78_330.9970	RP_POS	1.78	330.997
C000146	6.96_303.0208	RP_POS	6.96	303.0208
C000147	8.57_390.1503	RP_POS	8.57	390.1503
C000148	11.28_284.2219	RP_POS	11.28	284.2219
C000149	11.82_327.1926	RP_POS	11.82	327.1926
C000150	4.06_359.0910	RP_POS	4.06	359.091
C000151	4.80_405.1979	RP_POS	4.8	405.1979
C000152	14.07_421.2196	RP_POS	14.07	421.2196
C000153	7.69_375.1029	RP_POS	7.69	375.1029
C000154	12.17_257.2262	RP_POS	12.17	257.2262
C000155	3.43_211.1440	RP_POS	3.43	211.144
C000156	1.97_263.0209	RP_POS	1.97	263.0209
C000157	4.49_165.0699	RP_POS	4.49	165.0699
C000158	12.80_465.2095	RP_POS	12.8	465.2095
C000159	12.09_532.3119	RP_POS	12.09	532.3119
C000160	11.18_471.2376	RP_POS	11.18	471.2376
C000161	10.71_333.2332	RP_POS	10.71	333.2332
C000162	6.51_314.1496	RP_POS	6.51	314.1496
C000163	8.06_354.2273	RP_POS	8.06	354.2273
C000164	2.80_519.1579	RP_POS	2.8	519.1579
C000165	2.88_347.1083	RP_POS	2.88	347.1083
C000166	10.98_507.2471	RP_POS	10.98	507.2471
C000167	0.56_214.8404	RP_POS	0.56	214.8404
C000168	7.94_207.0751	RP_POS	7.94	207.0751
C000169	4.10_392.1550	RP_POS	4.1	392.155
C000170	7.94_348.1475	RP_POS	7.94	348.1475
C000171	12.07_337.2523	RP_POS	12.07	337.2523
C000172	6.76_395.0949	RP_POS	6.76	395.0949
C000173	7.00_265.0359	RP_POS	7	265.0359
C000174	9.31_334.1677	RP_POS	9.31	334.1677
C000175	5.71_187.1805	RP_POS	5.71	187.1805
C000176	7.59_360.1803	RP_POS	7.59	360.1803
C000177	11.11_595.2428	RP_POS	11.11	595.2428
C000178	10.51_414.2307	RP_POS	10.51	414.2307
C000179	13.63_568.2252	RP_POS	13.63	568.2252
C000180	7.39_345.0869	RP_POS	7.39	345.0869
C000181	11.55_367.1361	RP_POS	11.55	367.1361
C000182	3.53_311.1269	RP_POS	3.53	311.1269
C000183	3.24_205.0971	RP_POS	3.24	205.0971
C000184	0.89_395.0057	RP_POS	0.89	395.0057
C000185	1.93_172.0661	RP_POS	1.93	172.0661
C000186	6.71_306.1731	RP_POS	6.71	306.1731
C000187	9.24_427.1574	RP_POS	9.24	427.1574
C000188	10.47_179.1793	RP_POS	10.47	179.1793
C000189	12.85_160.1202	RP_POS	12.85	160.1202
C000190	2.99_426.2024	RP_POS	2.99	426.2024
C000191	11.60_279.2105	RP_POS	11.6	279.2105
C000192	1.68_212.1394	RP_POS	1.68	212.1394
C000193	2.27_115.0326	RP_POS	2.27	115.0326
C000194	10.15_415.1962	RP_POS	10.15	415.1962
C000195	10.08_231.1379	RP_POS	10.08	231.1379
C000196	1.24_139.0523	RP_POS	1.24	139.0523
C000197	8.36_366.2022	RP_POS	8.36	366.2022
C000198	3.77_426.1255	RP_POS	3.77	426.1255
C000199	1.58_472.1347	RP_POS	1.58	472.1347
C000200	7.30_463.0899	RP_POS	7.3	463.0899
C000201	10.64_411.1083	RP_POS	10.64	411.1083
C000202	1.74_202.0822	RP_POS	1.74	202.0822
C000203	12.82_335.2578	RP_POS	12.82	335.2578
C000204	10.59_627.2325	RP_POS	10.59	627.2325
C000205	10.69_551.2827	RP_POS	10.69	551.2827
C000206	8.46_355.1725	RP_POS	8.46	355.1725
C000207	7.87_321.0447	RP_POS	7.87	321.0447
C000208	2.50_343.0883	RP_POS	2.5	343.0883
C000209	13.46_529.2324	RP_POS	13.46	529.2324
C000210	7.05_219.0764	RP_POS	7.05	219.0764
C000211	11.28_426.2386	RP_POS	11.28	426.2386
C000212	7.57_306.1368	RP_POS	7.57	306.1368
C000213	2.88_209.5254	RP_POS	2.88	209.5254
C000214	7.84_312.1803	RP_POS	7.84	312.1803
C000215	8.27_322.1316	RP_POS	8.27	322.1316
C000216	12.68_505.2140	RP_POS	12.68	505.214
C000217	6.51_237.6496	RP_POS	6.51	237.6496
C000218	0.87_341.1012	RP_POS	0.87	341.1012
C000219	2.23_165.0408	RP_POS	2.23	165.0408
C000220	4.90_237.0909	RP_POS	4.9	237.0909
C000221	5.26_438.1217	RP_POS	5.26	438.1217
C000222	5.00_486.1066	RP_POS	5	486.1066
C000223	10.51_480.2955	RP_POS	10.51	480.2955
C000224	11.18_560.2379	RP_POS	11.18	560.2379
C000225	13.24_369.1394	RP_POS	13.24	369.1394
C000226	8.04_191.0854	RP_POS	8.04	191.0854
C000227	10.05_450.1756	RP_POS	10.05	450.1756
C000228	11.48_381.1518	RP_POS	11.48	381.1518
C000229	3.45_303.0385	RP_POS	3.45	303.0385
C000230	6.62_396.9878	RP_POS	6.62	396.9878
C000231	11.82_298.2012	RP_POS	11.82	298.2012
C000232	5.51_121.0842	RP_POS	5.51	121.0842
C000233	13.48_423.1988	RP_POS	13.48	423.1988
C000234	7.89_336.1473	RP_POS	7.89	336.1473
C000235	3.40_256.1766	RP_POS	3.4	256.1766
C000236	8.32_459.1258	RP_POS	8.32	459.1258
C000237	1.51_347.1084	RP_POS	1.51	347.1084
C000238	4.29_244.1114	RP_POS	4.29	244.1114
C000239	4.02_167.0451	RP_POS	4.02	167.0451
C000240	5.06_437.2064	RP_POS	5.06	437.2064
C000241	9.74_292.1910	RP_POS	9.74	292.191
C000242	13.07_591.3137	RP_POS	13.07	591.3137
C000243	6.29_431.1296	RP_POS	6.29	431.1296
C000244	2.12_168.0361	RP_POS	2.12	168.0361
C000245	12.85_535.2395	RP_POS	12.85	535.2395
C000246	7.34_144.0444	RP_POS	7.34	144.0444
C000247	3.84_254.9925	RP_POS	3.84	254.9925
C000248	10.66_501.2307	RP_POS	10.66	501.2307
C000249	2.36_233.1495	RP_POS	2.36	233.1495
C000250	11.70_300.1804	RP_POS	11.7	300.1804
C000251	12.85_115.0543	RP_POS	12.85	115.0543
C000252	3.82_334.1065	RP_POS	3.82	334.1065
C000253	10.74_454.1959	RP_POS	10.74	454.1959
C000254	4.68_322.0920	RP_POS	4.68	322.092
C000255	6.19_410.1921	RP_POS	6.19	410.1921
C000256	10.39_401.1781	RP_POS	10.39	401.1781
C000257	10.91_543.2805	RP_POS	10.91	543.2805
C000258	7.34_431.1226	RP_POS	7.34	431.1226
C000259	11.11_473.1695	RP_POS	11.11	473.1695
C000260	7.71_277.0374	RP_POS	7.71	277.0374
C000261	4.82_242.1498	RP_POS	4.82	242.1498
C000262	4.12_390.0795	RP_POS	4.12	390.0795
C000263	6.74_133.1053	RP_POS	6.74	133.1053
C000264	7.10_362.1247	RP_POS	7.1	362.1247
C000265	6.85_239.1065	RP_POS	6.85	239.1065
C000266	0.60_108.0556	RP_POS	0.6	108.0556
C000267	8.76_269.1897	RP_POS	8.76	269.1897
C000268	2.71_257.1494	RP_POS	2.71	257.1494
C000269	9.06_195.6356	RP_POS	9.06	195.6356
C000270	5.18_298.1760	RP_POS	5.18	298.176
C000271	12.14_224.1362	RP_POS	12.14	224.1362
C000272	10.54_288.1262	RP_POS	10.54	288.1262
C000273	6.11_272.0915	RP_POS	6.11	272.0915
C000274	4.68_215.0816	RP_POS	4.68	215.0816
C000275	5.13_425.1053	RP_POS	5.13	425.1053
C000276	12.07_303.1953	RP_POS	12.07	303.1953
C000277	4.64_340.0702	RP_POS	4.64	340.0702
C000278	9.48_407.1313	RP_POS	9.48	407.1313
C000279	11.90_577.2255	RP_POS	11.9	577.2255
C000280	7.91_305.0910	RP_POS	7.91	305.091
C000281	5.11_176.0740	RP_POS	5.11	176.074
C000282	6.94_263.1601	RP_POS	6.94	263.1601
C000283	3.39_293.1857	RP_POS	3.39	293.1857
C000284	5.82_251.0946	RP_POS	5.82	251.0946
C000285	7.32_306.1701	RP_POS	7.32	306.1701
C000286	3.90_472.1813	RP_POS	3.9	472.1813
C000287	10.56_294.1010	RP_POS	10.56	294.101
C000288	11.11_287.2367	RP_POS	11.11	287.2367
C000289	7.64_409.0761	RP_POS	7.64	409.0761
C000290	4.02_518.1982	RP_POS	4.02	518.1982
