compound_id	chemical_name	analysismode	mz	rt
C000001	valine-d8 [iSTD]	HILIC_POS	126.1365	7.31
C000002	phenylalanine-d8 [iSTD]	HILIC_POS	174.1362	6.64
C000003	Glycine	HILIC_POS	76.04	7.79
C000004	Alanine	HILIC_POS	90.0555	7.68
C000005	Serine	HILIC_POS	106.0502	7.53
C000006	Threonine	HILIC_POS	120.0656	7.5
C000007	Methionine	HILIC_POS	150.0581	6.93
C000008	Aspartic acid	HILIC_POS	134.0448	8.15
C000009	Glutamic acid	HILIC_POS	148.0602	7.49
C000010	Asparagine	HILIC_POS	133.0606	7.8
C000011	Glutamine	HILIC_POS	147.0762	7.91
C000012	Histidine	HILIC_POS	156.0768	9.48
C000013	Arginine	HILIC_POS	175.1187	9.07
C000014	Lysine	HILIC_POS	147.1126	9.3
C000015	Valine	HILIC_POS	118.0863	7.27
C000016	Leucine	HILIC_POS	132.1019	6.89
C000017	Isoleucine	HILIC_POS	132.1019	7.02
C000018	Phenylalanine	HILIC_POS	166.0863	6.65
C000019	Tyrosine	HILIC_POS	182.0812	6.73
C000020	Tryptophan	HILIC_POS	205.0972	6.44
C000021	Proline	HILIC_POS	116.0708	7.98
C000022	Hydroxyproline	HILIC_POS	132.0654	7.77
C000023	Ornithine	HILIC_POS	133.0972	9.31
C000024	Citrulline	HILIC_POS	176.1027	8.25
C000025	Taurine	HILIC_POS	126.0219	5.91
C000026	5-Hydroxyindoleacetic acid	HILIC_POS	192.0652	1.86
C000027	3-Amino-isobutanoic acid	HILIC_POS	104.0706	7.67
C000028	gamma-Aminobutyric acid	HILIC_POS	104.071	7.51
C000029	Dimethylarginine	HILIC_POS	203.1503	9.73
C000030	Symmetric dimethyl-arginine	HILIC_POS	203.1503	9.65
C000031	Targinine	HILIC_POS	189.1343	9.29
C000032	Allantoin	HILIC_POS	159.0513	3.4
C000033	2-Aminobenzoic acid	HILIC_POS	138.0548	1.75
C000034	Kynurenic acid	HILIC_POS	190.0495	5.13
C000035	Histamine	HILIC_POS	112.0872	9.12
C000036	3-Hydroxyanthranilic acid	HILIC_POS	154.0497	1.82
C000037	Ureidopropionic acid	HILIC_POS	133.0607	4
C000038	Niacinamide	HILIC_POS	123.0554	3.63
C000039	Betaine	HILIC_POS	118.0864	8.85
C000040	Choline	HILIC_POS	104.1073	8.15
C000041	Choline phosphate	HILIC_POS	184.0733	12.55
C000042	sn-Glycero-3-phosphocholine	HILIC_POS	258.1096	10.35
C000043	Acetylcholine	HILIC_POS	146.1173	8.06
C000044	Spermidine	HILIC_POS	146.1652	10.55
C000045	Creatine	HILIC_POS	132.0766	8.2
C000046	Creatinine	HILIC_POS	114.0664	6.34
C000047	Trimethylamine N-oxide	HILIC_POS	76.0764	8.01
C000048	Adenosine	HILIC_POS	268.1035	4.85
C000049	Cytosine	HILIC_POS	112.0508	6.04
C000050	Thymidine	HILIC_POS	243.0976	2.8
C000051	Xanthosine	HILIC_POS	285.083	4.2
C000052	Deoxyadenosine	HILIC_POS	252.1086	5.06
C000053	Deoxycytidine	HILIC_POS	228.0974	5.84
C000054	Cotinine	HILIC_POS	177.102	4.93
C000055	Pipecolic acid	HILIC_POS	130.0862	7.86
C000056	1-Methyl nicotinamide	HILIC_POS	137.0708	8.11
C000057	Putrescine	HILIC_POS	89.1079	9.29
C000058	Methionine sulfoxide	HILIC_POS	166.053	8.54
C000059	Anserine	HILIC_POS	241.1291	10.43
C000060	Carnitine	HILIC_POS	162.1122	8.73
C000061	CAR(2:0)	HILIC_POS	204.1227	8.58
C000062	CAR(3:0)	HILIC_POS	218.1383	8.23
C000063	CAR(DC3:0(2Me))	HILIC_POS	262.128	8.5
C000064	CAR(4:0)	HILIC_POS	232.1539	7.94
C000065	CAR(4:0(OH))	HILIC_POS	248.1488	8.76
C000066	CAR(5:0)	HILIC_POS	246.1695	7.72
C000067	CAR(5:1)	HILIC_POS	244.1539	7.79
C000068	CAR(DC5:0)	HILIC_POS	276.1438	8.25
C000069	CAR(8:0)	HILIC_POS	288.2162	7.23
C000070	CAR(9:0)	HILIC_POS	302.232	7.12
C000071	CAR(10:0)	HILIC_POS	316.2475	7.06
C000072	CAR(10:2)	HILIC_POS	312.2162	7.24
C000073	CAR(12:0)	HILIC_POS	344.2789	6.89
C000074	CAR(12:1)	HILIC_POS	342.2631	6.93
C000075	CAR(14:0)	HILIC_POS	372.3102	6.75
C000076	CAR(14:1)	HILIC_POS	370.2945	6.76
C000077	CAR(14:2)	HILIC_POS	368.2787	6.81
C000078	CAR(16:0)	HILIC_POS	400.3414	6.63
C000079	CAR(16:0(OH))	HILIC_POS	416.3364	7.06
C000080	CAR(18:0)	HILIC_POS	428.3729	6.52
C000081	CAR(18:1)	HILIC_POS	426.3578	9.57
C000082	CAR(18:1(OH))	HILIC_POS	442.3521	6.99
C000083	CAR(18:2)	HILIC_POS	424.3412	6.6
C000084	CAR(20:0)	HILIC_POS	456.404	6.45
C000085	CAR(20:4)	HILIC_POS	448.3414	6.23
C000086	LPC(14:0)	HILIC_POS	468.3073	7.83
C000087	LPC(0:0/16:0)	HILIC_POS	496.3389	7.71
C000088	LPC(16:1)	HILIC_POS	494.323	7.77
C000089	LPC(P-16:0)/LPC(O-16:1)	HILIC_POS	480.3441	7.55
C000090	LPC(18:0)	HILIC_POS	524.3703	7.58
C000091	LPC(18:1)	HILIC_POS	522.3546	7.63
C000092	LPC(P-18:0)/LPC(O-18:1)_A	HILIC_POS	508.3742	7.75
C000093	LPC(P-18:0)/LPC(O-18:1)_B	HILIC_POS	508.374	7.42
C000094	LPC(0:0/18:2)	HILIC_POS	520.3391	7.71
C000095	LPC(18:3)	HILIC_POS	518.321	7.7
C000096	LPC(20:1)	HILIC_POS	550.3845	7.54
C000097	LPC(20:3)	HILIC_POS	546.3523	7.6
C000098	LPC(20:4)	HILIC_POS	544.3388	6.65
C000099	LPE(16:0)	HILIC_POS	454.292	6.21
C000100	LPE(18:0)_A	HILIC_POS	482.3233	6.14
C000101	LPE(18:0)_B	HILIC_POS	482.3231	7.77
C000102	LPE(18:1)	HILIC_POS	480.3073	6.16
C000103	LPE(18:2)	HILIC_POS	478.2915	6.18
C000104	LPE(18:3)	HILIC_POS	476.2765	6.22
C000105	SM(d18:1/16:0)	HILIC_POS	703.5734	7.2
C000106	1-Carboxymethylmetronidazole	HILIC_POS	186.0492	5.86
C000107	1-Methyladenosine	HILIC_POS	282.1191	7.55
C000108	2-Methylguanosine	HILIC_POS	298.114	4.9
C000109	3-Methylhistidine	HILIC_POS	170.0922	9.85
C000110	Methylguanidine	HILIC_POS	74.072	6.71
C000111	1-Methylguanine	HILIC_POS	166.0721	5.13
C000112	Trimethylbenzene	HILIC_POS	121.1013	1.65
C000113	1,7-Dimethyluric acid	HILIC_POS	197.0667	3.46
C000114	2'-O-Methyladenosine	HILIC_POS	282.1197	4.47
C000115	3-Dehydroxycarnitine	HILIC_POS	146.1176	8.72
C000116	4-Hydroxy-3-methylacetophenone	HILIC_POS	151.0751	1.65
C000117	4-Acetamidobutanoic acid	HILIC_POS	146.081	3.36
C000118	5-Methylcytidine	HILIC_POS	258.1085	5.88
C000119	5-Methylcytosine	HILIC_POS	126.0662	6.16
C000120	5-Acetylamino-6-amino-3-methyluracil	HILIC_POS	199.0826	2.13
C000121	5-Hydroxylysine	HILIC_POS	163.1074	9.22
C000122	6,8-Dihydroxypurine	HILIC_POS	153.0405	4.14
C000123	7-Methylguanine	HILIC_POS	166.0721	5.62
C000124	Acetaminophen	HILIC_POS	152.0706	1.88
C000125	Adrenochrome	HILIC_POS	180.0655	9.53
C000126	Agmatine	HILIC_POS	131.1291	9.09
C000127	Atenolol	HILIC_POS	267.1699	6.83
C000128	3-Guanidinopropanoic acid	HILIC_POS	132.0767	7.37
C000129	Bilirubin	HILIC_POS	585.2695	1.58
C000130	Biotin	HILIC_POS	245.0951	3.75
C000131	Cadaverine	HILIC_POS	103.1233	9.25
C000132	Cytidine	HILIC_POS	244.0924	5.68
C000133	Ala-Ala	HILIC_POS	161.0918	7.78
C000134	Deoxyguanosine	HILIC_POS	268.1034	5.21
C000135	Dethiobiotin	HILIC_POS	215.1387	3.62
C000136	Ectoine	HILIC_POS	143.0813	8.81
C000137	Gly-Gly	HILIC_POS	133.0608	8.19
C000138	Guanidoacetic acid	HILIC_POS	118.0613	7.75
C000139	Guanine	HILIC_POS	152.0567	5.25
C000140	Guanosine	HILIC_POS	284.0983	5.1
C000141	L-Histidinol	HILIC_POS	142.0974	8.95
C000142	Hypoxanthine	HILIC_POS	137.0456	4.65
C000143	Imidazoleacetic acid	HILIC_POS	127.0502	8.06
C000144	Indole	HILIC_POS	118.0653	1.66
C000145	Inosine	HILIC_POS	269.0875	4.72
C000146	Isoxanthopterin	HILIC_POS	180.0513	4.09
C000147	L-Urobilin	HILIC_POS	595.3479	6.53
C000148	Linoleoyl-EA	HILIC_POS	324.2891	1.88
C000149	Methyl N-methylanthranilate	HILIC_POS	166.0863	1.69
C000150	Myristoleic acid	HILIC_POS	227.2006	1.6
C000151	N-Acetylglutamine	HILIC_POS	189.0867	6.8
C000152	N-Acetylleucine	HILIC_POS	174.1123	2.56
C000153	N-Acetylputrescine	HILIC_POS	131.1178	7.82
C000154	N-Acetylserotonin	HILIC_POS	219.1125	2.44
C000155	N-Acetylarginine	HILIC_POS	217.1291	8.07
C000156	N-Acetyl-D-galactosamine	HILIC_POS	222.0972	5.25
C000157	N-Acetylhistamine	HILIC_POS	154.0972	7.63
C000158	N-Acetyl-D-tryptophan	HILIC_POS	247.1072	2.78
C000159	N-Methyl-proline	HILIC_POS	130.0862	8.5
C000160	N-Methylserotonin	HILIC_POS	191.1176	6.22
C000161	N1-Methyl-2-pyridone-5-carboxamide	HILIC_POS	153.0656	4.17
C000162	N1-Acetylspermidine	HILIC_POS	188.1755	9.78
C000163	N1-Acetylspermine	HILIC_POS	245.2331	10.98
C000164	N1,N12-Diacetylspermine	HILIC_POS	287.2435	10.34
C000165	N2,N2-Dimethylguanosine	HILIC_POS	312.1295	5.2
C000166	N6-Acetyllysine	HILIC_POS	189.123	8.27
C000167	N-6-Trimethyllysine	HILIC_POS	189.1594	11.17
C000168	Nicotinic acid	HILIC_POS	124.0394	3.54
C000169	N-Oleoyl glycine	HILIC_POS	340.2841	2.14
C000170	Pantothenol	HILIC_POS	206.1384	3.73
C000171	Phytosphingosine	HILIC_POS	318.3003	5.83
C000172	Pseudouridine	HILIC_POS	245.0763	3.92
C000173	Pterin	HILIC_POS	164.0567	4.62
C000174	Pyridoxamine	HILIC_POS	169.097	9.26
C000175	Pyridoxine	HILIC_POS	170.0812	6.06
C000176	Ribothymidine	HILIC_POS	259.0925	2.85
C000177	Sphinganine	HILIC_POS	302.3047	5.73
C000178	Uric acid	HILIC_POS	169.0353	4.15
C000179	Urocanic acid	HILIC_POS	139.05	4.43
C000180	Xanthine	HILIC_POS	153.0405	3.6
C000181	alpha-Hydroxymetoprolol	HILIC_POS	284.185	6.72
C000182	Biliverdin	HILIC_POS	583.2542	1.88
C000183	Biopterin	HILIC_POS	238.093	5
C000184	Caffeine	HILIC_POS	195.0874	2.77
C000185	trans-3-Hydroxycotinine	HILIC_POS	193.0969	4.84
C000186	Imidazolepropionic acid	HILIC_POS	141.0656	7.34
C000187	Leu-Gly	HILIC_POS	189.1231	7.27
C000188	Metformin	HILIC_POS	130.1087	7.16
C000189	Methylimidazoleacetic acid	HILIC_POS	141.0659	8.78
C000190	alpha-N-Phenylacetylglutamine	HILIC_POS	265.1177	4.48
C000191	Piperine	HILIC_POS	286.1432	1.85
C000192	Quinine	HILIC_POS	325.1904	6.3
C000193	Sphingosine	HILIC_POS	300.2891	5.71
C000194	Trigonelline	HILIC_POS	138.055	8.73
C000195	Tryptamine	HILIC_POS	161.1071	6.05
C000196	PC(12:0/12:0)	RP_POS	622.4446	6.45
C000197	LPC(14:0)	RP_POS	468.3092	4.32
C000198	LPC(16:1)	RP_POS	494.3248	4.47
C000199	LPC(16:0)	RP_POS	496.3405	4.81
C000200	LPC(18:2)	RP_POS	520.3405	4.64
C000201	LPC(18:1)	RP_POS	522.356	4.99
C000202	LPC(18:0)	RP_POS	524.3717	5.38
C000203	LPC(20:3)	RP_POS	518.3222	4.81
C000204	LPE(16:1)	RP_POS	452.2773	4.51
C000205	LPE(16:0)	RP_POS	454.2932	4.82
C000206	LPE(18:2)	RP_POS	478.2936	4.66
C000207	LPE(18:1)	RP_POS	480.3089	4.99
C000208	LPE(18:0)	RP_POS	482.3247	5.38
C000209	LPE(20:0)	RP_POS	510.3561	5.09
C000210	LPE(22:0)	RP_POS	538.3873	5.7
C000211	PC(30:0)	RP_POS	706.538	8.09
C000212	PC(32:1)	RP_POS	732.554	8.26
C000213	PC(32:0)	RP_POS	734.5697	8.58
C000214	PC(34:3)	RP_POS	756.553	8.11
C000215	PC(34:2)	RP_POS	758.5695	8.4
C000216	PC(34:1)	RP_POS	760.5855	8.71
C000217	PC(34:0)	RP_POS	762.6007	9.03
C000218	PC(36:4)_A	RP_POS	782.57	8.23
C000219	PC(36:4)_B	RP_POS	782.569	8.43
C000220	PC(36:3)	RP_POS	784.5851	8.6
C000221	PC(36:2)	RP_POS	786.6012	8.87
C000222	PC(36:1)	RP_POS	788.6167	9.16
C000223	PC(38:6)	RP_POS	806.5693	8.37
C000224	PC(38:4)	RP_POS	810.6003	8.89
C000225	PC(38:3)	RP_POS	812.6169	9.04
C000226	PC(P-34:1)/PC(O-34:2)	RP_POS	744.5947	9.03
C000227	PC(P-34:0)/PC(O-34:1)	RP_POS	746.606	9.02
C000228	PC(P-34:2)/PC(O-34:3)	RP_POS	742.5742	8.71
C000229	PE(32:1)	RP_POS	690.5073	8.25
C000230	PE(32:0)	RP_POS	692.522	7.82
C000231	PE(34:2)	RP_POS	716.5229	8.4
C000232	PE(34:0)	RP_POS	720.5546	8.34
C000233	PE(36:3)	RP_POS	742.5384	8.56
C000234	PE(36:2)	RP_POS	744.5542	8.84
C000235	PE(36:0)	RP_POS	748.5854	8.76
C000236	PE(P-34:1)/PE(O-34:2)	RP_POS	702.5423	9.01
C000237	PE(P-34:2)/PE(O-34:3)	RP_POS	700.5264	8.72
C000238	PE(P-36:2)/PE(O-36:3)	RP_POS	728.5593	9.16
C000239	PS(36:1)	RP_POS	790.563	8.81
C000240	sphingosine	RP_POS	300.2899	4.23
C000241	palmitoyl-EA	RP_POS	300.2899	4.97
C000242	linoleoyl-EA	RP_POS	324.2899	4.81
C000243	oleoyl-EA	RP_POS	326.3056	5.16
C000244	Cer(d18:1/16:0)	RP_POS	538.52	8.26
C000245	Cer(d18:1/22:0)	RP_POS	622.6136	9.64
C000246	Cer(d18:1/24:0)	RP_POS	650.6448	10.06
C000247	Cer(d18:1/24:1)	RP_POS	648.6295	9.69
C000248	7-dehydro-desmosterol	RP_POS	383.3311	6.62
C000249	SM(d18:1/14:0)	RP_POS	675.5435	7.65
C000250	SM(d18:1/16:1)	RP_POS	701.5592	7.8
C000251	SM(d18:1/16:0)	RP_POS	703.575	8.13
C000252	SM(d18:1/18:0)	RP_POS	731.6069	8.63
C000253	SM(d18:1/20:0)	RP_POS	759.6379	9.16
C000254	SM(d18:1/22:1)	RP_POS	785.6534	9.25
C000255	SM(d18:1/22:0)	RP_POS	787.6688	9.55
C000256	SM(d18:1/24:1)	RP_POS	813.6846	9.59
C000257	SM(d18:1/24:0)	RP_POS	815.7005	9.98
C000258	CE(14:0)	RP_POS	619.5429	11.67
C000259	CE(16:1)	RP_POS	645.5585	11.77
C000260	CE(16:0)	RP_POS	647.5745	12.09
C000261	CE(18:3)	RP_POS	669.5584	11.58
C000262	CE(18:2)	RP_POS	671.574	11.86
C000263	CE(18:1)	RP_POS	673.5898	12.17
C000264	CE(18:0)	RP_POS	675.6055	12.5
C000265	CE(20:5)	RP_POS	693.5582	11.42
C000266	CE(20:4)	RP_POS	695.574	11.7
C000267	CE(20:3)	RP_POS	697.5897	11.95
C000268	CE(22:6)	RP_POS	719.5741	11.56
C000269	CE(22:5)	RP_POS	721.5894	11.81
C000270	CE(22:4)	RP_POS	723.6053	12.07
C000271	MG(14:1)	RP_POS	323.2196	4.49
C000272	MG(16:1)	RP_POS	339.2508	4.89
C000273	MG(18:0)	RP_POS	381.2977	5.79
C000274	MG(22:1)	RP_POS	435.3447	6.86
C000275	DG(30:0)	RP_POS	563.4652	8.63
C000276	DG(32:2)	RP_POS	587.4652	8.45
C000277	DG(32:1)	RP_POS	589.4808	8.77
C000278	DG(32:0)	RP_POS	591.4963	9.1
C000279	DG(34:3)	RP_POS	613.4807	8.63
C000280	DG(34:2)	RP_POS	615.4962	8.92
C000281	DG(34:1)	RP_POS	617.5119	9.22
C000282	DG(34:0)	RP_POS	619.5276	9.53
C000283	DG(36:3)	RP_POS	641.5118	9.04
C000284	DG(36:2)	RP_POS	643.5274	9.34
C000285	DG(36:1)	RP_POS	645.5432	9.65
C000286	DG(36:0)	RP_POS	647.5589	9.95
C000287	DG(36:4)	RP_POS	639.4962	8.74
C000288	DG(38:5)	RP_POS	665.5123	9.01
C000289	TG(42:0)	RP_POS	745.6318	10.92
C000290	TG(44:2)	RP_POS	769.6318	10.79
C000291	TG(44:1)	RP_POS	771.6474	11.01
C000292	TG(44:0)	RP_POS	773.6632	11.28
C000293	TG(45:0)	RP_POS	787.6778	11.45
C000294	TG(45:1)	RP_POS	785.6632	11.18
C000295	TG(46:4)	RP_POS	793.632	10.6
C000296	TG(46:3)	RP_POS	795.6478	10.87
C000297	TG(46:2)	RP_POS	797.6636	11.12
C000298	TG(46:1)	RP_POS	799.6789	11.37
C000299	TG(46:0)	RP_POS	801.6946	11.62
C000300	TG(47:1)	RP_POS	813.6944	11.54
C000301	TG(47:0)	RP_POS	815.7101	11.78
C000302	TG(48:4)	RP_POS	821.6632	10.95
C000303	TG(48:3)	RP_POS	823.6789	11.2
C000304	TG(48:2)	RP_POS	825.6946	11.46
C000305	TG(48:1)	RP_POS	827.7105	11.7
C000306	TG(48:0)	RP_POS	829.7258	11.95
C000307	TG(49:3)	RP_POS	837.6946	11.38
C000308	TG(49:2)	RP_POS	839.711	11.62
C000309	TG(49:1)	RP_POS	841.7259	11.87
C000310	TG(49:0)	RP_POS	843.7416	12.13
C000311	TG(50:5)	RP_POS	847.6789	11.04
C000312	TG(50:4)	RP_POS	849.6948	11.29
C000313	TG(50:3)	RP_POS	851.7102	11.55
C000314	TG(50:2)	RP_POS	853.7255	11.79
C000315	TG(50:1)	RP_POS	855.7417	12.05
C000316	TG(50:0)	RP_POS	857.7571	12.32
C000317	TG(51:3)	RP_POS	865.7274	11.72
C000318	TG(51:2)	RP_POS	867.7414	11.95
C000319	TG(51:1)	RP_POS	869.7573	12.21
C000320	TG(51:0)	RP_POS	871.7731	12.49
C000321	TG(52:7)	RP_POS	871.6791	10.92
C000322	TG(52:6)	RP_POS	873.6948	11.15
C000323	TG(52:5)	RP_POS	875.7103	11.4
C000324	TG(52:4)	RP_POS	877.7259	11.64
C000325	TG(52:3)	RP_POS	879.7415	11.89
C000326	TG(52:2)	RP_POS	881.7573	12.15
C000327	TG(52:1)	RP_POS	883.7729	12.4
C000328	TG(52:0)	RP_POS	885.7888	12.68
C000329	TG(53:3)	RP_POS	893.757	12.07
C000330	TG(53:2)	RP_POS	895.7721	12.32
C000331	TG(54:9)	RP_POS	895.6786	10.95
C000332	TG(54:8)	RP_POS	897.6949	11
C000333	TG(54:7)	RP_POS	899.7099	11.4
